id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,"Afghanistan",10722.2701165864,11481.9878726016,12307.954063199,13206.9084064947,14194.6828356649,15233.3580876778,16349.8148537634,17554.5227303651,18852.91784672,20250.1122344965,21748.5636234045,23360.719554148,25095.4530808336,26961.2393116011,28967.3020623551,31123.8787157462,33443.1268714322,35937.1271330613,38618.7476367008,41501.9363181032,44601.8016260994,47934.6475044196,51517.7926495072,55369.8387731136,59510.7910846759,63962.1359727177,68746.9175812103,73889.8242628668,79417.3405869617,85357.8700426409,91741.8576521298,98601.9229549475,105973.006085429,113892.527606567,122400.549165988,131539.942256583,141356.566920701,151899.460082184,163221.032413968,175377.272187605,188427.957324115,202436.875330871,217472.05023663,233605.975451028,250915.851430503,269483.827086336,289397.243250849,310748.876120788,333637.178240412,358166.514186425,384447.387628265,412596.655816771,442737.726937043,475000.735096523,509522.686988807,546447.573476901,585926.438487684,628117.396727644,673185.590818743,721303.077526224,772648.631830735,827407.456715607,885770.785733135,947935.364721796,1014102.79852057,1084478.74822777,1159271.96454904,1238693.14315022,1322953.58875918,1412263.6761381,1506831.09806561,1606858.89322105,1712543.25043351,1824071.09022234,1941617.42996219,2065342.54537861,2195388.94839992,2331878.20958815,2474907.66231504,2624547.0353363,2780835.07016651,2943776.18930681,3113337.2904835,3289444.75010344,3471981.72555002,3660785.85012983,3855647.41583524,4056308.13705838,4262460.58251501,4473748.35259732,4689767.06504918,4910066.19336392,5134151.78002855,5361490.02135094,5591511.69305293,5823617.35727934,6057183.26352726,6291567.82970693,6526118.56656538,6760179.29038438
1,"Albania",996.755040871975,1005.78775538126,1013.69175193522,1022.14500526154,1029.92738377456,1037.66857928284,1045.40713517842,1052.90088839012,1060.31702735792,1067.53698464138,1074.65054622099,1081.64537844936,1088.49952484039,1095.23267914996,1101.8366377338,1108.32407120645,1114.69306449048,1120.94367306978,1127.08011572762,1133.1036842875,1139.01746650097,1144.82273760259,1150.52137621039,1156.1156057369,1161.60727216844,1166.99832627807,1172.29050377014,1177.48562741683,1182.58550940462,1187.59188412025,1192.50646482172,1197.33091982405,1202.06690467676,1206.71604328266,1211.27992391529,1215.76010719546,1220.15812485814,1224.47548278993,1228.7136585554,1232.87410202645,1236.95823688405,1240.96746089518,1244.90314647558,1248.76664078422,1252.55926630356,1256.28232141054,1259.93708077144,1263.52479575906,1267.04669484236,1270.50398403189,1273.8978472997,1277.22944697071,1280.49992411332,1283.71039892505,1286.86197111741,1289.95572028923,1292.99270629126,1295.97396958565,1298.90053159948,1301.77339507234,1304.59354439671,1307.36194595217,1310.07954843381,1312.74728317484,1315.36606446319,1317.93678985243,1320.46034046694,1322.93758130167,1325.3693615165,1327.75651472511,1330.09985927879,1332.40019854495,1334.65832118068,1336.87500140132,1339.0509992441,1341.18706082709,1343.28391860338,1345.34229161066,1347.36288571629,1349.34639385786,1351.29349627946,1353.20486076358,1355.08114285884,1356.92298610356,1358.73102224529,1360.50587145631,1362.2481425452,1363.95843316464,1365.63733001536,1367.28540904637,1368.90323565158,1370.49136486284,1372.05034153944,1373.58070055417,1375.08296697601,1376.55765624946,1378.00527437061,1379.42631806001,1380.82127493241,1382.19062366335
2,"Algeria",8301.99799822594,8493.6887396348,8690.90977044787,8890.45519643019,9091.9777467045,9294.85096243957,9500.59850646436,9709.25796470958,9920.28669575084,10133.6939625525,10349.5629099552,10568.1237269729,10789.3385608216,11013.1539265237,11239.6177026852,11468.7857682229,11700.7083502914,11935.3983833165,12172.8793247405,12413.1905744287,12656.3697738315,12902.4507838896,13151.4640728643,13403.4437408114,13658.4260915312,13916.4467857332,14177.5410721308,14441.7444853954,14709.093608343,14979.6255365374,15253.3775278709,15530.3871694104,15810.6925309254,16094.332205605,16381.3452012891,16671.7709200962,16965.6492064355,17263.0203703933,17563.9251841547,17868.4048692465,18176.5011036725,18488.2560347454,18803.7122846297,19122.9129521855,19445.9016159348,19772.722340284,20103.4196815558,20438.0386926114,20776.6249272794,21119.2244453197,21465.8838177997,21816.6501322932,22171.5709979054,22530.6945503795,22894.0694573428,23261.7449236086,23633.7706964614,24010.1970709585,24391.0748952868,24776.4555761698,25166.3910843055,25560.9339598316,25960.1373178249,26364.0548538407,26772.7408494872,27186.2501780332,27604.6383100481,28027.9613190765,28456.2758873468,28889.6393115127,29328.1095084262,29771.7450209441,30220.6050237647,30674.7493292972,31134.2383935609,31599.1333221151,32069.4958760187,32545.3884778188,33026.8742175679,33514.0168588696,34006.8808449511,34505.5313047626,35010.0340591028,35520.45562677,36036.8632307371,36559.3248043512,37087.9089975559,37622.6851831355,38163.7234629811,38711.0946743767,39264.8703963052,39825.1229557725,40391.9254341497,40965.3516735313,41545.4762831092,42132.3746455609,42726.1229234514,43326.7980656461,43934.4778137356,44549.2407084695
3,"Andorra",762.185646701512,762.405757566784,762.481084721231,762.570395951361,762.676287288935,762.801836683765,762.916229122754,763.010995348602,763.109370208891,763.209427551352,763.308401718144,763.402442237847,763.492704444538,763.582130404764,763.66989496105,763.755377351268,763.838354999629,763.919278821774,763.998468961531,764.075758822652,764.151104065848,764.224567359851,764.296264326168,764.366248341358,764.434523258731,764.501124573859,764.566102602671,764.629505367636,764.691368341855,764.751723674618,764.810608767884,764.868061377314,764.924116926684,764.978808500771,765.032168740814,765.084230379214,765.135025281361,765.184584219031,765.232937100262,765.280113243236,765.326141349113,765.37104937058,765.414864533856,765.457613406859,765.499321937346,765.540015447293,765.579718631277,765.618455578952,765.656249797622,765.69312422634,765.729101245554,765.764202689576,765.798449861675,765.831863547795,765.86446402863,765.896271091319,765.92730404153,765.957581715465,765.987122491291,766.015944300155,766.044064636992,766.071500571172,766.098268756886,766.124385443217,766.149866483975,766.174727347305,766.198983125065,766.222648541984,766.245737964578,766.26826540986,766.290244553838,766.311688739805,766.332610986431,766.353023995655,766.372940160384,766.392371572013,766.41133002775,766.429827037775,766.447873832218,766.46548136797,766.482660335326,766.499421164474,766.515774031811,766.531728866128,766.547295354621,766.562482948773,766.577300870087,766.591758115678,766.605863463729,766.619625478823,766.633052517132,766.646152731488,766.658934076333,766.671404312541,766.683571012128,766.695441562846,766.707023172666,766.718322874153,766.72934752873,766.740103830843
4,"Angola",62.3142683082465,63.5466060666067,64.9261821647804,65.75371493532,66.441162566828,67.0912667642068,67.662017341658,68.153722192897,68.5393451492055,68.8721691992642,69.1626232084675,69.4101066047003,69.6189663908655,69.7940321578827,69.9439407823363,70.0719948721608,70.1806455977708,70.2727087483337,70.3508171652132,70.4173412245006,70.4739025876729,70.521922078551,70.5626974162614,70.5973449425814,70.6267998095792,70.6518256903323,70.673083746405,70.6911443757492,70.7064910767826,70.7195317364939,70.7306112448207,70.7400244559519,70.7480224580745,70.7548181885967,70.7605922585952,70.7654981244713,70.7696663703585,70.7732079535849,70.7762170887985,70.7787738057825,70.7809461169783,70.7827918260771,70.784360041043,70.7856924801466,70.7868245894491,70.7877864881978,70.788603768203,70.7892981726348,70.7898881751483,70.7903894721572,70.7908154004094,70.7911772914981,70.7914847732215,70.7917460258467,70.7919679997981,70.7921566005387,70.7923168456501,70.7924529983227,70.7925686807894,70.7926669706942,70.7927504829655,70.7928214393825,70.7928817276849,70.792932951796,70.7929764744939,70.7930134536663,70.7930448731154,70.7930715687313,70.79309425073,70.7931135225487,70.793129896899,70.793143809408,70.793155630207,70.7931656737794,70.7931742073265,70.7931814578768,70.7931876183255,70.7931928525667,70.7931972998531,70.7932010785015,70.7932042890399,70.793207016882,70.7932093346002,70.7932113038553,70.7932129770381,70.7932143986621,70.7932156065486,70.7932166328325,70.7932175048172,70.7932182457013,70.7932188751954,70.7932194100466,70.7932198644844,70.7932202505986,70.7932205786615,70.793220857401,70.7932210942328,70.7932212954575,70.7932214664285,70.7932216116946
5,"Antigua and Barbuda",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
6,"Argentina",12104.0919566766,12934.0298036518,13853.6006334386,14841.5502374062,15897.4657837474,17041.9855158477,18285.5572162848,19633.2612820794,21088.7396982168,22661.9025561161,24365.2571236164,26209.2603606968,28204.3685868204,30362.3883701285,32697.1779130434,35223.5845425022,37957.0390426176,40914.2177856118,44113.3552441649,47574.2948590176,51318.3759616682,55368.5594404035,59749.6867798466,64488.6372332085,69614.44545467,75158.435422966,81154.4159011088,87638.892725762,94651.2684962278,102234.051990807,110433.089540447,119297.819591465,128881.540597961,139241.69111971,150440.148076101,162543.544941933,175623.608996134,189757.516147094,205028.263900579,221525.06338606,239343.75001014,258587.211657492,279365.833209747,301797.956100331,326010.351033354,352138.701157831,380328.092268226,410733.505852959,443520.309903113,478864.741262289,516954.372027859,557988.551135321,602178.810721347,649749.225144075,700936.708647414,755991.235615615,815175.965190764,878767.249734831,947054.504246032,1020339.91144307,1098937.93488448,1183174.61028502,1273386.58324202,1369919.86003495,1473128.23718397,1583371.37524841,1701012.4831431,1826415.58130306,1959942.31560899,2101948.29938139,2252778.96823775,2412764.94244098,2582216.90375571,2761420.00890162,2950627.87946889,3150056.22850735,3359876.20660027,3580207.57454046,3811111.83494534,4052585.48021122,4304553.53778225,4566863.6142229,4839280.6552795,5121482.64815259,5413057.49277072,5713501.25934617,6022218.02866501,6338521.47873843,6661638.33666656,6990713.75875415,7324818.63691525,7662958.75798539,8004085.66831128,8347109.02310685,8690910.13304795,9034356.36386515,9376316.00225721,9715673.17641992,10051342.4138313,10382282.4332485
7,"Armenia",6654.88501411438,7039.90663302183,7461.8557989773,7904.48151397644,8375.8052080947,8870.25738884138,9398.37352269852,9960.49971210743,10555.9214132343,11187.6250179671,11857.3938058425,12568.7590300583,13323.5793401256,14124.0696423005,14973.1374798481,15873.6660126315,16828.7938714752,17841.5593823385,18915.2737934596,20053.5003406516,21259.9483813981,22538.5127345996,23893.2557438261,25328.4693844238,26848.6633050875,28458.5548649926,30163.0817354771,31967.4079426423,33876.9353502474,35897.3029043321,38034.3882746523,40294.311955868,42683.4390511803,45208.3797247428,47875.9867107113,50693.3520576935,53667.8023460443,56806.891427836,60118.3906462117,63610.2762532562,67290.7140634909,71168.0408844113,75250.7423471218,79547.4269055133,84066.7957408291,88817.6083270576,93808.643363683,99048.6548399233,104546.323048336,110310.200400032,116348.651945263,122669.790563922,129281.406877605,136190.894029269,143405.167579881,150930.580889501,158772.83648108,166936.894028434,175426.875760471,184245.97023024,193396.33555719,202879.003409569,212693.785146307,222839.181677826,233312.29872729,244108.769271083,255222.685003062,266646.538694447,278371.179303882,290385.781624625,302677.832133829,315233.132529535,328035.822203694,341068.420605694,354311.890104535,367745.719565743,381348.02843052,395095.690631332,408964.477213951,422929.216076275,436963.966795491,451042.20811367,465137.035303685,479221.364356491,493268.13972942,507250.542281919,521142.194005515,534917.356229942,548551.11815474,562019.572808516,575299.977866382,588370.899146754,601212.335046362,613805.820640382,626134.510655741,638183.241003316,649938.569013025,661388.792941284,672523.9517012,683335.806093852
8,"Australia",7122.69313161961,7132.27317306641,7141.96282750867,7150.83790506226,7160.63427556988,7169.44725625918,7178.28288288801,7186.97782630745,7195.48478555591,7203.92217462865,7212.1027398708,7220.16378824364,7228.07845389869,7235.84565988655,7243.47306467807,7250.94739614086,7258.28826119313,7265.4930237733,7272.56362676427,7279.5025837319,7286.3114359537,7292.99452413811,7299.55330398264,7305.99000444054,7312.30690852223,7318.50625566362,7324.59041723419,7330.56139243468,7336.42128317316,7342.17216734512,7347.81608408009,7353.35503465043,7358.79095038462,7364.12574978156,7369.36131667663,7374.499498229,7379.5421053167,7384.49091283448,7389.34766611187,7394.1140777505,7398.79182799003,7403.38256552358,7407.88790839248,7412.30944499397,7416.64873406635,7420.907305269,7425.08665980295,7429.18827099452,7433.21358482018,7437.16402034022,7441.04097021714,7444.84580122237,7448.5798547215,7452.24444714089,7455.84087042334,7459.37039248777,7462.83425767797,7466.23368720028,7469.56987955232,7472.84401094453,7476.05723571537,7479.2106867379,7482.30547581863,7485.34269408886,7488.32341238901,7491.24868164594,7494.11953324307,7496.9369793836,7499.70201344708,7502.41561033929,7505.0787268357,7507.69230191846,7510.25725710722,7512.77449678372,7515.2449085104,7517.6693633431,7520.04871613789,7522.38380585231,7524.67545584087,7526.9244741452,7529.13165377868,7531.29777300593,7533.42359561693,7535.50987119623,7537.55733538701,7539.56671015029,7541.53870401939,7543.47401234951,7545.37331756282,7547.23728938893,7549.06658510085,7550.86184974667,7552.62371637685,7554.35280626729,7556.04972913833,7557.71508336957,7559.34945621078,7560.95342398886,7562.52755231096,7564.07239626382
9,"Austria",16527.2230203482,16566.3985762274,16606.9370685924,16645.4880502949,16685.2833148569,16723.1398707719,16760.3567599471,16797.201418492,16833.3442369413,16869.0294504051,16903.9337747503,16938.2771573529,16972.0745593103,17005.2929819197,17037.9557700296,17070.0443086335,17101.5978563541,17132.6213485053,17163.1178157973,17193.0971327005,17222.5666147236,17251.5385027334,17280.019905291,17308.0183435899,17335.5421916118,17362.5995381364,17389.1986186479,17415.3469076412,17441.0519489575,17466.3212905822,17491.1623234508,17515.5823057973,17539.5883100876,17563.1873322859,17586.386264156,17609.1918726868,17631.6108062271,17653.6495971611,17675.314675172,17696.6123622689,17717.5488721315,17738.1303132378,17758.3626914202,17778.2519123991,17797.8037822781,17817.0240090776,17835.918204685,17854.4918865794,17872.7504794001,17890.6993163304,17908.3436406505,17925.6886072944,17942.7392843311,17959.5006544002,17975.9776161222,17992.1749855127,18008.0974973717,18023.7498066398,18039.1364897312,18054.2620458469,18069.1308982693,18083.7473956341,18098.1158131803,18112.2403539791,18126.1251501433,18139.7742640176,18153.1916893479,18166.3813524318,18179.34711325,18192.092766579,18204.6220430855,18216.9386104024,18229.0460741875,18240.9479791636,18252.6478101427,18264.1489930324,18275.4548958254,18286.5688295733,18297.4940493437,18308.2337551612,18318.7910929338,18329.1691553626,18339.370982837,18349.3995643151,18359.2578381893,18368.9486931372,18378.474968959,18387.8394574,18397.0449029603,18406.0940036906,18414.9894119745,18423.7337352981,18432.3295370066,18440.7793370483,18449.0856127061,18457.2507993169,18465.2772909788,18473.1674412466,18480.9235638158,18488.5479331949
