id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,"Afghanistan",10518.7982347692,11228.9330124084,11988.2160308808,12790.2861003322,13723.1408252403,14814.7981868649,15873.9429301306,17018.7818232092,18258.2358204458,19604.970283522,21053.075758984,22588.2932904287,24239.9341562114,26015.389456758,27921.6467214826,29964.2694814548,32151.6085888988,34497.5227703839,37012.0253727859,39705.7194217479,42590.033125296,45677.760458155,48982.7007257316,52518.54634556,56299.7855187499,60341.7378428559,64660.539369233,69272.9909162445,74196.4562442198,79449.0039292115,85049.3618111381,91016.8498534771,97371.2985547776,104132.98247537,111322.5603083,118960.964520679,127069.274079375,135668.571779825,144779.786433896,154423.513326488,164619.807098482,175387.9535907,186746.22089413,198711.589757308,211299.463701005,224523.361038087,238394.593045217,252921.932117334,268111.274658317,283965.304545302,300483.164192676,317660.141157469,335487.378753765,353951.619743117,373034.992537661,392714.849403386,412963.665798772,433749.009223637,455033.584815055,476775.363358847,498927.795403477,521440.112818847,544257.716521437,567322.646295563,590574.125795239,613949.173053459,637383.264304112,660811.036780277,684167.014518309,707386.340170947,730405.495482355,753162.993430959,775600.026085768,797661.053889753,819294.324283538,840452.310188183,861092.061731921,881175.467578615,900669.425145108,919545.921743762,937782.031140463,955359.832090033,972266.257043732,988492.880391432,1004035.65630682,1018894.61653466,1033073.53834071,1046579.59239732,1059422.97966694,1071616.56544211,1083175.5176695,1094116.95558945,1104459.61361347,1114223.52428477,1123429.72315437,1132099.97748258,1140256.53985809,1147921.9271224,1155118.7243981,1161869.4135414
1,"Albania",994.971122431458,1002.47027908207,1010.06335695423,1017.54179976843,1025.42135040212,1034.04783782165,1041.41505401237,1048.75720643298,1056.05186566052,1063.31169274671,1070.4545100393,1077.31746533502,1084.08520123131,1090.74450021861,1097.28388231609,1103.68731810881,1109.95124749644,1116.10213421999,1122.13662630308,1128.05323131545,1133.85233916478,1139.53743407408,1145.11332743968,1150.58074956923,1155.94119991923,1161.19674153862,1166.34975250728,1171.40240217276,1176.3563617483,1181.21347952988,1185.97566932076,1190.64481657699,1195.22271371361,1199.71108191735,1204.11165159681,1208.42613075879,1212.65618845151,1216.80345277335,1220.86952069519,1224.85596562271,1228.76433122517,1232.59613005993,1236.35284505701,1240.0359316582,1243.64681850829,1247.18690685166,1250.65757097754,1254.06015900827,1257.39599355598,1260.66637209994,1263.87256730449,1267.01582751048,1270.09737723516,1273.11841761758,1276.0801268241,1278.98366045897,1281.8301519923,1284.62071317585,1287.35643444296,1290.03838529961,1292.66761471282,1295.24515149466,1297.77200467783,1300.24916388363,1302.67759968378,1305.05826395661,1307.39209023709,1309.67999406036,1311.92287329919,1314.12160849551,1316.2770631862,1318.3900842231,1320.46150208724,1322.49213119749,1324.48277021371,1326.43420233453,1328.34719558967,1330.22250312713,1332.06086349512,1333.86300091893,1335.62962557279,1337.36143384682,1339.05910860908,1340.72331946293,1342.35472299963,1343.95396304635,1345.52167090966,1347.05846561454,1348.56495413902,1350.04173164448,1351.48938170174,1352.90847651295,1354.29957712942,1355.66323366538,1356.99998550781,1358.31036152236,1359.59488025545,1360.85405013265,1362.08836965327,1363.29832758141
2,"Algeria",8263.5265292173,8447.65297925582,8632.66596701886,8818.21096584939,9023.58104060882,9251.88758453311,9456.28439888869,9664.86267783935,9878.30311269976,10097.5002915537,10319.5445096984,10540.2818242042,10764.3853114386,10991.6858715896,11221.8387698809,11454.243170472,11688.7755931047,11926.1455959633,12166.2434376126,12408.9716633532,12654.2839349042,12902.2484959008,13152.973181655,13406.4414766103,13662.6561232792,13921.6405563733,14183.4326115536,14448.0638280115,14715.5499725905,14985.9134689508,15259.180792925,15535.3790348624,15814.533052558,16096.6663108915,16381.8038508236,16669.971239792,16961.1938435385,17255.4966575074,17552.9046911419,17853.4432580397,18157.1377131585,18464.013352492,18774.0954423367,19087.4092893668,19403.980245851,19723.8336560854,20046.9948460073,20373.4891313617,20703.3418215104,21036.5782095727,21373.2235594601,21713.3031012878,22056.8420279812,22403.8654895014,22754.3985850948,23108.4663559818,23466.0937792127,23827.3057612046,24192.1271306496,24560.5826311536,24932.6969139584,25308.4945306746,25687.9999257867,26071.2374289488,26458.2312471587,26849.0054568407,27243.5839958011,27641.9906550285,28044.2490703537,28450.3827139853,28860.4148859175,29274.3687052072,29692.2671011156,30114.1328041221,30539.9883368116,30969.8560046356,31403.7578865476,31841.7158255144,32283.7514189058,32729.8860087639,33180.140671955,33634.5362102042,34093.0931400168,34555.8316824872,35022.771753,35493.9329508232,35969.3345485981,36448.9954817289,36932.934337674,37421.1693451426,37913.7183632009,38410.5988702903,38911.8279531616,39417.4222957298,39927.3981678526,40441.7714140371,40960.5574420795,41483.7712116416,42011.4272227699,42543.5395043605
3,"Andorra",762.135206522553,762.259460007435,762.370909974165,762.46739327701,762.546381251486,762.638716894888,762.723806450511,762.802276631075,762.875172716793,762.944082108432,763.011287686503,763.074246046764,763.133464062281,763.189428330882,763.242531023269,763.29296232624,763.340558800987,763.385559166196,763.428156819767,763.468495609024,763.506677415699,763.542789196076,763.576960212104,763.609301226493,763.639909035517,763.668872482189,763.696278203656,763.722212780633,763.746755579826,763.769980661061,763.791958240687,763.812755386185,763.832435857004,763.851059555319,763.868683093347,763.885360134262,763.901141543438,763.916075447869,763.93020733251,763.943580245691,763.956234943373,763.968210000163,763.979541913534,763.990265215602,764.000412587502,764.010014958386,764.019101596765,764.02770019852,764.035836972176,764.043536719689,764.050822911564,764.057717757923,764.064242276155,764.070416355122,764.0762588158,764.081787468516,764.087019167164,764.091969860571,764.09665464111,764.101087790678,764.105282824196,764.109252530788,764.11300901275,764.116563722437,764.119927497151,764.123110592173,764.126122712008,764.128973039966,764.131670266147,764.134222613927,764.13663786502,764.138923383194,764.141086136718,764.143132719603,764.145069371695,764.1469019977,764.148636185179,764.150277221584,764.151830110374,764.153299586264,764.154690129663,764.15600598033,764.157251150299,764.158429436109,764.159544430379,764.160599532758,764.161597960294,764.162542757237,764.16343680432,764.164282827546,764.165083406493,764.165840982182,764.166557864519,764.167236239335,764.167878175054,764.168485628996,764.169060453344,764.169604400796,764.170119129903,764.170606210128
4,"Angola",62.1549410525193,63.3682190117862,64.439710990199,65.3763723612215,66.2875444794963,67.0785833991848,67.6668425037402,68.1804264954034,68.6273535784543,69.0157689297624,69.3417271696403,69.6121192469788,69.8445337215289,70.0433550854822,70.2125336859596,70.3555186853829,70.4766427169436,70.5799327544246,70.6677954829533,70.7424012860589,70.8057078834244,70.8594948023966,70.9052365345478,70.9441026102656,70.9771147492041,71.0051574328752,71.0289869162556,71.0492371975323,71.0664418558647,71.0810584893231,71.0934772968322,71.1040294222775,71.1129952188593,71.1206127875973,71.1270849268889,71.1325839926208,71.1372563136097,71.1412261376613,71.1445990616939,71.1474648515332,71.1498997682977,71.1519685920635,71.1537263597696,71.1552198393009,71.15648876987,71.157566913698,71.1584829553974,71.1592612670304,71.159922556935,71.1604844199525,71.1609618051979,71.161367414067,71.1617120383411,71.1620048472805,71.1622536315,71.162465010242,71.1626446075274,71.1627972017988,71.1629268530477,71.1630370108292,71.1631306060453,71.1632101289287,71.1632776952989,71.1633351028553,71.1633838790069,71.1634253215123,71.1634605330079,71.1634904503456,71.1635158695184,71.1635374668395,71.1635558169361,71.1635714080386,71.1635846549702,71.1635959101845,71.1636054731423,71.1636135982796,71.1636205017772,71.1636263673124,71.1636313509462,71.1636355852751,71.1636391829595,71.1636422397208,71.1636448368886,71.1636470435641,71.1636489184591,71.1636505114578,71.1636518649441,71.1636530149296,71.1636539920112,71.1636548221855,71.1636555275406,71.1636561268433,71.163656636039,71.1636570686755,71.1636574362637,71.163657748584,71.1636580139459,71.1636582394098,71.1636584309746,71.1636585937369
5,"Antigua and Barbuda",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
6,"Argentina",11900.0877944259,12655.789531725,13471.5266897251,14342.2017767939,15356.2604253459,16539.2279960922,17703.6064976239,18970.2211261329,20349.5712117015,21856.0465440403,23485.4431868431,25226.1024251061,27110.4200817258,29148.5854592954,31350.6763688675,33725.6546111548,36285.7345650541,39049.0450143912,42030.0811286061,45244.3426070769,48708.6004678807,52441.4778127903,56463.0827823577,60793.8876135595,65455.7055715804,70471.7512668025,75866.6464232767,81666.2799048071,87897.7213208654,94589.3869348202,101770.999958956,109473.521810237,117729.060573423,126570.786794886,136032.844907297,146150.197388844,156958.436183939,168493.561020413,180791.722868536,193888.923367718,207820.662171599,222621.537925031,238324.802021061,254961.86470842,272561.754025698,291150.530942802,310750.667351438,331380.394230724,353053.029632068,375776.298723074,399551.660884254,424373.661266867,450229.326082189,477097.622620635,504949.006137626,533745.076077364,563438.363435394,593972.269294907,625281.171689402,657290.713873042,689918.281880346,723073.67308641,756659.950595279,790574.471021037,824710.065971239,858956.350732154,893201.127732742,927331.847737599,961237.088722952,994808.01125203,1027939.7499872,1060532.70371455,1092493.69073207,1123736.94236241,1154184.91430076,1183768.90304661,1212429.46232983,1240116.62178591,1266789.91678033,1292418.24392993,1316979.56131998,1340460.45557141,1362855.59977079,1384167.12691546,1404403.94309001,1423581.00326263,1441718.57057638,1458841.47752121,1474978.40460412,1490161.18926372,1504424.17494639,1517803.60758958,1530337.08432388,1542063.05706402,1553020.39183339,1563247.98316563,1572784.42173669,1581667.71248048,1589935.03979993,1597622.57606911
7,"Armenia",6575.10950812457,6933.3135260784,7306.71045019781,7697.70995540095,8144.94619821285,8656.25392993914,9139.15331914115,9650.11563031473,10191.9647837032,10767.588945093,11371.6082837246,11995.639127779,12650.6469100429,13337.0783563968,14054.8209216483,14803.0672888438,15582.0438340465,16393.9106978492,17238.8017984227,18116.7637759216,19027.8626700296,19972.3427523353,20950.4322854895,21961.9101435563,23006.4621068959,24083.6811686368,25193.0446854094,26333.852593396,27505.1962877835,28706.0158649514,29935.091780364,31191.0352218609,32472.2819357444,33777.0984183942,35103.5961732381,36449.7368114699,37813.3400823995,39192.0955618305,40583.5778513254,41985.2632676605,43394.5465473884,44808.75936139,46225.190271334,47641.1055559458,49053.7702794031,50460.4692868393,51858.5280652528,53245.3330566988,54618.3510329047,55975.1472065556,57313.401840974,58630.9251580006,59925.6703377983,61195.7444625629,62439.4173162403,63655.1280060574,64841.4894141672,65997.2905265472,67121.4967292803,68213.2481984746,69271.8565384329,70296.7998438518,71287.7163773144,72244.3970635297,73166.7770055996,74054.9262268656,74909.0398355236,75729.4277991293,76516.504503009,77270.7782510667,77992.8408503696,78683.3574029083,79343.0564097008,79972.7202744104,80573.1762763228,81145.2880662031,81689.9477235087,82208.068399812,82700.5775611995,83168.41083189,83612.5064323385,84033.800197617,84433.2211557963,84811.6876412857,85170.1039145012,85509.3572566996,85830.3155071961,86133.8250093591,86420.7089316152,86691.765930089,86947.769120339,87189.4653268382,87417.5745802987,87632.7898345834,87835.7768767195,88027.1744053721,88207.5942550127,88377.6217448829,88537.8161336877,88688.7111627245
8,"Australia",7121.32556900387,7130.24544033279,7139.15017607907,7147.99922819249,7157.56428098929,7167.91116724179,7176.69139965541,7185.44528163743,7194.17069976947,7202.87278456084,7211.41219212276,7219.61091052733,7227.70000234365,7235.66377357787,7243.48397089809,7251.13793405245,7258.62499426782,7265.97790628037,7273.19204979853,7280.26489159096,7287.19686114351,7293.9927395406,7300.65833489759,7307.19437675182,7313.60260286357,7319.88555588122,7326.04617666007,7332.08705919101,7338.0101916788,7343.81779950171,7349.51219989656,7355.09566758039,7360.57035169248,7365.93831750046,7371.20164476215,7376.36238575951,7381.42254281021,7386.38406686609,7391.24887150029,7396.01884167045,7400.69582559613,7405.28163301436,7409.77803734459,7414.18677852561,7418.50956375111,7422.7480666924,7426.90392810527,7430.97875688005,7434.97413088141,7438.89159741184,7442.7326736238,7446.49884715596,7450.19157677504,7453.81229294053,7457.36239831775,7460.84326830004,7464.25625155178,7467.60267053377,7470.88382200664,7474.10097752271,7477.25538391382,7480.34826377264,7483.38081592236,7486.35421587587,7489.26961628655,7492.12814739136,7494.93091744543,7497.67901314785,7500.37350005915,7503.01542301099,7505.60580650795,7508.14565512164,7510.63595387713,7513.07766863193,7515.47174644776,7517.81911595504,7520.12068771054,7522.37735454791,7524.58999192164,7526.75945824429,7528.88659521723,7530.97222815505,7533.01716630362,7535.02220315209,7536.98811673885,7538.91566995153,7540.80561082128,7542.65867281133,7544.47557509996,7546.25702285801,7548.00370752107,7549.71630705632,7551.39548622432,7553.04189683561,7554.65617800247,7556.2389563857,7557.79084643673,7559.31245063495,7560.8043597205,7562.26715292254
9,"Austria",16516.7746676779,16553.9297629765,16590.7761053598,16626.3971884686,16664.9800660789,16706.6105660608,16742.0513123117,16777.1705535348,16811.9659486943,16846.6058027069,16880.5082492532,16912.9668866422,16944.8676954504,16976.1666308377,17006.8118699877,17036.710514604,17065.8609288458,17094.3929938508,17122.2954781249,17149.5632733032,17176.1999869765,17202.2272318558,17227.6709544583,17252.5377050231,17276.8373494348,17300.5825450146,17323.7876349087,17346.4656034598,17368.6270145064,17390.2831785604,17411.4456735531,17432.1258740429,17452.3345989068,17472.0822612746,17491.3792444367,17510.2357570675,17528.6617508515,17546.666910562,17564.2607079976,17581.4524380031,17598.2511910962,17614.6658479885,17630.7050884474,17646.3774036555,17661.6911008146,17676.6543018871,17691.2749472066,17705.5608007801,17719.519454925,17733.1583334637,17746.4846946529,17759.5056348924,17772.2280924509,17784.6588508946,17796.8045422904,17808.6716504082,17820.2665139726,17831.5953298284,17842.6641559999,17853.4789146796,17864.0453951766,17874.3692568156,17884.4560317693,17894.3111278276,17903.9398311116,17913.3473087351,17922.5386114122,17931.5186760092,17940.2923280432,17948.8642841302,17957.2391543814,17965.421444751,17973.4155593332,17981.2258026124,17988.8563816648,17996.3114083155,18003.5949012481,18010.710788071,18017.6629073394,18024.4550105343,18031.0907639997,18037.5737508378,18043.9074727645,18050.0953519246,18056.1407326679,18062.0468832881,18067.8169977225,18073.4541972169,18078.9615319535,18084.3419826431,18089.5984620842,18094.7338166868,18099.7508279638,18104.65221399,18109.4406308285,18114.1186739268,18118.6888794822,18123.1537257762,18127.5156344816,18131.7769719389
