id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,"Afghanistan",10717.2317868076,11482.6026794284,12300.9127169687,13189.9327344587,14173.4251559422,15243.6169321997,16387.4950527601,17629.5677982442,18978.7446798933,20449.7958496168,22024.6064204027,23728.2527324442,25573.1752731106,27572.6601368976,29739.3129735622,32084.053569153,34620.6118460253,37366.7386878208,40339.1583919303,43555.7624035057,47034.900935024,50800.4016217239,54875.8875764001,59286.6467073443,64059.7517679365,69224.4275852728,74812.6239870606,80858.9973685129,87400.7065779232,94477.9365050831,102134.16895464,110416.599162118,119375.858679444,129066.549047984,139547.572150831,150882.489354404,163139.876168821,176393.640404477,190723.386589534,206214.860677353,222960.377040918,241059.262136844,260618.294484791,281752.243085588,304584.396056511,329247.106911598,355882.355000022,384642.32082434,415689.981552435,449199.720138129,485357.935097344,524363.650328462,566429.118741885,611780.415135107,660657.997471993,713317.228314001,770028.842411426,831079.344496885,896771.318486676,967423.625443469,1043371.46510972,1124966.27398784,1212575.4292291,1306581.72444322,1407382.58004789,1515388.94959308,1631023.88083514,1754720.68878553,1886920.6972471,2028070.50584764,2178618.74172358,2339012.25894785,2509691.75477446,2691086.78039077,2883610.13539897,3087651.65004976,3303571.37725049,3531692.23788792,3772292.18788007,4025596.003278,4291766.81006486,4570897.5171001,4863002.34266501,5168008.65568213,5485749.37995054,5815956.23145589,6158254.07260794,6512156.67079625,6877064.13976485,7252262.31925079,7636924.31003068,8030114.32779489,8430793.97102852,8837830.91743436,9250009.97371432,9666046.30916728,10084600.60986,10504295.8028689,10923734.9250755,11341519.6535267
1,"Albania",1000.94195365611,1012.62092805844,1024.76463714414,1035.2429408869,1043.97528185912,1053.17767049402,1062.39256912999,1071.18100737085,1080.18423134444,1089.37582701287,1099.36077635959,1109.63808543371,1120.03831237111,1129.93383765825,1139.36526796785,1148.77927493998,1158.05281286839,1167.17953618265,1176.31011746333,1185.50778506345,1194.9113792602,1204.44471676737,1214.01887937191,1223.47945312894,1232.84322768573,1242.13179191515,1251.32189887547,1260.43168452943,1269.49709689398,1278.56844453526,1287.68092437291,1296.83125984532,1305.98952613161,1315.12043930932,1324.21677142179,1333.26985939931,1342.27064367921,1351.22189068904,1360.13536032516,1369.02871539619,1377.91571359509,1386.79975845896,1395.67505141488,1404.53402203882,1413.37152761056,1422.18137483506,1430.95893874718,1439.70329977446,1448.41749994869,1457.10715302692,1465.77741262997,1474.43086006683,1483.067407246,1491.68580123772,1500.28414355696,1508.85990216742,1517.41090706678,1525.93614334441,1534.4360663034,1542.91222007342,1551.36637841337,1559.79983155747,1568.21319586013,1576.60654166435,1584.97942238992,1593.33101442719,1601.66046511518,1609.96721847341,1618.25119803027,1626.51275276636,1634.7524391457,1642.97080128273,1651.16825095152,1659.34500856458,1667.50106847946,1675.63623921852,1683.75025282697,1691.84288849585,1699.91405892627,1707.96382562633,1715.99235699274,1723.99986821,1731.98656855699,1739.95261702251,1747.89809364962,1755.82300086151,1763.7272923085,1771.61091435452,1779.47384168274,1787.31609425618,1795.13773563477,1802.93886001122,1810.71957396906,1818.47997670849,1826.22014475666,1833.94012659759,1841.63994782467,1849.31962310256,1856.97916907961,1864.61861354332
2,"Algeria",8318.46559115518,8527.18424989994,8739.17627705509,8954.06152563606,9171.26845548801,9390.74248248972,9612.82670659867,9837.32891130703,10063.961013392,10294.1808602831,10528.7593680808,10768.9314865589,11013.4582616931,11262.3681336509,11515.6114165704,11772.6949392167,12033.6658433743,12298.5734267819,12567.5015158905,12840.5866306479,13117.9806523566,13399.8200815267,13686.2678445028,13977.5231254355,14273.6838977841,14574.7940225689,14880.8015891103,15191.7501291106,15507.6843845624,15828.6566864794,16154.7632217237,16486.1041154543,16822.7835741451,17164.9074373203,17512.5790721313,17865.8979395169,18224.9605167617,18589.8579330534,18960.6726246264,19337.4857730443,19720.381554629,20109.4550804357,20504.8056017513,20906.5367452924,21314.7562544869,21729.5727944371,22151.0957091926,22579.4347480234,23014.6999665132,23457.0019497293,23906.4521685752,24363.1632906007,24827.249705835,25298.8283637181,25778.0190793307,26264.9445226274,26759.729568571,27262.5011412087,27773.3880263116,28292.5206897536,28820.031338105,29356.0540035908,29900.7246578621,30454.1813428423,31016.5642941307,31588.0160456624,32168.6815177781,32758.7080700918,33358.2454913256,33967.4459637042,34586.4640253423,35215.456581825,35854.5829312326,36504.0048062172,37163.8864340355,37834.3945965156,38515.6986879922,39207.970768733,39911.3856121204,40626.1207456854,41352.3564870059,42090.2759753892,42840.0652018295,43601.9130421645,44376.0112957322,45162.5547301295,45961.741128608,46773.7713392395,47598.8493246195,48437.1822107118,49288.9803347668,50154.4572924029,51033.8299841454,51927.3186618793,52835.1469757025,53757.5420216229,54694.7343905048,55646.9582185019,56614.4512388386,57597.4548346044
3,"Andorra",762.098833776716,762.159745408411,762.212001199195,762.267153644258,762.325363307275,762.386799651592,762.45045233904,762.473500042317,762.497196580358,762.521543065955,762.546538741626,762.567891342004,762.587018093804,762.604659849753,762.620600770874,762.634606071851,762.646420607004,762.655870581823,762.664613976112,762.672601330691,762.679782993462,762.68610941784,762.691717666463,762.696692982658,762.701073232535,762.704908343784,762.708261798871,762.711212268797,762.713848679042,762.716191901918,762.718265657662,762.720096535558,762.721713985297,762.723142193889,762.724401919528,762.725513176546,762.726494636431,762.727362930592,762.728131843666,762.728811773989,762.729412540671,762.729943236837,762.730412081023,762.730826269103,762.731192180248,762.731515521221,762.731801328347,762.73205399737,762.732277347006,762.73247472281,762.732649127745,762.732803236418,762.732939416454,762.733059757143,762.733166105338,762.733260093157,762.733343159383,762.733416571794,762.733481449178,762.733538781472,762.733589446064,762.733634219013,762.733673786006,762.733708752726,762.733739654299,762.733766963446,762.733791097699,762.733812425958,762.733831274296,762.733847931019,762.733862651014,762.733875659526,762.733887155584,762.733897315052,762.733906293332,762.733914227745,762.733921239643,762.733927436273,762.733932912422,762.733937751863,762.733942028631,762.73394580815,762.733949148236,762.733952099979,762.73395470853,762.733957013791,762.733959051023,762.73396085139,762.733962442431,762.733963848485,762.73396509106,762.733966189164,762.733967159594,762.733968017195,762.733968775083,762.733969444854,762.733970036752,762.733970559831,762.733971022092,762.733971430608
4,"Angola",61.4862380823021,61.722665550993,61.8376255870896,61.8935235329575,61.9207032421181,61.9339190513556,61.940345080887,61.9434696610612,61.9449889508834,61.9457276874287,61.9460868892581,61.946261546861,61.9463464720361,61.9463877658891,61.9464078445323,61.9464176075329,61.9464223546755,61.9464246629169,61.9464257852717,61.9464263310034,61.9464265963589,61.9464267253848,61.9464267881222,61.9464268186274,61.9464268334603,61.9464268406725,61.9464268441794,61.9464268458846,61.9464268467137,61.9464268471169,61.9464268473129,61.9464268474082,61.9464268474546,61.9464268474771,61.9464268474881,61.9464268474934,61.946426847496,61.9464268474973,61.9464268474979,61.9464268474982,61.9464268474983,61.9464268474984,61.9464268474984,61.9464268474984,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985,61.9464268474985
5,"Antigua and Barbuda",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
6,"Argentina",12130.6177221735,12987.9574262711,13943.2096726137,15026.0248437561,16252.5315138906,17624.3198700706,19161.515935382,20862.5195364957,22744.5984329248,24843.6756629234,27186.1399304154,29802.1082948565,32723.8837007369,35984.2438298018,39619.0169113382,43670.3176217877,48184.2849216697,53215.818001884,58826.7049441582,65083.4451993286,72059.8602054682,79837.7387882043,88507.8813976293,98171.6462762665,108942.299433187,120946.009723387,134323.433532034,149230.708038405,165840.957147153,184346.456417362,204960.69334412,227920.659805272,253489.339448114,281958.325759394,313650.621283503,348923.704504483,388172.790994934,431834.415242832,480390.276524518,534371.251053454,594361.58949703,661003.254892888,735000.347850079,817123.560204046,908214.569656284,1009190.2468029,1121046.52580693,1244861.7297548,1381799.10429825,1533108.27749586,1700125.30297551,1884270.8875829,2087046.34660511,2310026.77166484,2554850.84631688,2823206.71026232,3116813.25909966,3437396.2886785,3786658.95901638,4166246.17428864,4577702.6692295,5022424.86913981,5501606.95904176,6016182.05938073,6566759.95252254,7153563.41371282,7776365.83372166,8434433.42058609,9126475.7606754,9850608.81845839,10604334.469733,11384540.3149174,12187522.7544252,13009035.1185783,13844361.0799143,14688411.7512095,15535842.9629988,16381187.4360417,17218995.143402,18043974.2917241,18851125.17446,19635859.7005381,20394100.6160783,21122356.1568883,21817767.8738714,22478131.4162354,23101891.9104069,23688117.0597731,24236452.1079311,24747061.3282436,25220560.7633486,25657946.6247193,26060523.1835008,26429833.2523166,26767593.5741757,27075636.6783507,27355860.0887931,27610183.2093568,27840511.7731826,28048709.4278247
7,"Armenia",6675.19415511591,7047.53658367758,7418.98182865662,7789.48487914094,8159.0011913416,8527.48670911218,8894.89788396147,9261.19169454168,9626.32566559469,9990.25788634026,10352.9470282909,10714.3523624791,11074.4337760835,11433.1517884418,11790.4675664391,12146.3429392617,12500.7404125064,12853.6231816378,13204.9551447863,13554.7009148806,13902.8258311093,14249.2959697083,14594.0781540705,14937.1399641752,15278.4497453374,15617.9766162759,15955.6904765018,16291.5620130284,16625.5627064062,16957.664836086,17287.8414851147,17616.06654417,17942.3147149387,18266.5615128469,18588.7832691496,18908.9571323877,19227.0610692224,19543.0738646557,19856.9751216496,20168.7452601528,20478.3655155481,20785.8179365328,21091.0853824438,21394.1515200417,21695.0008197679,21993.6185514868,22289.9907797305,22584.104358458,22875.9469253464,23165.5068956273,23452.7734554865,23737.7365550398,24020.3869009043,24300.7159483784,24578.7158932482,24854.3796632369,25127.7009091124,25398.6739954709,25667.2939912113,25933.556659718,26197.4584487685,26458.9964801807,26718.1685392173,26974.9730637624,27229.4091332869,27481.4764576177,27731.1753655263,27978.5067931522,28223.4722722756,28466.0739184556,28706.3144190456,28944.1970211037,29179.7255192083,29412.9042431961,29643.7380458328,29872.2322904309,30098.392838428,30322.2260369355,30543.7387062727,30762.938127495,30979.8320299295,31194.4285787281,31406.7363624486,31616.7643806738,31824.5220316789,32030.0191001558,32233.2657450048,32434.2724871997,32633.050197738,32829.6100856811,33023.9636862936,33216.1228492887,33406.0997271862,33593.9067637896,33779.556682789,33963.0624764939,34144.4373947039,34323.6949337198,34500.8488255016,34675.9130269767
8,"Australia",7123.14433282665,7132.29620405456,7140.77671480098,7149.17782427976,7157.54763685375,7164.78719923295,7171.5689983613,7178.23488747634,7184.72655681535,7190.82589027455,7197.03491900692,7203.09810909912,7208.74657444841,7214.48117594117,7219.73163015758,7224.77861599728,7229.61110783344,7234.25297847752,7238.69841645857,7242.9387930381,7247.02245226328,7250.96512477868,7254.76550032081,7258.42524702078,7261.9575173957,7265.34991857236,7268.60276253186,7271.73042765896,7274.72187216394,7277.59527630355,7280.35510398839,7283.00662849962,7285.55415123394,7288.00250201202,7290.35721390073,7292.62158296364,7294.79825551854,7296.89008462424,7298.89998525361,7300.83033743593,7302.68429312631,7304.46515267503,7306.17563757105,7307.81918847335,7309.39847585245,7310.91607646519,7312.37442616601,7313.77586332832,7315.12259613918,7316.4166590502,7317.66002058931,7318.8546138672,7320.00232392392,7321.10498198191,7322.16439058627,7323.18228177098,7324.16030562044,7325.10005623464,7326.00303122506,7326.87066691758,7327.70434004687,7328.50537200524,7329.2750310445,7330.01453630186,7330.72506431173,7331.40775022438,7332.06368749409,7332.69392821235,7333.2994837586,7333.88132417145,7334.4403796729,7334.97754286995,7335.49366971443,7335.98958262948,7336.46607195999,7336.92389741016,7337.36378933431,7337.78644997997,7338.19255458564,7338.5827521956,7338.95766645362,7339.31789645448,7339.66401762252,7339.99658260213,7340.31612222762,7340.62314646409,7340.91814528249,7341.20158953017,7341.47393168361,7341.73560656469,7341.98703201919,7342.22860956344,7342.46072499967,7342.68374900622,7342.89803771598,7343.10393328365,7343.30176443802,7343.49184701734,7343.67448448607,7343.84996842789
9,"Austria",16528.1682523196,16569.4661664758,16605.7685630686,16641.6079886038,16678.3181466527,16713.521767843,16749.0408722878,16783.0346391393,16817.2247007424,16849.8570299022,16881.5497593907,16912.2960759323,16942.4949039461,16972.1379225873,17001.0845968306,17029.4147523128,17057.0365762702,17084.0305648864,17110.3155330363,17135.9750996614,17161.0402240597,17185.5455862574,17209.4899818496,17232.8729074189,17255.7076547325,17278.0009607093,17299.7692707201,17321.0227199208,17341.7804396494,17362.055208021,17381.858011846,17401.1975036461,17420.0833068315,17438.5260422846,17456.5360676102,17474.1240969455,17491.3002796777,17508.0747664555,17524.4568230821,17540.4553692307,17556.0791208186,17571.3367998957,17586.2370396087,17600.7882771847,17614.9987605719,17628.876494676,17642.4292730572,17655.6646569905,17668.590039755,17681.2126641852,17693.5396279273,17705.5778685354,17717.3341564624,17728.8150979024,17740.0271372585,17750.9765651501,17761.669524086,17772.1120167596,17782.3099088273,17792.2689302317,17801.9946761375,17811.4926094274,17820.7680641345,17829.8262489323,17838.6722507254,17847.3110378057,17855.7474627592,17863.9862648435,17872.0320723244,17879.8894049132,17887.5626763509,17895.0561970022,17902.3741763657,17909.5207254883,17916.4998592631,17923.3154986432,17929.9714727868,17936.4715211797,17942.819295736,17949.0183628668,17955.0722054964,17960.9842250232,17966.7577432253,17972.3960041165,17977.9021757585,17983.2793520337,17988.5305543809,17993.6587334936,17998.6667709775,18003.5574809687,18008.3336117118,18012.9978471008,18017.5528081833,18022.001054631,18026.3450861759,18030.5873440134,18034.7302121726,18038.7760188546,18042.7270377388,18046.5854892587
