id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,"Afghanistan",10595.0328842788,11335.011727979,12134.5500777662,12998.1416905741,13930.2489228747,14938.6762132847,16029.2586216088,17205.809371122,18469.8221528204,19880.9947564811,21458.4078216148,23075.9171238556,24822.4345798579,26707.8918379973,28742.9523522751,30939.1113132729,33308.3082638498,35863.2689001843,38617.9001782008,41587.7810516188,44781.8107920731,48207.234947822,51890.6911696274,55849.3665192893,60101.2085802214,64664.8863187019,69559.7261518731,74805.6902532145,80423.2967286619,86433.466468529,92857.2740557091,99716.8534777709,107035.6885811,114835.947886468,123139.567212619,131968.018062052,141342.04864189,151281.399401706,161804.486444992,172928.059926386,184666.847926532,197033.200880267,210036.586250765,223683.008534281,237974.744411367,252909.934103591,268482.19515507,284680.271128198,301487.728288145,318882.714648674,336837.794941848,355319.873324254,374290.212772251,393704.576262495,413513.503995499,433662.693218576,454093.49597528,474743.528424941,495547.380774822,516437.412486734,537344.613419113,558199.508382671,578933.080481086,599477.687779983,619767.946428308,639741.554035679,659340.03319504,678509.376936376,697200.582193678,715370.062109818,732979.932888584,749998.175647391,766398.67806461,782161.164338769,797271.024930898,811719.059820759,825501.150481749,838617.876172364,851074.08996376,862878.469152261,874043.053475163,884582.782994584,894515.045766385,903859.243585336,912636.382290979,920868.691408697,928579.276332838,935791.804865472,942530.228744005,948818.539817828,954680.559762186,960139.761632045,965219.12114074,969940.995275407,974327.025710784,978398.064432265,982174.11900704,985674.315030129,988916.873404326,991919.100274721
1,"Albania",995.999111830871,1006.65575879825,1018.91374436686,1029.62076047763,1040.12666603402,1049.59532941312,1058.71133821412,1067.25675593809,1075.08975927991,1083.78868403388,1093.37806664272,1103.03700591635,1112.93792315724,1122.69705497693,1132.30728129953,1141.61239974101,1150.68409579558,1159.40906087564,1167.88423445075,1176.55455873411,1185.42416191198,1194.36717067219,1203.40520942317,1212.4378402901,1221.4262538964,1230.31018795071,1239.06343029476,1247.649862638,1256.13451086647,1264.60442057123,1273.07815797696,1281.56578852429,1290.06669646287,1298.5627749775,1307.03377881848,1315.4562399033,1323.80880695236,1332.07998169308,1340.28560819712,1348.44628744621,1356.57397584217,1364.67823758197,1372.76301801317,1380.82621511714,1388.86186764589,1396.86100941482,1404.81424418236,1412.71673257577,1420.57062036171,1428.38034743284,1436.15070853512,1443.88629337282,1451.59006353697,1459.26292877146,1466.90375577256,1474.50971822231,1482.07745910747,1489.6048236568,1497.09142759978,1504.53801280752,1511.94606406838,1519.31735579969,1526.65340397489,1533.95511247594,1541.22258022287,1548.45515484054,1555.65183493758,1562.81179366665,1569.93461776705,1577.02031991414,1584.06929441583,1591.08217033918,1598.05961768662,1605.00216965365,1611.91009573842,1618.78338091029,1625.62182949175,1632.42521325793,1639.19337515332,1645.926287843,1652.62407233608,1659.28696945928,1665.91528046946,1672.50929631459,1679.06923789844,1685.59523159746,1692.08732581005,1698.54552845506,1704.96984544735,1711.36031263906,1717.71701427207,1724.0400838352,1730.329689702,1736.58601145967,1742.8092162043,1748.9994441149,1755.15680651936,1761.28139310922,1767.37328387219,1773.43256194362
2,"Algeria",8303.2706858052,8510.07331563086,8719.2578848942,8931.01441677483,9145.19571382957,9361.61081649075,9580.08557442294,9800.84824246845,10024.289320296,10250.9744452099,10481.2581687895,10715.5552419439,10953.9773501265,11204.272957353,11467.0061817701,11720.0381110205,11976.7352291979,12237.1987435815,12501.5226876643,12769.8203071459,13042.2290786169,13318.9112839488,13600.0238180219,13885.7047960953,14176.0580728838,14471.167387358,14771.0899610616,15075.8785976301,15384.9716430479,15697.7178895965,16015.1814671523,16337.4441010274,16664.585875106,16996.6856724634,17333.8195461757,17676.0585616345,18023.466423308,18376.0993218386,18734.006836841,19097.2341446481,19465.8232728053,19839.8149632531,20219.248921775,20604.212665825,20994.8524140241,21391.2411558076,21793.4510768744,22201.5536244002,22615.6195423089,23035.7190388889,23461.9221391072,23894.2992531586,24332.9218016009,24777.8628175514,25229.1974204351,25687.0032269612,26151.3606460676,26622.3531769025,27100.0638523909,27584.5705412749,28075.9513516272,28574.2847103848,29079.6494438447,29592.1248615638,30111.7908334309,30638.7278447369,31173.017010406,31714.7400407414,32263.9791567527,32820.8169613401,33385.3362679022,33957.6198922705,34537.7504049198,35125.8101451587,35721.8816077164,36326.0474321719,36938.3903852237,37558.9933351764,38187.9392177757,38825.3109932714,39471.1915957736,40125.6638775344,40788.8105515969,41460.7141366626,42141.4569078307,42831.1208570176,43529.7876666853,44237.5387010256,44954.4549953183,45680.6172140371,46416.1056065511,47160.9999608085,47915.3795554632,48679.3231110122,49452.9087405625,50236.2139008092,51029.3153436448,51832.289068582,52645.2102758821,53468.153319989
3,"Andorra",762.113371465148,762.187657759435,762.242217720063,762.290240475323,762.338469691787,762.381828543653,762.418992489023,762.450064624794,762.474963807889,762.493476565706,762.512350694932,762.527661168608,762.540683461679,762.552068228896,762.562032111583,762.570566303478,762.57777439864,762.583849528266,762.588977430999,762.59334869787,762.597167879811,762.600411401589,762.603191708859,762.605579541746,762.607624115674,762.609367376459,762.610851469257,762.612117018184,762.613198581193,762.614125044389,762.614919406421,762.615598093719,762.616178689163,762.616675213409,762.617099491276,762.617461865685,762.617771444253,762.618036100878,762.61826246254,762.61845610143,762.61862170852,762.618763275556,762.618884306904,762.618987769001,762.619076203671,762.619151796584,762.619216421989,762.619271678995,762.619318927367,762.619359325889,762.619393864585,762.619423391607,762.619448634502,762.619470214623,762.619488663616,762.619504436285,762.619517921324,762.619529450675,762.619539307844,762.619547735175,762.619554939949,762.619561099493,762.619566365473,762.619570867535,762.619574716525,762.619578007203,762.619580820563,762.619583225834,762.619585282201,762.619587040265,762.619588543297,762.619589828294,762.619590926888,762.619591866121,762.61959266911,762.619593355619,762.619593942544,762.61959444433,762.619594873327,762.619595240093,762.619595553656,762.619595821733,762.619596050923,762.619596246867,762.619596414387,762.619596557607,762.619596680051,762.619596784734,762.619596874231,762.619596950746,762.619597016162,762.619597072088,762.619597119902,762.61959716078,762.619597195728,762.619597225606,762.619597251151,762.61959727299,762.619597291661,762.619597307623
4,"Angola",61.9319188370868,63.0333256907003,63.5688493491984,63.8292304075352,63.9558322526835,64.0173882886287,64.0473179108623,64.0618702168171,64.0689458024964,64.0723860759908,64.074058797123,64.0748721033869,64.0752675471139,64.0754598187685,64.075553304609,64.0755987590594,64.0756208598079,64.0756316055783,64.0756368303597,64.0756393707399,64.0756406059171,64.0756412064818,64.0756414984869,64.0756416404649,64.0756417094971,64.0756417430617,64.0756417593814,64.0756417673164,64.0756417711745,64.0756417730503,64.0756417739624,64.0756417744059,64.0756417746215,64.0756417747263,64.0756417747773,64.0756417748021,64.0756417748141,64.07564177482,64.0756417748228,64.0756417748242,64.0756417748249,64.0756417748252,64.0756417748254,64.0756417748254,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255,64.0756417748255
5,"Antigua and Barbuda",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
6,"Argentina",11989.8478658187,12818.0243998593,13742.9854625522,14775.6380050011,15930.829707978,17219.0126661802,18647.638922845,20227.4519138407,22040.070091952,24119.8788713626,26331.5804587972,28793.0305977604,31531.2320235477,34575.8824247644,37959.0916881159,41716.550142876,45888.631555789,50520.5295065413,55650.2201977137,61315.6320434761,67584.9439773821,74516.1921674735,82171.5897916097,90617.4973717211,99924.3862396568,110166.530380187,121421.390176613,133768.806244764,147292.080308374,162077.873158469,178210.79768725,195774.061347347,214847.685853443,235506.42467956,257817.370438876,281837.300973382,307609.839435175,335162.508266545,364503.456235144,395618.12471708,428466.779179788,462982.17463587,499067.850594916,536597.251508902,575413.851424795,615332.418841374,656141.494591972,697607.078322651,739477.472194206,781489.1196298,823373.099159781,864861.980546778,905696.675427473,945632.90955994,984446.973143589,1021940.46666959,1057943.8444914,1092318.65564513,1124958.47581113,1155788.61124492,1184764.73289385,1211870.64283882,1237115.39889603,1260530.02509577,1282164.01997017,1302081.84632706,1320359.55079698,1337081.62368703,1352338.17358543,1366222.45910671,1378828.79302223,1390250.81310459,1400580.09889262,1409905.10364687,1418310.36516643,1425875.95695464,1432677.14156959,1438784.19009066,1444262.33480766,1449171.82597799,1453568.06745257,1457501.80985895,1461019.38367489,1464162.9578279,1466970.81236544,1469477.61624759,1471714.70343133,1473710.3421739,1475489.99391881,1477076.55928457,1478490.60959154,1479750.60307576,1480873.08548357,1481872.87514896,1482763.23295244,1483556.01776928,1484261.82815399,1484890.13109335,1485449.37870442,1485947.11376726
7,"Armenia",6463.31851963638,6958.4106196856,7429.94531217572,7877.52309948872,8300.99130617188,8700.42240486137,9076.08982555699,9428.44233512476,9758.07796049496,10065.7182868012,10352.1838051287,10618.3708259374,10865.230323262,11093.7489383141,11304.9322533444,11499.7903494911,11679.3255859854,11844.5224813232,11996.3395377864,12135.7028265107,12263.5011384496,12380.5825044739,12487.7518930477,12585.769904337,12675.3522934422,12757.1701712667,12831.8507482109,12899.9785025692,12962.0966715946,13018.7089782885,13070.2815208024,13117.2447637947,13159.9955821196,13198.899316865,13234.2918120794,13266.4814076265,13295.7508695933,13322.3592446785,13346.5436291137,13368.5208460415,13388.4890279895,13406.6291032467,13423.1061866377,13438.0708764968,13451.6604606194,13464.0000346803,13475.2035371004,13485.3747046629,13494.6079533561,13502.9891889909,13510.5965521211,13517.501101713,13523.767441881,13529.4542958375,13534.6150310181,13539.2981391345,13543.5476746979,13547.4036553334,13550.9024269947,13554.0769969735,13556.9573373944,13559.5706616871,13561.9416763411,13564.0928100695,13566.0444223406,13567.8149930777,13569.4212951825,13570.8785513987,13572.2005769055,13573.3999089139,13574.4879244295,13575.4749472434,13576.3703451245,13577.1826180962,13577.919478608,13578.5879243361,13579.1943042857,13579.7443788052,13580.2433740679,13580.6960315295,13581.1066528192,13581.479140486,13581.8170349786,13582.123548207,13582.4015939999,13582.6538157436,13582.8826114623,13583.0901565766,13583.2784245535,13583.4492056433,13583.6041238806,13583.7446525083,13583.872127973,13583.9877626217,13584.092656221,13584.1878064083,13584.2741181728,13584.3524124574,13584.4234339622,13584.4878582232
8,"Australia",7122.57694796829,7131.49210970339,7140.13260628358,7148.39064539997,7156.17362033414,7163.59194938631,7170.62669303186,7177.20596973663,7183.57630252785,7189.79957906102,7195.81620378384,7201.67779119802,7207.3658970264,7213.08712959578,7218.82415896042,7223.82477586905,7228.62198881096,7233.21950267536,7237.62681506698,7241.85872819853,7245.92507625494,7249.83718814445,7253.61071572773,7257.24931582446,7260.75361981989,7264.12738808578,7267.37189469325,7270.48943810151,7273.47170204499,7276.31083859281,7279.03767199991,7281.65693603677,7284.17341785515,7286.59165981532,7288.91567118445,7291.14915855329,7293.29543246208,7295.3571622417,7297.33696588319,7299.23756455185,7301.06162538981,7302.81188788081,7304.49111439042,7306.1026428151,7307.65039214917,7309.13688357019,7310.56452328442,7311.93559378255,7313.2522601317,7314.51659157192,7315.73057226387,7316.89611744565,7318.01510316523,7319.08936691264,7320.12070025758,7321.11084927128,7322.06150840537,7322.97431662219,7323.85082461314,7324.69246002489,7325.50059368636,7326.27654263058,7327.02157372758,7327.7369071792,7328.42371907342,7329.08314351299,7329.71627401525,7330.32416343999,7330.90782388074,7331.46822693283,7332.00630395347,7332.52294665328,7333.01900791962,7333.49530438567,7333.95262093952,7334.39171202687,7334.8133028645,7335.21809052796,7335.60674491417,7335.97990962144,7336.33820276448,7336.68221775908,7337.0125241513,7337.32966849535,7337.63417526316,7337.92654778768,7338.20726922443,7338.47680352027,7338.73559629895,7338.98407555852,7339.22265233715,7339.45172135063,7339.67166160638,7339.8828369994,7340.08559689344,7340.28027669003,7340.46719838627,7340.64667111856,7340.81899168896,7340.98444507159
9,"Austria",16521.7919492327,16559.8216456845,16596.2931754829,16631.2299144775,16664.8473463065,16697.7991049926,16730.1930422161,16761.5396338506,16793.9847198688,16827.3950180269,16856.4004775453,16884.5474853998,16911.9026179162,16938.5365284584,16964.5061056721,16989.8116006253,17014.4430525404,17038.4359960083,17061.62576114,17083.8447339054,17105.4188044967,17126.3683281457,17146.7092692825,17166.4523997992,17185.6041134386,17204.1713827699,17222.1627823985,17239.5843266187,17256.4582105134,17272.824620144,17288.6966451493,17304.0866825389,17319.006787576,17333.469133839,17347.4864395905,17361.0719645815,17374.2394095663,17387.0032008597,17399.3770254245,17411.3720557975,17422.999280464,17434.2695521845,17445.1936076336,17455.7820452918,17466.0452608333,17475.9933766995,17485.6361745257,17494.9829942019,17504.0427621944,17512.8241907448,17521.3357750935,17529.5857858578,17537.582258823,17545.3329858598,17552.845511099,17560.1271334144,17567.1849155395,17574.0257036069,17580.6561458509,17587.0826942051,17593.3116063112,17599.348948438,17605.200599642,17610.8722571788,17616.3694427885,17621.697509338,17626.8616472269,17631.8668895467,17636.7181159557,17641.4200567675,17645.9772972346,17650.3942819602,17654.6753193319,17658.8245858611,17662.8461303377,17666.7438777465,17670.5216329479,17674.1830842167,17677.7318067478,17681.1712661069,17684.5048215997,17687.7357295431,17690.8671464243,17693.9021319479,17696.8436519771,17699.6945813823,17702.4577068097,17705.1357293764,17707.7312672889,17710.2468583812,17712.6849625744,17715.0479642586,17717.3381746011,17719.557833784,17721.7091131745,17723.7941174311,17725.8148865466,17727.7733978284,17729.6715678193,17731.5112541582
