id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,"Afghanistan",10719.750951697,11482.295276015,12304.4333900838,13198.4205704767,14184.0539958036,15238.4875099387,16368.6549532617,17592.0452643047,18915.8312633066,20349.9540420567,21886.5850219036,23544.4861432961,25334.3141769721,27266.9497242494,29353.3075179586,31603.9661424496,34031.8693587287,36651.932910441,39478.9530143155,42528.8493608045,45818.3512805617,49367.5245630717,53196.8401129537,57328.242740229,61785.2714263062,66593.2817789953,71779.7707841354,77374.4108156899,83409.0235824424,89917.903273862,96938.0133033851,104509.261058533,112674.432382437,121479.538327276,130974.060658409,141211.215805493,152248.221544761,164146.55024333,176972.209501751,190796.066432479,205694.167182517,221748.068733857,239045.172360711,257679.109268308,277750.123743507,299365.466998967,322639.799125436,347695.598472564,374663.579896424,403683.117162277,434902.661362804,468480.153072617,504583.422839464,543390.575115815,585090.3422304,629882.400895451,677977.640449555,729598.370612265,784978.45465271,844363.351484847,908010.048470226,976186.865351726,1049173.10748112,1127258.54458251,1210742.68928423,1299933.84891043,1395147.92269209,1496706.91596787,1604937.14300314,1720167.09099287,1842724.9198946,1972935.57608445,2111117.50260398,2257578.93530656,2412613.78268058,2576497.09771418,2749480.16282521,2931785.22373804,3123599.92509755,3325071.51930715,3536300.94011569,3757336.85320345,3988169.81657426,4228726.70289278,4478865.55275028,4738371.04079286,5006950.74422159,5284232.40392731,5569762.36113993,5863005.33592406,6163345.68753993,6470090.2605794,6782472.87552853,7099660.46939265,7420760.83338363,7744831.83322331,8070891.93669363,8397931.81628792,8724926.74582044,9050849.47195552
1,"Albania",998.848497264041,1009.20434171985,1019.22819453968,1028.69397307422,1036.95133281684,1045.42312488843,1053.8998521542,1062.04094788048,1070.25062935118,1078.45640582713,1087.00566129029,1095.64173194153,1104.26891860575,1112.58325840411,1120.60095285082,1128.55167307322,1136.37293867943,1144.06160462622,1151.69511659548,1159.30573467547,1166.96442288058,1174.63372718498,1182.27012779115,1189.79752943292,1197.22524992709,1204.56505909661,1211.8062013228,1218.95865597313,1226.0413031493,1233.08016432776,1240.09369459732,1247.08108983468,1254.02821540419,1260.91824129599,1267.74834766854,1274.51498329739,1281.21438426868,1287.84868673949,1294.42450944028,1300.95140871132,1307.43697523957,1313.88360967707,1320.28909894523,1326.65033141152,1332.96539695706,1339.2318481228,1345.44800975931,1351.61404776676,1357.73209739553,1363.80556852941,1369.83762996484,1375.83015351877,1381.78366567966,1387.69810008139,1393.57305733718,1399.40781122832,1405.20180667902,1410.95505646503,1416.66829895144,1422.34280757288,1427.97996140504,1433.58088875482,1439.14637214697,1444.67691241959,1450.17274342655,1455.63390213981,1461.06040279106,1466.45239988754,1471.81027977338,1477.13463374574,1482.42614921225,1487.68549991384,1492.9132860661,1498.11000498295,1503.27603386178,1508.41165002281,1513.51708571517,1518.59259005326,1523.63847232128,1528.6551097421,1533.6429266361,1538.60236448679,1543.53385570792,1548.43780156304,1553.31455794745,1558.16443615891,1562.98771742685,1567.78467375958,1572.55558584905,1577.30075165128,1582.02048564318,1586.71511243703,1591.38495775425,1596.03033863133,1600.65155586634,1605.24889142352,1609.82261109764,1614.37297058129,1618.90022200601,1623.40461860334
2,"Algeria",8310.23179469056,8510.43649476737,8715.04302375148,8922.25836103312,9131.62310109625,9342.79672246465,9556.71260653152,9773.2934380083,9992.12385457144,10213.9374114178,10439.161139018,10668.5276067659,10901.3984112573,11137.7610300873,11377.6145596278,11620.7403537198,11867.1870968329,12116.9859050492,12370.1904203155,12626.8886025383,12887.1752130941,13151.1354327081,13418.8659586836,13690.4834331234,13966.0549946576,14245.6204041511,14529.1713306206,14816.747307253,15108.3889964527,15404.1411115084,15704.0703747973,16008.2456424323,16316.7380525352,16629.6198214627,16946.9621367102,17268.8344298066,17595.3048615986,17926.4391517234,18262.2989043905,18602.9453211454,18948.4413291507,19298.8555575905,19654.2589431905,20014.724848739,20380.3289352109,20751.1475673605,21127.2576953742,21508.7367203174,21895.6624468963,22288.1131975245,22686.1679931875,23089.906711447,23499.4103518702,23914.7614570488,24336.0442683368,24763.344723118,25196.7501325162,25636.3491060836,26082.2314607992,26534.4881329617,26993.2112112053,27458.4939817112,27930.4309878435,28409.1180983415,28894.652571809,29387.1331118478,29886.6599139131,30393.3346945841,30907.2606893362,31428.5426376084,31957.2867668843,32493.6008013845,33037.5939774987,33589.3770677572,34149.0624137982,34716.7639593154,35292.5972820055,35876.6796232759,36469.1299148442,37070.0688022775,37679.6186659785,38297.9036400759,38925.0496304662,39561.1843344672,40206.4372632346,40860.9397672403,41524.825063082,42198.2282611875,42881.2863938003,43574.1384425443,44276.925365536,44989.7901240877,45712.8777091476,46446.3351677053,47190.3116294058,47944.9583335919,48710.4286569781,49486.878142074,50274.4645262871,51073.3477715369
3,"Andorra",762.142240239114,762.282751487597,762.346542960213,762.41877479781,762.500825298105,762.594318167679,762.683340730897,762.74224769546,762.803283394624,762.865485308653,762.927470229885,762.985166789926,763.039861269171,763.093395127258,763.145247865962,763.194991711559,763.242387803316,763.287574701799,763.331541468821,763.374180076672,763.415443529655,763.455338388845,763.493990996315,763.531470662008,763.567798245633,763.603016458821,763.637182200771,763.670358818216,763.702608510449,763.733957788268,763.764437212773,763.794078956436,763.822915455991,763.85097534733,763.878285330171,763.90487177788,763.930759958896,763.955973574811,763.980534471964,764.004462508612,764.027776944892,764.050496303708,764.07263830744,764.094219837981,764.115257058797,764.135765484257,764.155759979812,764.175254788161,764.194263572314,764.212799474575,764.230875186649,764.248502962997,764.265694639064,764.282461652469,764.298815066984,764.314765592238,764.330323600457,764.345499143629,764.360301970235,764.374741540814,764.388827041528,764.402567395093,764.415971271446,764.429047097972,764.441803069137,764.454247155375,764.466387111382,764.478230483971,764.489784619437,764.50105667044,764.512053602426,764.522782199665,764.533249071008,764.543460655354,764.553423226858,764.563142899879,764.572625633696,764.581877237024,764.59090337232,764.599709559917,764.608301181979,764.616683486312,764.624861590024,764.632840483054,764.640625031576,764.648219981282,764.655629960555,764.662859483534,764.66991295308,764.676794663654,764.683508804096,764.690059460326,764.696450617964,764.702686164868,764.708769893605,764.71470550385,764.720496604709,764.726146716992,764.731659275411,764.737037630725
4,"Angola",61.9002531952743,62.6346358087999,63.381903875935,63.8236192341388,64.1809329044731,64.5125929077812,64.8011812112725,65.0485959269791,65.2421670500444,65.4089484433464,65.5543550488628,65.6781840757807,65.7826564314508,65.8702099618859,65.9451743134343,66.0092062398469,66.0635339762231,66.1095667056253,66.1486214752424,66.181883777752,66.2101645920159,66.2341744019679,66.2545621021918,66.2718858806044,66.2866133215197,66.2991262655024,66.3097552952922,66.3187856108169,66.3264589617481,66.3329792918054,66.3385190460668,66.3432256516801,66.3472246527646,66.3506225180369,66.3535095530416,66.3559624859824,66.3580466089272,66.3598174005411,66.3613219681482,66.3626003266404,66.3636864822383,66.3646093367877,66.3653934442707,66.3660596638225,66.3666257184738,66.3671066678481,66.3675153078507,66.3678625100666,66.3681575113234,66.3684081598278,66.3686211239539,66.3688020694983,66.36895581036,66.3690864366726,66.3691974236483,66.3692917240186,66.3693718465743,66.3694399229106,66.3694977641439,66.3695469090963,66.369588665232,66.3696241434405,66.3696542875917,66.3696798996472,66.3697016609962,66.3697201505824,66.3697358603069,66.3697492081149,66.3697605491142,66.3697701850236,66.3697783721987,66.3697853284532,66.3697912388527,66.3697962606389,66.3698005274125,66.3698041526876,66.369807232912,66.3698098500326,66.3698120736758,66.369813963,66.3698155682692,66.3698169321902,66.3698180910493,66.3698190756769,66.3698199122683,66.3698206230803,66.3698212270235,66.3698217401655,66.3698221761578,66.3698225465999,66.3698228613469,66.3698231287726,66.3698233559914,66.3698235490485,66.36982371308,66.3698238524497,66.3698239708656,66.369824071478,66.3698241569635,66.3698242295965
5,"Antigua and Barbuda",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
6,"Argentina",12117.3548394251,12960.9936149615,13898.4051530262,14933.7875405812,16074.998648819,17333.1526929592,18723.5365758334,20247.8904092876,21916.6690655708,23752.7891095197,25775.6985270159,28005.6843277767,30464.1261437787,33173.3160999652,36158.0974121908,39446.951082145,43070.6619821436,47065.0178937479,51470.0300941616,56328.8700291732,61689.1180835682,67603.1491143039,74128.7840887379,81330.1417547375,89278.3724439286,98052.2225731763,107738.924716571,118434.800382084,130246.11282169,143290.254204085,157696.891442283,173609.239698369,191185.440023037,210600.008439552,232045.384679802,255733.624723208,281898.199995534,310795.965694963,342709.270212548,377948.157219757,416852.669753585,459795.23327519,507183.090529913,559460.758152189,617112.460344819,680664.473980364,750687.309037577,827797.617803881,912659.707100683,1005986.50937908,1108539.83750169,1221129.71935911,1344612.57866323,1479887.99840446,1627893.77748215,1789598.97293897,1965994.61214521,2158081.76920666,2366856.73163121,2593293.04286586,2838320.30205699,3102799.73971241,3387496.77114189,3693050.95970784,4019944.09485326,4368467.39448061,4738689.15843238,5130424.50094458,5543209.0381422,5976278.55891989,6428556.71898538,6898652.62867917,7384869.82909046,7885227.56373997,8397494.47969158,8919233.98985844,9447859.58479954,9980697.50529106,10515053.4891737,11048279.8859677,11577839.3561211,12101361.6573805,12616690.6356789,13121919.4025205,13615412.6833211,14095816.3377908,14562054.969536,15013319.2692558,15449045.2222988,15868887.5434989,16272689.7001319,16660452.6913524,17032304.425906,17388471.1377117,17729251.8536118,18054996.5211079,18366088.0455251,18662928.1928883,18945927.093507,19215495.9305366
7,"Armenia",6665.03958461514,7043.7216083497,7440.41881381696,7846.98319655869,8267.40319971815,8698.87204897678,9146.63570332999,9610.84570332455,10091.1235394145,10588.9414521537,11105.1704170667,11641.5556962687,12199.0065581045,12778.6107153711,13381.8025231436,14010.0044759466,14664.7671419908,15347.5912819882,16060.1144691229,16804.1006277661,17581.3871062537,18393.904352154,19243.6669489483,20132.8046742995,21063.5565252124,22038.2657406343,23059.3861059895,24129.4849778354,25251.2490283268,26427.4838702091,27661.1148798835,28955.189250019,30312.8768830595,31737.4706187948,33232.3849899305,34801.1545950406,36447.4317076334,38174.9826462458,39987.6828839306,41889.5107567045,43884.5397895195,45976.9294104721,48170.9138647828,50470.7892127775,52880.8982802985,55405.6134392722,58049.3170717068,60816.3795991907,63711.1349868414,66737.8536478295,69900.7127003746,73203.7635594808,76650.8968892547,80245.8049888236,83991.9417365647,87892.4802763689,91950.2686950962,96167.7840119527,100547.084875841,105089.763444979,109796.897002979,114668.999944875,119705.976842762,124907.077370794,130270.853930288,135795.122864351,141476.930184294,147312.5227438,153297.325788079,159425.92777154,165692.073276438,172088.664775319,178607.773861451,185240.662424445,191977.814075184,198808.975928087,205723.210634474,212708.958334134,219754.107960112,226846.077101885,233971.89941271,241118.318346199,248271.885833067,255419.064368582,262546.330880549,269640.280691038,276687.72987526,283675.814358571,290592.084176239,297424.591447099,304161.970776338,310793.510998021,317309.217386774,323699.863702086,329957.033669265,336073.151739905,342041.503203865,347856.243937502,353512.400263351,359005.859560414
8,"Australia",7122.91873222313,7132.28468856048,7141.36977115482,7150.00786467101,7159.09095621181,7167.11722774607,7174.92594062465,7182.60635689189,7190.10567118563,7197.3740324516,7204.56882943886,7211.63094867138,7218.41251417355,7225.16341791386,7231.60234741783,7237.86300606907,7243.94968451329,7249.87300112541,7255.63102161142,7261.220688385,7266.66694410849,7271.97982445839,7277.15940215172,7282.20762573066,7287.13221295896,7291.92808711799,7296.59658988302,7301.14591004682,7305.57157766855,7309.88372182434,7314.08559403424,7318.18083157503,7322.17255080928,7326.06412589679,7329.85926528868,7333.56054059632,7337.17018041762,7340.69049872936,7344.12382568274,7347.47220759321,7350.73806055817,7353.9238590993,7357.03177298177,7360.06431673366,7363.0236049594,7365.9116908671,7368.73054298448,7371.48206716142,7374.16809047968,7376.79033969521,7379.35049540323,7381.85020754479,7384.29108932271,7386.6747145614,7389.0026305048,7391.27633712937,7393.49728164921,7395.66687171746,7397.78645538869,7399.85733893106,7401.88078788112,7403.85802937157,7405.79025343157,7407.67861519536,7409.52423835037,7411.32821593516,7413.09161036858,7414.81545379798,7416.50074860284,7418.14846725537,7419.7595532543,7421.33492239421,7422.87546341082,7424.3820397066,7425.8554902352,7427.29663037663,7428.7062527361,7430.08512791614,7431.43400521326,7432.7536131704,7434.04466011615,7435.3078347302,7436.54380661973,7437.75322689918,7438.93672880731,7440.09492830719,7441.22842465094,7442.33780093984,7443.42362462322,7444.48644797681,7445.52680856002,7446.54522965506,7447.54222068826,7448.51827763676,7449.47388342716,7450.40950832661,7451.3256103244,7452.2226355031,7453.10101839851,7453.96118234586
9,"Austria",16527.6956363339,16567.9323713516,16606.3528158305,16643.5480194494,16681.8007307548,16718.3308193075,16754.6988161174,16790.1180288157,16825.2844688418,16859.4432401536,16892.7417670705,16925.2866166426,16957.2847316282,16988.7154522535,17019.5201834301,17049.7295304731,17079.3172163121,17108.3259566959,17136.7166744168,17164.5361161809,17191.8034193917,17218.5420444954,17244.7549435703,17270.4456255044,17295.6249231722,17320.3002494228,17344.483944684,17368.184813781,17391.4161943034,17414.1882493016,17436.5101676484,17458.3899047217,17479.8358084596,17500.8566872852,17521.4611658831,17541.6579848161,17561.4555429524,17580.8621818083,17599.885749127,17618.5338657498,17636.813996475,17654.7335565668,17672.2998655145,17689.5200947919,17706.401271425,17722.9502518768,17739.1737388711,17755.078271785,17770.6702595776,17785.9559902578,17800.9416342889,17815.6332379149,17830.0367203967,17844.1578761513,17858.0023766903,17871.5757753314,17884.8835107288,17897.9309116997,17910.7231992793,17923.2654880393,17935.5627872034,17947.6200025308,17959.4419386574,17971.0333014557,17982.3987004344,17993.5426509117,18004.4695760536,18015.1838086377,18025.6895927872,18035.9910857461,18046.0923597182,18055.9974037023,18065.7101252766,18075.2343523259,18084.5738347029,18093.7322458378,18102.7131843061,18111.5201753765,18120.1566725399,18128.626059014,18136.9316492151,18145.0766901929,18153.0643630311,18160.8977842158,18168.5800069739,18176.1140225854,18183.5027616699,18190.7490954468,18197.8558369689,18204.8257423297,18211.6615118432,18218.3657911995,18224.941172595,18231.3901958397,18237.715349441,18243.9190716651,18250.0037515757,18255.9717300506,18261.8253007773,18267.5667112268
