id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,"Afghanistan",10558.5915543962,11286.1845270583,12068.9176548831,12906.0428484989,13844.1014741072,14901.3593785778,15985.1885331026,17157.0468158467,18422.5842344027,19818.7419921633,21352.840390073,22954.6496043658,24684.3776588511,26551.6194323648,28566.2836119326,30738.1508330507,33078.8240617382,35603.3118178262,38325.5507581594,41260.9305011021,44422.1770540675,47822.2133349991,51484.8845499677,55429.6834606372,59677.497918636,64250.6960283968,69173.1834805875,74470.4246233795,80169.4708393173,86299.0883953614,92889.7534908466,99974.2661774773,107588.06213755,115767.961242558,124552.922646238,133984.097364898,144104.871896076,154960.90288057,166600.136633494,179072.810275958,192431.432483972,206730.750125414,222027.606617758,238380.720312402,255850.600180188,274499.326557825,294390.278678338,315587.803134301,338156.817323583,362162.342810084,387668.963787686,414740.206003383,443437.831441478,473821.057927109,505945.711055518,539863.287864221,575619.948803447,613255.44683196,652802.005967903,694283.165453429,737712.609646872,783093.0078133,830414.892000609,879655.604994642,930778.351962053,983731.390528137,1038447.39779849,1094843.05097377,1152818.85595657,1212259.25425753,1273033.03249813,1334994.05093317,1397982.2978523,1461825.26578441,1526339.63357386,1591333.22639004,1656607.21419677,1721958.49844659,1787182.22792778,1852074.37825598,1916434.32594271,1980067.34757737,2042786.97749535,2104417.1632092,2164794.16647526,2223768.16859438,2281204.55069862,2336984.83258818,2391007.26642821,2443187.09358268,2493456.48346965,2541764.1821333,2588074.9049705,2632368.51261902,2674639.01145306,2714893.42060896,2753150.54623993,2789439.70109297,2823799.40385963,2856276.08841498
1,"Albania",995.508443840487,1004.62760480284,1014.61145044917,1023.77097075211,1033.04079271221,1042.17169086393,1050.50104235211,1058.53569028904,1066.19256039898,1074.27260269455,1082.75010880929,1091.13285706828,1099.60026154903,1107.95219215106,1116.1785626367,1124.19139568333,1132.0238622203,1139.63099855934,1147.0595190665,1154.53320506492,1162.05556771753,1169.56607834306,1177.07841285043,1184.54240924114,1191.93899287759,1199.23825486099,1206.42748865531,1213.48883194988,1220.45558655854,1227.37269006902,1234.25083277271,1241.09644473867,1247.91041007819,1254.68460611912,1261.40964824206,1268.07433552752,1274.6683797109,1281.18642171868,1287.63703625319,1294.03135313778,1300.37625266745,1306.6774573146,1312.93783840651,1319.15715654461,1325.33313046158,1331.46185423495,1337.53911141989,1343.5629514948,1349.5349779214,1355.45799818068,1361.33504614232,1367.16908401348,1372.96225950673,1378.71566688633,1384.42932892468,1390.10236027604,1395.73355768544,1401.32229651492,1406.86883990783,1412.37402683018,1417.83908557846,1423.26540356024,1428.65424311162,1434.00655205601,1439.32285477398,1444.603271111,1449.84771867669,1455.056183252,1460.22884733429,1465.36610341696,1470.46853670362,1475.5368527318,1480.57177812632,1485.57396698896,1490.54393183036,1495.48202893949,1500.38850932948,1505.26359458366,1510.10753172052,1514.92062581022,1519.70325211531,1524.45584335647,1529.17886002542,1533.87275365591,1538.53793484725,1543.17475912192,1547.7835342406,1552.36453901301,1556.91804336788,1561.44432562417,1565.94368306949,1570.41643340244,1574.86290798904,1579.28343984055,1583.67835113693,1588.04794529334,1592.39250547164,1596.7122979998,1601.0075785023,1605.278598771
2,"Algeria",8283.76020658524,8479.67566667742,8677.28973717429,8876.52895795164,9086.98654871185,9310.13862074786,9522.44985493174,9738.09959314168,9957.63377244559,10181.7937759876,10409.3087021165,10638.3128581664,10871.2134007871,11111.8264500441,11360.276018641,11605.1356745792,11853.0579134074,12104.4575432104,12359.3350392779,12617.7068578056,12879.6275186126,13145.2218586109,13414.6322058189,13687.9291843022,13965.1759971383,14246.4362544249,14531.7675462586,14821.2221247455,15114.5340942187,15411.3951570646,15712.3665359513,16017.5146517371,16326.9043136431,16640.5993698647,16958.66338595,17281.1580292934,17608.1415037594,17939.6683916792,18275.7903130028,18616.5572041174,18962.0178395724,19312.2207512079,19667.2144004003,20027.0720970885,20391.8976581555,20761.7582260953,21136.7210480679,21516.8535278156,21902.2232607851,22292.8981306157,22688.9464993441,23090.4375136419,23497.4414421008,23910.0300010386,24328.2766147413,24752.2566445198,25182.0475591427,25617.729106288,26059.3815027915,26507.0830272493,26960.912803599,27420.9508588033,27887.2781814527,28359.9767825485,28839.1297532189,29324.8213115042,29817.1368283694,30316.162828839,30821.98696711,31334.6979787546,31854.3856107112,32381.1405320388,32915.0542238178,33456.2190051776,34004.7282541289,34560.6764230666,35124.1590508578,35695.2727711664,36274.1153165371,36860.7855181459,37455.3833017506,38058.0096811982,38668.7667512886,39287.7576820206,39915.0867161666,40550.8591722129,41195.1814546325,41848.161073736,42509.9066649749,43180.5279920717,43860.1359491146,44548.8425618035,45246.760988083,45954.0055184497,46670.6915762547,47396.9357183027,48132.8556359666,48878.5701569077,49634.1992473383,50399.8640146027
3,"Andorra",762.138429832011,762.249157397747,762.342570612126,762.42532882169,762.500144254695,762.580360760584,762.65377701015,762.720788394008,762.781883245212,762.83774538052,762.893544978953,762.945036339706,762.993321705088,763.039064181058,763.082573702455,763.123887763643,763.16291885587,763.199894363515,763.235009794736,763.26843641224,763.300333466186,763.33069565409,763.359658682055,763.387316163788,763.413738544331,763.438988357068,763.463129918613,763.48622922808,763.508344865342,763.52952956552,763.549830923235,763.569291135398,763.587953117154,763.60585543676,763.623033866069,763.639522168899,763.655352317226,763.670554408694,763.685156594879,763.699185321345,763.712665504464,763.725620694795,763.738073270446,763.75004438605,763.761554115455,763.772621538172,763.78326479838,763.793501156752,763.803347044587,763.812818122591,763.821929331766,763.830694938739,763.839128575634,763.847243272851,763.855051494733,763.862565170401,763.869795721813,763.876754090036,763.883450760029,763.889895783884,763.896098802233,763.902069064116,763.907815445464,763.913346466406,763.918670307649,763.923794825805,763.928727567806,763.933475784525,763.938046443647,763.942446241832,763.946681616217,763.950758755306,763.954683609315,763.958461899993,763.962099129971,763.965600591651,763.968971375685,763.972216379049,763.97534031276,763.978347709232,763.981242929311,763.984030169001,763.986713465899,763.989296705349,763.991783626344,763.994177827174,763.996482770839,763.998701790248,764.000838093192,764.002894767125,764.004874783751,764.006781003426,764.008616179381,764.01038296179,764.012083901661,764.013721454592,764.015297984366,764.016815766416,764.018276991151,764.019683767155
4,"Angola",62.0434508552767,63.200825486434,64.0043617145697,64.6029051408198,65.121809853482,65.5481217960464,65.8572275303853,66.1213053735056,66.3483152857199,66.5442508810334,66.708073376448,66.8436823527288,66.9600930522908,67.0596051034389,67.1442458955394,67.2157654023938,67.276342317455,67.3279961739358,67.3719332578509,67.4092402063554,67.4408965970557,67.4677925585335,67.4906655268935,67.510100369968,67.5266080083866,67.5406307225783,67.5525466684763,67.562672866988,67.5712761254462,67.5785852581468,67.584795377905,67.5900720684282,67.5945555167099,67.5983647824832,67.6016012731549,67.6043511739539,67.6066876557414,67.608672848128,67.6103595546182,67.6117926625797,67.6130103064977,67.6140448798657,67.6149239041911,67.6156707660844,67.6163053374929,67.6168445015789,67.617302602445,67.6176918276939,67.6180225328684,67.6183035165892,67.6185422544611,67.6187450980956,67.6189174441793,67.619063878036,67.6191882955768,67.6192940069482,67.6193838246173,67.6194601382024,67.619524978044,67.6195800692191,67.6196268774386,67.619666648044,67.6197004391407,67.6197291497476,67.6197535437162,67.6197742700526,67.6197918801853,67.6198068426353,67.6198195554817,67.6198303569521,67.6198395344221,67.6198473320597,67.619853957323,67.6198595864782,67.6198643692902,67.6198684330066,67.6198718857434,67.6198748193614,67.6198773119101,67.6198794297042,67.6198812290881,67.6198827579346,67.6198840569192,67.6198851606015,67.6198860983452,67.6198868950992,67.6198875720612,67.6198881472421,67.6198886359445,67.6198890511705,67.6198894039674,67.6198897037212,67.619889958407,67.6198901748009,67.6198903586599,67.6198905148758,67.6198906476046,67.6198907603776,67.6198908561952,67.6198909376067
5,"Antigua and Barbuda",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
6,"Argentina",11946.5660149648,12741.0451320765,13614.8505217249,14571.1457691376,15661.9872769624,16905.8309066662,18212.9455701466,19649.7728511235,21263.3512297227,23079.1682698153,25027.8770269474,27164.0895928011,29519.1504822192,32114.9689083923,34975.0271915623,38124.555522687,41593.4035673355,45417.59832374,49628.5387025458,54259.1153985108,59359.6606366573,64977.8758499884,71166.2754882286,77982.0005293102,85487.7632930821,93752.272527386,102850.562151674,112864.245668974,123882.918996005,136005.226451719,149337.095775052,163993.295400209,180097.826475513,197784.264009661,217196.008045394,238486.395052438,261818.667717547,287365.76698238,315309.705637813,345840.523639915,379155.222892579,415456.090540375,454948.516397095,497838.243995784,544328.004500278,594613.496384966,648878.694487641,707290.501631896,769992.827983828,837100.226079044,908691.195318939,984801.412532758,1065417.18394405,1150469.47116038,1239828.88676201,1333302.0753014,1430629.88444229,1531487.68134655,1635488.07334705,1742186.15642979,1851087.25620371,1961656.93769372,2073332.87551868,2185538.01371122,2297694.32608412,2409236.43059769,2519624.32373528,2628354.58272787,2734969.52434172,2839063.98990032,2940289.62293442,3038356.69567483,3133033.70286257,3224145.06201805,3311567.33188581,3395224.3859878,3475081.96253903,3551141.96544346,3623436.8250494,3692024.1526548,3756981.84852891,3818403.75603246,3876395.89831558,3931073.29082051,3982557.29239218,4030973.43895732,4076449.69451691,4119115.05237767,4159098.42294041,4196527.75102179,4231529.3140173,4264227.16100432,4294742.66129268,4323194.13842868,4349696.57197815,4374361.35447642,4397296.09479071,4418604.46192957,4438386.06522805,4456736.368024
7,"Armenia",6523.44186444731,6963.78056980339,7409.40018360799,7861.53136624285,8339.82543803277,8848.50594837175,9340.66815010729,9844.94678101161,10362.9685887952,10896.4420214075,11442.8521968583,11998.1096132033,12568.1619080331,13153.6176529191,13754.8374144694,14371.8579794626,15005.3023593692,15656.877523201,16327.2867055218,17017.2411056781,17727.5183321896,18459.0511517788,19212.8258240157,19989.6436117198,20790.3096093776,21615.6308516647,22466.4006267056,23343.3591902971,24247.1692550777,25178.4404230017,26137.716153005,27125.4585121601,28142.0333991152,29187.7016661408,30262.6140696366,31366.7999597462,32500.1568043121,33662.4412412709,34853.261890493,36072.0730048477,37318.1683137123,38590.6764790962,39888.558304749,41210.6057049727,42555.4423810923,43921.5263296136,45307.1544536867,46710.4692848215,48129.4677813378,49562.0121514369,51005.8426404093,52458.5921768151,53917.8026922304,55380.9428927272,56845.4272290945,58308.6357834878,59767.9347610191,61220.6972529914,62664.3239319798,64096.2633409062,65514.0314483415,66915.2301606756,68297.5645090235,69658.8582639023,70997.0677713517,72310.2938488212,73596.7916263597,74854.9782668233,76083.4385462495,77280.9283205759,78446.375946255,79578.8817589991,80677.7157461034,81742.3135729957,82772.2711436308,83767.3378871105,84727.4089697492,85652.5166331511,86542.8208553144,87398.5995240191,88220.2383005386,89008.2203378039,89763.1160012864,90485.5727237613,91176.3051073967,91836.0853688426,92465.7342056492,93066.1121457931,93638.1114266349,94182.6484354806,94700.6567312086,95193.0806552194,95660.869530291,96104.9724377361,96526.3335564998,96925.8880424165,97304.5584216425,97663.2514691834,98002.855541316,98324.2383294246
8,"Australia",7121.97575404496,7130.92174610524,7139.72477462883,7148.3106935724,7157.01973615627,7165.94081159423,7173.88799530959,7181.59625150457,7189.18841450773,7196.69821271625,7204.02586450768,7211.10793168966,7218.05097842409,7224.950916471,7231.78990524461,7238.17778000786,7244.3816827656,7250.41982886594,7256.29459230929,7262.01206568569,7267.5773222736,7272.99837719987,7278.28594533593,7283.44213714595,7288.46804042629,7293.36672308059,7298.14019635626,7302.79081003301,7307.31524905515,7311.71054666045,7315.99333833286,7320.16708563741,7324.23521588408,7328.2009921227,7332.06741669183,7335.83732682734,7339.51333605585,7343.09770927333,7346.59266874064,7350.00047704222,7353.32335362074,7356.56353822447,7359.7232672993,7362.80505592162,7365.81170163558,7368.74527904173,7371.60778967791,7374.40115808427,7377.12723540851,7379.78781060963,7382.38461611546,7384.91933634453,7387.393623141,7389.80909635776,7392.16734033042,7394.46990430083,7396.71829950196,7398.91399735676,7401.0584129189,7403.15288724955,7405.19872131061,7407.19717770998,7409.14948275233,7411.05682841329,7412.92037382789,7414.74124655656,7416.52054347332,7418.25933089579,7419.95864469115,7421.61949057025,7423.24284437396,7424.82965252658,7426.38083260642,7427.89727480985,7429.37984441081,7430.82938257929,7432.24670715103,7433.63261332989,7434.98787432327,7436.31324193262,7437.60944710814,7438.87720048569,7440.11719294446,7441.33009618779,7442.51656333846,7443.67722954979,7444.81271262443,7445.92361363535,7447.0105175024,7448.07399347019,7449.11459556783,7450.13286305213,7451.12932083685,7452.1044799109,7453.05883774713,7453.99287870317,7454.90707441487,7455.80188418074,7456.67775533593,7457.53512361423
9,"Austria",16519.9568358032,16558.3671217078,16595.9199160249,16632.1752593899,16669.3694537572,16707.9000317235,16743.1527048642,16777.8384092348,16813.0694027498,16848.8742692857,16882.1505141987,16914.351921982,16945.9621663539,16976.9942076287,17007.4488185688,17037.2746609315,17066.4608582972,17095.0877253313,17123.0560182635,17150.266219941,17176.8881910336,17202.9401007863,17228.4399347312,17253.3926949733,17277.8026129277,17301.6756421801,17325.0195246104,17347.8400149266,17370.1506575836,17391.9756476264,17413.3246924333,17434.2070732253,17454.6316699274,17474.6073133723,17494.1432410186,17513.2490354677,17531.9345352572,17550.2099928554,17568.0852719811,17585.5688368694,17602.6690396032,17619.3941479882,17635.7523634227,17651.7518151568,17667.4005241226,17682.7063584199,17697.6769915738,17712.3198414667,17726.6420839057,17740.6507671457,17754.3528100749,17767.7549974802,17780.8639733813,17793.6862345675,17806.228126979,17818.4958458503,17830.4954399949,17842.2328225369,17853.7137813863,17864.943979517,17875.9289554241,17886.6741241032,17897.1847787839,17907.4660934627,17917.5231260291,17927.3608216819,17936.9840162619,17946.3974388614,17955.6057136645,17964.6133619367,17973.4248041648,17982.0443623093,17990.4762621066,17998.7246353477,18006.7935220733,18014.6868726488,18022.4085497158,18029.9623300787,18037.3519065944,18044.5808900527,18051.6528110296,18058.5711217016,18065.3391976116,18071.9603393836,18078.4377743909,18084.7746583831,18090.9740770807,18097.0390477416,18102.9725206948,18108.7773808394,18114.4564491095,18120.0124839036,18125.4481824811,18130.7661823268,18135.9690624861,18141.0593448701,18146.0394955335,18150.911925922,18155.6789940933,18160.3430059092
