id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
1,"Albania",1005.55019069939,1022.66649733513,1041.41484368287,1061.99828201877,1084.64512260406,1107.87000689994,1131.7448483654,1156.47493734329,1182.66439180051,1211.86348074906,1244.57102594559,1279.48148624112,1318.11313018481,1360.05785148342,1406.22541271475,1456.07720993794,1510.0010042833,1568.30013957436,1631.29039482435,1699.2983828845,1772.87608373512,1852.63511567242,1939.23754288591,2033.35251686467,2135.53944680207,2246.36513831663,2366.62912828637,2497.04134518168,2638.45054576111,2791.69762214576,2957.79471096699,3137.83120683233,3332.99379502069,3544.57691461042,3773.99470418827,4022.76774149638,4292.52872459754,4585.02997953192,4902.15726330536,5245.95976592498,5618.66923369724,6022.69342047247,6460.64872648504,6935.36843902053,7449.93014277734,8007.66419502075,8612.17482442723,9267.36123779076,9977.43990362384,10746.9679506842,11580.8709180187,12484.4730092297,13463.5298936607,14524.2635418738,15673.3972863366,16918.1924237495,18266.4896561602,19726.7510301961,21308.1053601404,23020.395079901,24874.2269117783,26881.0251090095,29053.0874137803,31403.64371844,33946.9173933114,36698.1888071912,39673.8606992777,42891.5249725653,46370.0304429802,50129.5511920871,54191.6549090348,58579.3700677217,63317.2511119616,68431.4402863304,73949.7247651403,79901.5872054961,86318.2477060509,93232.6948271942,100679.702991651,108695.833225301,117319.413870288,126590.49754918,136550.790313972,147243.548583922,158713.439159917,171006.357363441,184169.198244252,198249.575765087,213295.485034361,229354.902996747,246475.323608526,264703.224420814,284083.462730332,304658.601072845,326468.163859616,349547.829403479,373928.564446108,399635.711550126,426688.043294511,455096.801007626
2,"Algeria",8986.2298216857,10101.4894317575,11540.4502339103,13410.969396081,15857.0502774046,19074.2457469148,23326.5453697061,28965.5799320739,36462.4740779808,46456.2701161431,59799.8920674353,77637.4859411879,101489.738034319,133396.468754193,176082.830226247,232955.64094522,308699.330271616,409508.235118708,543545.088772119,721516.006246233,957372.878165029,1269140.35699033,1679832.90467811,2218364.71163366,2920251.59952067,3827750.34085536,4988850.47651268,6454289.85328132,8271584.09267109,10475236.6978016,13073249.2205491,16031872.0000308,19263783.4178788,22627238.4226055,25942763.1943265,29027024.706651,31732802.3703467,33977737.3007396,35749920.8536983,37092038.4861396,38076084.3246104,38780792.1611196,39277518.3785252,39624295.9809715,39865209.8396937,40032304.9931043,40148228.9448888,40228721.2336067,40284633.2482577,40323440.3010187,40350316.2906776,40368868.9869921,40381630.2898454,40390380.9303396,40396369.4751485,40400465.2612297,40403268.4744617,40405190.275084,40406510.728563,40407420.024275,40408047.2838467,40408480.3746926,40408779.3595715,40408985.5334524,40409127.4529967,40409224.9504531,40409291.8196597,40409337.6388145,40409369.0318034,40409390.5560997,40409405.332732,40409415.492092,40409422.4864336,40409427.3063292,40409430.628945,40409432.9187312,40409434.4954142,40409435.5798084,40409436.3247303,40409436.8359763,40409437.1866894,40409437.4273006,40409437.5924701,40409437.7059513,40409437.7839934,40409437.8377065,40409437.8746928,40409437.9001634,40409437.9176982,40409437.9297625,40409437.9380567,40409437.9437549,40409437.9476677,40409437.950354,40409437.9521985,40409437.9534655,40409437.9543364,40409437.9549354,40409437.9553475,40409437.9556311
3,"Andorra",764.062034737932,766.397750596588,769.335401460326,772.256870317844,775.415708386261,779.130768361485,783.803006398599,789.678905582473,797.068344108423,806.36085574718,818.046035029495,832.481562929176,850.631758284822,873.450517283799,902.135531171861,937.65939728742,981.701493342881,1036.28261101371,1104.0924531359,1188.4315643121,1293.34268766827,1423.76676442997,1585.79217876802,1786.90050677389,2036.25366548534,2345.02302894004,2726.82166089846,3198.00018461381,3778.08846879298,4490.15901443554,5361.21783198721,6422.20765654132,7707.76293545543,9255.38284890544,11103.8793353145,13290.8216931496,15848.7771493458,18800.2810341441,22151.7872061367,25887.29848373,29962.9311955002,34304.1211372413,38807.2817098556,43347.0219168437,47788.6195665438,52003.5748179914,55884.6931605834,59356.9724166694,62381.9615094911,64955.4766088177,67100.5176587685,68858.0918965072,70278.3609363435,71413.5897113934,72313.388563608,73022.0559192946,73577.5134081224,74011.2789670204,74349.0169087914,74611.3377121806,74814.6439111915,74971.9124921812,75093.3680570693,75187.0389304676,75259.2073611579,75314.7713904492,75357.5355503125,75390.4444992588,75415.7704564993,75435.2628085794,75450.2666036726,75461.8155497979,75470.7043291547,75477.5443601033,75482.8065156493,75486.8537214586,75489.9658119643,75492.3585261912,75494.1980892508,75495.6124618681,75496.700054546,75497.536491176,75498.1798569136,75498.6747609447,75499.0554713847,75499.3483256975,75499.5735784936,75499.7468152667,75499.8800334049,75499.98246947,75500.0612335513,75500.1217969378,75500.1683679477,75500.2041820583,75500.2317260099,75500.252910812,75500.2692051158,75500.2817378491,75500.2913770615,75500.2987904182
6,"Argentina",13614.3375912809,16687.8211978981,20908.2363272669,26723.6121798225,34767.2974011381,45965.9413251045,61559.1360176577,83330.1649247416,113797.030994252,156444.816898419,216109.404860972,299580.751045388,416254.444724244,579198.468802098,806463.379329933,1122113.23749413,1558978.80247567,2160611.06521201,2983428.22910637,4097976.30564689,5587799.69587183,7543505.98295983,10048667.3697174,13154628.9632798,16844849.2000656,20998191.1493407,25372868.2643186,29637611.4116201,33456996.9669387,36595026.3614908,38974669.8604679,40661074.8616406,41795806.638175,42532354.4936594,42999878.1867404,43293177.5842376,43476456.5932964,43591161.8998764,43663309.6522083,43708983.6163135,43738067.1371955,43756645.1211113,43768501.4863751,43776029.6497831,43780772.27214,43783735.578843,43785575.3307923,43786713.7655811,43787418.2312773,43787855.3930209,43788127.987271,43788298.9492175,43788406.7735865,43788475.0708556,43788518.4193125,43788545.9112887,43788563.2865953,43788574.2103708,43788581.0396949,43788585.2903353,43788587.9300464,43788589.5697388,43788590.5906699,43788591.2287308,43788591.6292077,43788591.8815421,43788592.0409681,43788592.1417981,43788592.2055127,43788592.24567,43788592.270887,43788592.2866613,43788592.2964991,43788592.3026255,43788592.3064419,43788592.3088237,43788592.3103144,43788592.3112503,43788592.3118394,43788592.3122109,43788592.3124453,43788592.3125931,43788592.312686,43788592.3127444,43788592.3127809,43788592.3128037,43788592.3128179,43788592.3128268,43788592.3128323,43788592.3128358,43788592.312838,43788592.3128394,43788592.3128402,43788592.3128408,43788592.3128411,43788592.3128413,43788592.3128415,43788592.3128415,43788592.3128416,43788592.3128416
7,"Armenia",6998.86402701979,7820.07693011824,8806.37768066058,9979.44851726033,11373.0782554846,13044.4875412409,15045.6470735138,17436.9588241711,20315.2265057218,23751.1518472444,27895.8521520458,32900.5822156546,38927.8490953988,46199.7814953147,54969.6059373745,65481.8024646467,78071.3736294394,93127.7584702264,111106.415506552,132534.236298687,158011.235416092,188215.510353747,223901.94084637,265889.302223862,315051.124158738,372274.906475879,438421.899874381,514268.945150826,600424.647739096,697236.068910115,804694.343788823,922327.104364446,1049117.81950357,1183465.27939164,1323204.67314278,1465704.24046976,1608036.72134268,1747208.04233512,1880409.08762293,2005245.64643727,2119908.23672731,2223255.22928464,2314806.0533507,2394661.16997699,2463376.19779568,2521819.73998987,2571039.74398869,2612152.76962482,2646262.04055963,2674403.48568163,2697515.22678233,2716424.63613318,2731847.28397604,2744393.08572324,2754576.21258437,2762826.44223475,2769500.56475782,2774893.09654778,2779245.95904523,2782757.02057564,2785587.52088297,2787868.44313451,2789705.92547734,2791185.81111859,2792377.43743357,2793336.76314346,2794108.92862045,2794730.33836096,2795230.34678666,2795632.61898868,2795956.22803334,2796216.54015798,2796425.92964384,2796594.35684709,2796729.83592038,2796838.81321876,2796926.47318601,2796996.98526286,2797053.70284907,2797099.32337091,2797136.0168975,2797165.52941699,2797189.26576191,2797208.35622721,2797223.71013303,2797236.05893,2797245.99091392,2797253.9791938,2797260.40422343,2797265.57194612,2797269.72839761,2797273.07145084,2797275.76025672,2797277.92283022,2797279.66214581,2797281.06103589,2797282.18612889,2797283.09101651,2797283.81880212,2797284.40415167
8,"Australia",7174.8604051985,7253.75629860486,7352.43871716311,7481.96184382469,7653.3984145167,7874.02059241439,8165.80073086687,8555.9165585635,9078.21247814222,9777.25466684535,10717.9673289695,11982.6200836974,13682.0629183966,15970.8559317836,19049.9068395021,23177.6925344115,28711.9312579943,36133.550415491,46085.8323316422,59430.028060441,77320.9642706479,101301.310309939,133429.771610359,176449.500134292,234006.791337058,310930.304964325,413586.901956251,550319.578547214,731966.916731247,972449.854830407,1289369.20179308,1704485.49654503,2243864.13489683,2937314.32392659,3816579.31121199,4911610.44648196,6244347.43554819,7820001.62905162,9617184.08859958,11580251.7153709,13618950.8162319,15619723.3615291,17468197.671728,19075075.3764838,20393729.1293601,21422122.2590864,22191158.3241203,22747969.7961699,23141920.0377879,23416448.5237491,23606073.9995687,23736516.8142018,23826165.8878566,23887830.8107027,23930301.0949442,23959568.6926149,23979721.0367563,23993563.4115234,24003037.6085834,24009496.9659736,24013886.4589375,24016863.3655963,24018881.2774735,24020250.3869867,24021181.1215055,24021815.4205878,24022248.7582123,24022545.3616776,24022748.5606426,24022887.7344827,24022982.9302538,24023047.9121185,24023092.1719176,24023122.2634431,24023142.7020547,24023156.5841436,24023166.0211646,24023172.445786,24023176.8269027,24023179.8189881,24023181.8645201,24023183.2634233,24023184.219746,24023184.8728667,24023185.3183206,24023185.6217286,24023185.8281739,24023185.968577,24023186.0640793,24023186.1290846,24023186.1733762,24023186.203587,24023186.2242117,24023186.2382994,24023186.2479228,24023186.254494,24023186.258978,24023186.2620351,24023186.2641176,24023186.2655355
9,"Austria",16639.5518900397,16820.2724410259,17040.8972352921,17294.8171781626,17599.9685095086,17962.5136386785,18398.2906536532,18914.8668156254,19543.2122587799,20312.8683586021,21251.1382857475,22402.2989289651,23811.8333953625,25544.7933458065,27672.7437297997,30263.8566657591,33420.1050466026,37264.1788512599,41948.7666155007,47657.6488504368,54615.481282391,63094.7019723141,73428.0590581099,86016.3544816356,101343.382338032,119993.895743897,142670.337830829,170215.779223416,203635.930877183,244126.445414344,293104.68701078,352234.402003997,423450.956195779,508979.016046962,611338.880237362,733332.129681243,877997.232569627,1048521.89898391,1248099.90441227,1479718.74501335,1745870.14834632,2048187.00016407,2387026.75596895,2761047.40465452,3166848.47422373,3598771.4067609,4048958.19224768,4507736.74839617,4964337.38984258,5407855.73663092,5828295.19066059,6217482.92413462,6569680.77204248,6881798.57400279,7153226.45069061,7385389.71848197,7581168.2452062,7744310.83845118,7878933.93115775,7989146.05554244,8078801.4793195,8151363.71423564,8209850.85185372,8256835.07202712,8294473.62990288,8324554.90165969,8348548.85977999,8367655.8909151,8382851.02303758,8394922.56484406,8404505.1874644,8412107.91948081,8418137.64816865,8422918.7051091,8426709.06090031,8429713.60141245,8432094.91513612,8433981.98358498,8435477.12993376,8436661.5424661,8437599.64866335,8438342.57398202,8438930.87842322,8439396.72596678,8439765.6086232,8440057.71931132,8440289.04615,8440472.24443901,8440617.33053382,8440732.23286149,8440823.22851927,8440895.28854954,8440952.35064538,8440997.53444645,8441033.31158107,8441061.64011,8441084.0709723,8441101.83237504,8441115.89675835,8441127.03395055
10,"Azerbaijan",4279.98431810708,4616.34950228552,5003.57968662085,5444.8902203889,5958.05119635902,6546.07887320069,7227.07654262571,8007.89416116226,8911.76868279052,9966.55249113262,11197.5711196242,12641.8354329931,14338.9981700563,16339.4797764603,18696.9618497801,21446.6766188013,24655.7777462855,28401.7010162274,32775.836197441,37883.3358593679,43848.4447814866,50815.1186433665,58952.7225546304,68457.4789851773,79556.337046683,92512.8007809472,107630.986772611,125261.93101768,145809.233324408,169736.766426654,197581.343330497,229957.494975527,267566.231405933,311203.436887623,361768.153741994,420269.205952399,487830.127184968,565690.422171327,655202.454500033,757821.821087389,875088.792507575,1008598.77529578,1159959.00437685,1330729.34302951,1522345.26310173,1736021.8552321,1972641.79083012,2232631.15591155,2515831.27375448,2821378.46134564,3147607.36115018,3491995.53349171,3851166.67572298,4220965.6947762,4596610.89990264,4972917.36791547,5344573.00815915,5706438.12773862,6053833.30440533,6382781.24962398,6690176.18384849,6973866.89505476,7232654.05919681,7466214.79636486,7674975.37856393,7859955.63886258,8022606.68624419,8164658.63874404,8287989.0905515,8394517.38247669,8486125.31150132,8564601.9829796,8631608.96020849,8688661.38187216,8737120.92729568,8778197.08743777,8812953.90951455,8842320.07030196,8867100.72291525,8887990.02986726,8905583.6479654,8920390.68796704,8932844.85662019,8943314.62032012,8952112.32297504,8959502.25611357,8965707.72372524,8970917.17266615,8975289.47531182,8978958.45749567,8982036.76425582,8984619.15077377,8986785.27809238,8988602.0842686,8990125.79262959,8991403.61041836,8992475.16365225,8993373.70754598,8994127.14629836,8994758.89127761
12,"Bahrain",9167.9331350658,9551.8396070178,9943.71463590291,10344.274930668,10755.2087676718,11168.6481873228,11584.5460858644,12023.1609566942,12482.4521945156,12962.551752889,13454.4537930877,13958.4902789836,14482.0827281947,15031.1412154643,15594.5533892914,16175.5948653444,16774.2127884921,17391.2527135979,18027.5696417269,18683.9410438536,19361.9220251078,20063.2082323344,20787.8178702772,21535.9533313271,22307.8216784043,23104.45723918,23926.9538476603,24775.8326291777,25651.127847462,26553.87266658,27484.8947781815,28445.0968404034,29435.3822613953,30456.6542073573,31509.822298777,32595.7334228736,33715.153586481,34868.9105067983,36057.8822170824,37283.0006789826,38545.1824406684,39845.3217602634,41184.3393302258,42563.227422465,43982.9669835496,45444.5445503778,46948.9457303551,48497.1546938437,50090.1537006513,51728.9219852147,53414.4406342631,55147.6994421919,56929.6917713325,58761.4099817244,60643.8401632315,62577.9625040897,64564.752277121,66605.1766381721,68700.1872265898,70850.7193915964,73057.6898819619,75321.994916435,77644.5081451235,80026.0784927555,82467.527932623,84969.6486724673,87533.1995420719,90158.9025573523,92847.4396293267,95599.4494923924,98415.5243912521,101296.206461407,104241.984142366,107253.288986971,110330.492339496,113473.902008507,116683.758907755,119960.233677937,123303.423303982,126713.347739564,130189.94659465,133733.075962942,137342.50538998,141017.914985256,144758.892675533,148564.931634051,152435.427927428,156369.678396436,160366.878757748,164426.12195533,168546.396781009,172726.586786398,176965.469507835,181261.716025219,185613.890874981,190020.45233311,194479.753077959,198990.041241918,203549.461860236,208156.058724748
15,"Belarus",36886.5319416947,38618.6011950873,40449.8100848879,42388.208067966,44448.932624901,46647.7432544316,49000.3499075862,51526.6316896084,54245.8020638404,57187.5067186035,60377.4470567964,63848.4385848294,67631.7154183348,71767.2742576475,76297.2410882115,81182.9884900191,86456.9638545626,92154.3284675885,98313.4631946742,104975.462688327,112184.364275603,119987.482763751,128435.25935264,137581.682909262,147483.387337509,158200.40479434,169795.639848433,182335.341105822,195888.349431819,210526.061483858,226332.506839746,243397.015625003,261814.364802681,281684.855956899,303114.436636566,326214.777431117,351103.28333665,377903.086813177,406742.947350035,437757.201658099,471085.566609336,506872.926964669,545268.982429073,586427.879125554,630507.73378743,677668.854656093,728072.570330716,781879.853044675,839249.728882411,900337.457396939,965292.475938772,1034256.11108099,1107359.0602335,1184718.66183262,1266435.96533789,1352592.64292595,1443247.78161609,1538434.61909462,1638157.2851706,1742387.63148022,1851062.36444317,1964080.51102138,2081301.33110009,2202542.79086967,2327580.70811099,2456148.6699131,2587938.80634427,2722603.4806605,2859757.92702627,2998983.83360711,3139833.83054208,3281836.80385745,3424503.91786844,3567335.19479984,3709826.47181446,3851476.52604383,3991794.15427482,4130304.99444654,4266557.88763447,4400130.60087026,4530634.76146431,4657719.89027561,4781076.46196611,4900437.96198201,5015581.95008976,5126330.17658344,5232547.82789883,5334142.00220016,5431059.53192419,5523284.2793554,5610834.03407639,5693757.13760009,5772128.95216491,5846048.27880029,5915633.81557916,5981020.73159591,6042357.41661413,6099802.45129795,6153521.82905259,6203686.44814465
