id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19373.1486845808,19468.944349766,19552.7798045917,19621.3300868401,19706.2085500949,19785.5431184712,19860.9558802764,19934.361656072,20008.9232619724,20081.0267674384,20151.4072405224,20220.5884448909,20288.7627980164,20355.4152178439,20420.7687198697,20484.9243520561,20547.8824781171,20609.597719221,20670.136567028,20729.5282313716,20787.784811156,20844.9211993114,20900.9666423421,20955.9415150306,21009.8640869479,21062.7540962916,21114.6324342077,21165.5180009838,21215.4293448435,21264.3850794984,21312.4035500111,21359.5024942759,21405.6993725816,21451.0113853737,21495.4553958068,21539.0479134274,21581.8051545871,21623.7430387561,21664.8771797295,21705.222893181,21744.7952099011,21783.6088777992,21821.6783652602,21859.0178673938,21895.641311971,21931.5623636232,21966.7944285615,22001.3506596213,22035.2439610184,22068.486992824,22101.0921755045,22133.0716944172,22164.4375041762,22195.2013329232,22225.3746865499,22254.9688528446,22283.9949055544,22312.4637083749,22340.3859188725,22367.7719923348,22394.63218555,22420.9765605181,22446.8149880964,22472.1571515774,22497.0125502023,22521.3905026108,22545.3001502277,22568.7504605879,22591.7502306009,22614.3080897558,22636.432503267,22658.1317751632,22679.4140513194,22700.2873224329,22720.7594269455,22740.8380539113,22760.5307458119,22779.8449013201,22798.7877780124,22817.3664950312,22835.5880356982,22853.4592500797,22870.9868575038,22888.1774490319,22905.0374898832,22921.5733218155,22937.7911654611,22953.6971226195,22969.2971785075,22984.5972039676,22999.6029576349,23014.3200880639,23028.7541358163,23042.9105355082,23056.7946178211,23070.4116114739,23083.7666451587,23096.8647494401,23109.7108586193,23122.3098125633
1,Illinois,110280.306666399,112788.616063585,115357.022423024,117877.211567384,120439.645057134,123021.409672693,125621.30636261,128228.66364539,130857.617117513,133502.910107697,136163.772608152,138839.544088161,141532.104841079,144240.22430826,146963.694124525,149702.448466387,152456.572281663,155225.695296054,158009.665513433,160808.345292228,163621.578860109,166449.149561075,169290.879770975,172146.585481611,175016.071061569,177899.130918257,180795.562393192,183705.156631626,186627.698639514,189562.968679285,192510.743596418,195470.795221146,198442.890675114,201426.792740718,204422.259970781,207429.046490922,210446.902155728,213475.572666744,216514.799626915,219564.320581041,222623.8691162,225693.174947988,228771.963998634,231859.958480959,234956.876993168,238062.434612074,241176.342987926,244298.310443286,247428.042075498,250565.239860896,253709.602761602,256860.826835132,260018.605346495,263182.628882515,266352.585468458,269528.160686916,272709.037798782,275894.897866219,279085.419877544,282280.280873942,285479.156077879,288681.719023112,291887.641686206,295096.594619424,298308.247084892,301522.267189923,304738.32202337,307956.077792911,311175.199963128,314395.353394269,317616.202481567,320837.411294995,324058.643719334,327279.563594428,330499.834855502,333719.121673422,336937.088594763,340153.400681579,343367.723650728,346579.72401265,349789.069209459,352995.427752243,356198.469357441,359397.865082179,362593.287458453,365784.410626044,368970.910464041,372152.464720878,375328.753142756,378499.457600358,381664.262213746,384822.853475339,387974.920370876,391120.154498262,394258.250184209,397388.904598581,400511.817866353,403626.69317711,406733.236891995,409831.158648037
2,California,94786.2719457847,97033.9967932729,99336.2472838914,101659.139498822,103991.072105296,106344.512372643,108724.839303817,111124.982271831,113544.726578411,115986.768123044,118451.304567827,120937.209231481,123444.874744953,125974.848805645,128527.129996946,131101.66599578,133698.678951662,136318.347361475,138960.755316811,141626.008689266,144314.253688925,147025.617048858,149760.212205297,152518.160014824,155299.585084171,158104.606425572,160933.341002525,163785.906601472,166662.420146522,169562.996521582,172487.74947759,175436.79186592,178410.235198368,181408.189525127,184430.763582245,187478.064745175,190550.198910942,193647.270462576,196769.382255627,199916.635563639,203089.130021608,206286.96358511,209510.232488103,212759.031193447,216033.452344748,219333.586720379,222659.523186231,226011.348647227,229389.147999119,232793.004080326,236222.997623249,239679.207205269,243161.709199657,246670.577726305,250205.884602215,253767.699291839,257356.088857283,260971.117908396,264612.848552737,268281.340345464,271976.650239158,275698.832533605,279447.938825558,283224.017958494,287027.115972404,290857.276053619,294714.538484712,298598.9405945,302510.516708154,306449.29809746,310415.312931254,314408.586226046,318429.139796868,322476.992208381,326552.158726245,330654.651268807,334784.478359115,338941.6450773,343126.153013343,347338.00022027,351577.181167791,355843.686696427,360137.503972141,364458.616441518,368807.003787513,373182.641885808,377585.502761803,382015.554548273,386472.761443733,390957.083671526,395468.477439681,400006.894901571,404572.284117394,409164.589016524,413783.749360753,418429.700708466,423102.374379773,427801.69742264,432527.592580043,437279.978258188
3,Arizona,16425.9549942771,16809.7367788597,17178.7992220373,17571.3383203416,17954.6514376929,18340.5591489439,18726.9829946803,19117.7685604595,19508.0904963651,19900.1603901247,20293.7642871569,20689.1588063547,21085.6948436854,21483.7772424671,21883.3548794705,22284.4177249786,22686.8884772556,23090.8341037978,23496.2363224772,23903.0851384579,24311.3705670139,24721.0996035345,25132.2641155285,25544.8585310977,25958.8783940745,26374.3206425115,26791.1796783137,27209.4505427908,27629.1284321135,28050.2084550358,28472.685259423,28896.5535555189,29321.8079704914,29748.4429884961,30176.4529367163,30605.8320620119,31036.574494993,31468.6742417056,31902.1251883281,32336.9211105672,32773.0556661071,33210.5223942096,33649.3147173085,34089.4259418235,34530.8492568102,34973.577734175,35417.6043290435,35862.9218798205,36309.523108061,36757.4006186487,37206.5468999649,37656.9543240083,38108.6151465296,38561.5215072326,39015.6654299813,39471.0388230169,39927.6334791987,40385.4410762732,40844.453177159,41304.6612302526,41766.0565697556,42228.6304160246,42692.3738759407,43157.2779433012,43623.3334992319,44090.5313126221,44558.8620405795,45028.3162289082,45498.8843126068,45970.5566163896,46443.323355228,46917.1746349147,47392.1004526487,47868.0906976426,48345.1351517511,48823.2234901214,49302.3452818651,49782.4899907519,50263.6469759247,50745.8054926361,51228.9546930069,51713.0836268054,52198.1812422488,52684.236386825,53171.2378081366,53659.1741547658,54148.0339771594,54637.8057285364,55128.4777658154,55620.0383505631,56112.4756499629,56605.7777378054,57099.9325954977,57594.9281130939,58090.7520903455,58587.3922377717,59084.8361777493,59583.0714456229,60082.0854908336,60581.8656780679
4,Massachusetts,92545.2316833109,93390.1209542438,94171.318423128,94946.8032638967,95722.7873860381,96473.3509468112,97201.5542806478,97917.1653063158,98618.5634617754,99302.2794687355,99970.1455714681,100623.703265347,101262.551596896,101886.577521569,102496.459998301,103092.605505095,103675.152481246,104244.366498746,104800.602282947,105344.137882736,105875.220893047,106394.124507923,106901.123569567,107396.473936792,107880.426100889,108353.231106879,108815.134652403,109266.37544428,109707.188031784,110137.803096851,110558.446416701,110969.338973054,111370.697474192,111762.734331993,112145.65756501,112519.67092305,112884.974015181,113241.762344706,113590.22735765,113930.556525355,114262.933417033,114587.537759119,114904.545500228,115214.128879867,115516.456493752,115811.693357296,116100.000969964,116381.53737937,116656.457244183,116924.91189636,117187.049402997,117443.01462748,117692.949289865,117936.992026571,118175.278449397,118407.941203782,118635.110026322,118856.911801529,119073.470617834,119284.907822811,119491.342077625,119692.889410693,119889.663270558,120081.77457797,120269.331777173,120452.440886392,120631.205547535,120805.727075085,120976.104504206,121142.434638058,121304.812094316,121463.329350907,121618.076790964,121769.142746999,121916.613544307,122060.573543601,122201.10518288,122338.289018553,122472.203765805,122602.92633822,122730.531886682,122855.093837532,122976.683930023,123095.372253053,123211.2272812,123324.315910062,123434.703490914,123542.45386469,123647.629395289,123750.291002237,123850.498192686,123948.309092786,124043.780478414,124136.967805297,124227.925238508,124316.70568137,124403.360803766,124487.941069865,124570.495765271,124651.073023613
5,Wisconsin,15395.8205207376,15912.2040916495,16440.0994761122,16972.3461208385,17517.8864524627,18070.3315849878,18632.1112860259,19202.6561488232,19783.1123445307,20372.5967079792,20971.6590019847,21580.3595809599,22198.922558501,22827.3320539069,23465.7977185368,24114.4406078127,24773.3974535643,25442.7821501301,26122.7422210878,26813.4089126185,27514.9159972289,28227.3963521661,28950.9876591111,29685.8249092432,30432.0439318947,31189.7809527444,31959.1729262086,32740.3564737013,33533.4684930823,34338.6460097039,35156.0261035527,35985.7457312325,36827.9417773894,37682.7509612687,38550.3097577181,39430.7543166368,40324.2204077437,41230.8433377126,42150.7578701005,43084.098145051,44030.9975991208,44991.588878705,45966.0037525726,46954.3730225665,47956.8264320554,48973.4925715334,50004.4987822943,51049.9710579207,52110.0339435067,53184.8104326177,54274.4218621504,55378.9878050554,56498.625960947,57633.4520446485,58783.5796727337,59949.1202481031,61130.1828426459,62326.8740780535,63539.298004849,64767.5559797019,66011.7465411041,67271.965283489,68548.3047298815,69840.8542031715,71149.6996961101,72474.9237401327,73816.6052731222,75174.8195062263,76549.6377898548,77941.1274789846,79349.3517979085,80774.3697045694,82216.2357546274,83674.999965414,85150.7076799331,86643.3994310745,88153.1108062114,89679.8723123603,91223.7092420856,92784.6415403366,94362.6836724135,95957.8444932577,97570.1271182734,99199.5287958874,100846.040782059,102509.648216962,104190.330004048,105888.058691732,107602.800357912,109334.514497561,111083.153913622,112848.664611437,114630.985696954,116430.049278932,118245.780375406,120078.096824618,121926.90920068,123792.120734185,125673.627238001,127571.31703849
6,Texas,55831.3490100887,56870.2575050319,57823.9145630563,58894.3700797096,59923.181466581,60945.3271388942,61963.2494750657,62997.1884287462,64021.9695138984,65045.7076694767,66069.8073348372,67095.4135268935,68118.9023396592,69142.0322217205,70164.9740180762,71187.5905049666,72209.4242971499,73230.8087396206,74251.7213010278,75272.0911714152,76291.8641322659,77311.0866273472,78329.7334685761,79347.778808161,80365.2080259982,81382.016388765,82398.1863891433,83413.7024394211,84428.5515149445,85442.7209910616,86456.196275328,87468.963504779,88481.0092487864,89492.3199772477,90502.8819359581,91512.6815817626,92521.7054531524,93529.9400827434,94537.372020628,95543.987894643,96549.7743770937,97554.7181754677,98558.8060426678,99562.0247839707,100564.361250685,101565.802340529,102566.335000423,103565.946227414,104564.623068111,105562.352619549,106559.122030177,107554.918500401,108549.729283022,109543.541683935,110536.343062774,111528.120833489,112518.862464909,113508.555481357,114497.187463229,115484.746047564,116471.218928612,117456.593858398,118440.858647278,119424.001164487,120406.009338684,121386.871158485,122366.574672998,123345.10799234,124322.459288159,125298.61679414,126273.568806511,127247.303684538,128219.809851015,129191.075792745,130161.090061022,131129.84127209,132097.318107616,133063.509315136,134028.403708511,134991.990168361,135954.257642506,136915.195146387,137874.79176349,138833.036645759,139789.919013999,140745.428158277,141699.553438313,142652.284283863,143603.6101951,144553.520742978,145502.005569601,146449.054388573,147394.656985351,148338.803217582,149281.48301544,150222.686381949,151162.403393306,152100.62419919,153037.339023067,153972.538162488
7,Nebraska,12227.2030531923,12490.4653539538,12743.7509291749,13001.3576264606,13248.5975536307,13491.7671522809,13730.1229856129,13964.8957191601,14194.2055617273,14419.2214004745,14639.8915287837,14856.3288007393,15068.3800895112,15276.3029963514,15480.1382556948,15679.9485411386,15875.7845430891,16067.7453642118,16255.8923641685,16440.2917583434,16621.0105562983,16798.1195993012,16971.6829658596,17141.7653374274,17308.4309888576,17471.7435044484,17631.7647050768,17788.5558375216,17942.1772961687,18092.6885184841,18240.1479231077,18384.6130879944,18526.1406883406,18664.7864858365,18800.605340152,18933.6512378029,19063.977285538,19191.6357168585,19316.6779026016,19439.1543612728,19559.1147649471,19676.6079481063,19791.6819169947,19904.3838586528,20014.7601496116,20122.856365221,20228.7172890662,20332.38692237,20433.9084934566,20533.3244673712,20630.6765555437,20726.0057254868,20819.3522105393,20910.7555196543,21000.2544472038,21087.8870827961,21173.6908210995,21257.7023716658,21339.9577687423,21420.4923810663,21499.3409216367,21576.5374574542,21652.1154192266,21726.1076110301,21798.5462199249,21869.4628255173,21938.8884094656,22006.8533649233,22073.3875059177,22138.5200766585,22202.2797607737,22264.6946904687,22325.7924556064,22385.6001127048,22444.1441938501,22501.450715522,22557.5451873298,22612.4526206576,22666.1975372151,22718.8039774948,22770.2955091318,22820.6952351665,22870.0258022085,22918.3094085004,22965.5678118813,23011.8223376485,23057.0938863175,23101.4029412793,23144.7695763553,23187.2134632481,23228.7538788899,23269.409712687,23309.1994736613,23348.141297488,23386.2529534306,23423.5518511731,23460.0550475492,23495.77925317,23530.7408389496,23564.9558425295
8,Utah,8445.83830900844,8630.12267535082,8819.47617275778,9010.40944895839,9198.30984915819,9386.7155169681,9576.14192155897,9765.57535340568,9954.62209042296,10143.9446005167,10333.4853889727,10523.0435654816,10712.6217187021,10902.3216189278,11092.1046982759,11281.9371341491,11471.8269155381,11661.7833807159,11851.7927402072,12041.8474067398,12231.9463578639,12422.0863172042,12612.2608538599,12802.4653789492,12992.6960545784,13182.9483396655,13373.2173779427,13563.4987080442,13753.7879015508,13944.0803834516,14134.3715713435,14324.6569523808,14514.9320019247,14705.1921723639,14895.4329240201,15085.6497289761,15275.838056628,15465.9933759614,15656.1111611899,15846.186891077,16036.2160471331,16226.1941149716,16416.1165854355,16605.9789545951,16795.7767239158,16985.5054009169,17175.1604996572,17364.7375410587,17554.2320533129,17743.6395723462,17932.9556422354,18122.1758156081,18311.2956540594,18500.3107285723,18689.2166199273,18878.0089191085,19066.6832277125,19255.2351583546,19443.6603350707,19631.9543937184,19820.1129823755,20008.1317617358,20196.006405503,20383.7326007811,20571.3060484635,20758.7224636178,20945.9775758693,21133.0671297805,21319.9868852287,21506.7326177795,21693.3001190583,21879.6851971179,22065.8836768033,22251.8914001133,22437.7042265584,22623.3180335156,22808.7287165799,22993.932189912,23178.9243865823,23363.7012589121,23548.2587788099,23732.592938105,23916.6997488769,24100.5752437808,24284.2154763693,24467.6165214102,24650.7744752001,24833.6854558745,25016.345603713,25198.7510814409,25380.8980745267,25562.782791475,25744.4014641154,25925.7503478871,26106.8257221187,26287.6238903047,26468.1411803762,26648.3739449681,26828.3185616816,27007.9714333421
9,Oregon,3927.26408012364,3957.8665292845,3992.0079057504,4023.03252680794,4055.7594283631,4086.90171719037,4118.17461108352,4148.75207424919,4179.22094418117,4209.14235053498,4238.76766062053,4267.99346933857,4296.89150322421,4325.40865096541,4353.5852896534,4381.41066296868,4408.89646752818,4436.03985185235,4462.85014438769,4489.3291490005,4515.48171322168,4541.31102461247,4566.82173404105,4592.01735866302,4616.90183066001,4641.47886023486,4665.75228408576,4689.7257414609,4713.40290104648,4736.7873675314,4759.88271989406,4782.69247452286,4805.22011789958,4827.46909222226,4849.4428001856,4871.14460164207,4892.57781839033,4913.74573220427,4934.65158586801,4955.29858330349,4975.68989053774,4995.82863574427,5015.71790977205,5035.36076655169,5054.76022356914,5073.91926221971,5092.8408282378,5111.52783210241,5129.98314944263,5148.2096214263,5166.21005515721,5183.98722406428,5201.54386828664,5218.8826950539,5236.00637906417,5252.91756285743,5269.61885718509,5286.11284137561,5302.40206369663,5318.48904171317,5334.37626264207,5350.06618370278,5365.56123246446,5380.86380718946,5395.97627717311,5410.90098308001,5425.64023727668,5440.19632416073,5454.57150048649,5468.76799568719,5482.78801219372,5496.63372574989,5510.30728572439,5523.81081541933,5537.1464123755,5550.31614867429,5563.32207123635,5576.16620211701,5588.85053879849,5601.3770544789,5613.74769835811,5625.96439592047,5638.02904921443,5649.9435371291,5661.70971566777,5673.32941821836,5684.80445582095,5696.13661743231,5707.32767018748,5718.37935965851,5729.29341011024,5740.07152475328,5750.71538599413,5761.22665568255,5771.60697535611,5781.85796648203,5791.98123069626,5801.97835003994,5811.8508871931,5821.60038570581
10,Florida,50912.3642694012,51761.4454742343,52522.928069073,53280.8020184037,54058.8475290331,54835.0593062016,55593.2673174301,56350.640738622,57107.8639201015,57859.9243666982,58606.0015297351,59349.0607598954,60088.5638900027,60823.6713256881,61554.5726815904,62281.706655728,63004.888818831,63724.021992394,64439.1920741307,65150.4593743313,65857.7908962951,66561.1909821997,67260.6890012435,67956.3003801472,68648.0294763179,69335.889853211,70019.8973436704,70700.0644396487,71376.4029060595,72048.9263302055,72717.6483015537,73382.5818529399,74043.740146913,74701.136686894,75354.7849520193,76004.6983906501,76650.8905499901,77293.3750684869,77932.1656143257,78567.2758987599,79198.7196943234,79826.5108255886,80450.6631595221,81071.1906086191,81688.1071315262,82301.4267293302,82911.1634432095,83517.3313538848,84119.9445801608,84719.0172769564,85314.5636337644,85906.5978733094,86495.1342500125,87080.1870484352,87661.7705818271,88239.8991906948,88814.5872413488,89385.8491244718,89953.6992537167,90518.1520643181,91079.2220117139,91636.9235701859,92191.2712315182,92742.2795036704,93289.9629094664,93834.3359853,94375.4132798567,94913.2093528504,95447.7387737772,95979.0161206842,96507.0559789549,97031.8729401092,97553.4816006203,98071.8965607469,98587.13242338,99099.2037929068,99608.1252740888,100113.911470956,100616.576985716,101116.136417678,101612.604362193,102105.995409608,102596.324144237,103083.605143343,103567.85297614,104049.082202805,104527.307373511,105002.543027463,105474.803691964,105944.103881481,106410.458096738,106873.880823809,107334.386533241,107791.989679177,108246.704698503,108698.546010002,109147.528013528,109593.665089186,110036.971596534,110477.461873792
