id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19366.4747877456,19464.2421892469,19554.1586449801,19649.1137976032,19752.0941965923,19843.7089705774,19933.8598336743,20024.0642384525,20113.1379017096,20198.9058474734,20283.2829357378,20366.2866133482,20447.5780131953,20527.0191112604,20604.9557291529,20681.3609720956,20756.1974136662,20829.499225294,20901.3414720858,20971.7349052935,21040.6992146891,21108.2676519078,21174.4732461674,21239.3390397875,21302.8909909945,21365.1565435018,21426.161758616,21485.9310399735,21544.4891116947,21601.8604021136,21658.0686208941,21713.1369167685,21767.0881380773,21819.9446854313,21871.728475731,21922.4609980539,21972.1633453503,22020.8561917969,22068.5597997563,22115.2940369277,22161.0783842969,22205.9319384454,22249.8734197814,22292.9211810703,22335.0932139155,22376.4071548878,22416.8802925589,22456.5295742492,22495.3716123488,22533.4226905989,22570.6987704071,22607.2154969903,22642.9882053711,22678.0319262965,22712.3613920674,22745.9910422521,22778.9350292952,22811.2072240335,22842.8212211143,22873.7903443146,22904.1276517661,22933.8459410858,22962.9577544159,22991.4753833709,23019.4108738963,23046.7760310381,23073.5824236267,23099.8413888738,23125.5640368861,23150.7612550959,23175.4437126098,23199.6218644775,23223.3059558812,23246.506026248,23269.2319132851,23291.4932569401,23313.2995032874,23334.6599083421,23355.5835418013,23376.0792907169,23396.1558630973,23415.8217914426,23435.0854362121,23453.9549892268,23472.4384770065,23490.5437640442,23508.278556018,23525.6504029414,23542.6667022538,23559.3347018516,23575.6615030614,23591.6540635559,23607.3192002143,23622.6635919265,23637.6937823446,23652.4161825803,23666.8370738506,23680.9626100721,23694.7988204049,23708.3516117479
1,Illinois,109548.021405657,111800.80609651,114050.402677861,116560.782335186,119394.412210919,121873.054296843,124407.540746573,127012.651255421,129640.486649298,132215.490374228,134813.632906764,137426.671787856,140040.599605938,142649.93577819,145266.783262612,147887.21406672,150508.387919237,153130.266395583,155754.173658858,158378.73413427,161003.213070555,163627.403439659,166251.056423731,168873.530643876,171494.369160492,174113.185159136,176729.547624263,179342.980831737,181953.05116426,184559.331552585,187161.3856242,189758.776410938,192351.07732762,194937.86425617,197518.7145235,200093.209567746,202660.936096439,205221.484802504,207774.450729643,210319.433980866,212856.039939422,215383.879256592,217902.568154514,220411.728712582,222910.989048433,225399.983488453,227878.352782944,230345.744298957,232801.812189433,235246.217558918,237678.628627631,240098.720882467,242506.177217291,244900.688065752,247281.951525691,249649.673473482,252003.567669118,254343.35585243,256668.767830143,258979.54155363,261275.423187581,263556.167169687,265821.536261336,268071.301589409,270305.242679311,272523.14747936,274724.81237664,276910.042204479,279078.6502417,281230.458203821,283365.296226373,285483.002840529,287583.424941237,289666.417748061,291731.844758951,293779.577697153,295809.496451483,297821.489010209,299815.451388768,301791.287551559,303748.909328059,305688.236323512,307609.195824439,309511.722699211,311395.759293962,313261.255324061,315108.167761432,316936.460717947,318746.105325155,320537.079610601,322309.36837097,324062.963042315,325797.861567599,327514.068261801,329211.593674811,330890.454452354,332550.673195157,334192.2783166,335815.303899049,337419.789549088
2,California,94170.2711723836,96280.8108297086,98364.1188922964,100700.432622106,103359.62485133,105702.991253278,108105.444033544,110588.968161152,113109.704512504,115594.82746985,118115.762692384,120666.565727138,123234.17904208,125813.398556164,128416.247269974,131039.612894965,133681.105930184,136341.054340162,139021.194210114,141720.642124719,144439.082361896,147176.727040016,149933.758623282,152709.964163963,155505.301318833,158319.79723699,161153.431954299,164006.133988005,166877.867799625,169768.599540644,172678.279819769,175606.851737096,178554.26207183,181520.453083576,184505.360939027,187508.918116955,190531.054381735,193571.695162868,196630.761605854,199708.171035303,202803.836924895,205917.668612802,209049.571356327,212199.446387497,215367.19086532,218552.697823653,221755.856178097,224976.550720849,228214.662100217,231470.066807106,234742.637171372,238032.241355545,241338.743348335,244662.002961735,248001.875830864,251358.213414747,254730.862998921,258119.667700396,261524.466474644,264945.094124427,268381.381310704,271833.154565664,275300.236307826,278782.44485922,282279.594464688,285791.495313335,289317.953562114,292858.771361558,296413.746883688,299982.674352083,303565.344074132,307161.542475456,310771.052136519,314393.651831416,318029.116568836,321677.217635202,325337.722639972,329010.395563108,332694.996804679,336391.283236611,340099.00825655,343817.921843833,347547.770617541,351288.297896616,355039.243762023,358800.345120922,362571.335772836,366351.94647777,370141.905026265,373940.93631135,377748.762402342,381565.102620483,385389.67361635,389222.189449012,393062.361666887,396909.899390251,400764.509395354,404625.896200099,408493.762151225,412367.807512949
3,Arizona,16324.7032339035,16675.4681855853,17021.6056407452,17409.2171778944,17845.9902179466,18229.089302649,18620.2895642249,19022.7931076847,19429.0008769369,19827.4693142957,20229.7621693038,20634.8018723364,21040.4344230163,21445.8767782252,21853.028168195,22261.3558882809,22670.4645156972,23080.4010703878,23491.4212793831,23903.3675216204,24316.1765444559,24729.8686228085,25144.4572992738,25559.8952440985,25976.1628635123,26393.2515417827,26811.145408214,27229.8212100773,27649.2617522589,28069.4504494066,28490.3687219878,28911.997318396,29334.3179999624,29757.3122740558,30180.9611774785,30605.2456591598,31030.1467268445,31455.6452076991,31881.7217668661,32308.3569849934,32735.5313591676,33163.2252672921,33591.4189835867,34020.0926933105,34449.2264917277,34878.8003825793,35308.7942851016,35739.1880389123,36169.9614064276,36601.0940761421,37032.5656671083,37464.3557327776,37896.443764575,38328.8091957601,38761.4314054299,39194.2897223982,39627.3634290811,40060.6317654561,40494.0739330416,40927.6690988672,41361.3963994619,41795.2349448649,42229.1638226441,42663.1621019216,43097.2088374082,43531.2830734446,43965.3638480482,44399.4301969604,44833.4611576969,45267.4357735969,45701.3330978709,46135.1321976438,46568.8121579933,47002.3520859812,47435.7311146755,47868.9284071629,48301.9231605487,48734.6946099434,49167.2220324341,49599.4847510389,50031.4621386427,50463.1336219137,50894.4786851975,51325.4768743886,51756.1078007766,52186.3511448672,52616.1866601743,53045.594176984,53474.553606087,53903.0449424795,54331.0482690306,54758.5437601139,55185.5116852044,55611.9324124359,56037.7864121207,56463.0542602287,56887.7166418246,57311.7543544625,57735.148311537,58157.8795455881
4,Massachusetts,92331.2828330301,93111.6771488334,93858.8847072808,94664.6426802713,95546.7838267677,96295.7415034252,97037.2125529088,97777.185307414,98501.6833077272,99189.339583961,99862.5928103166,100519.842687277,101157.725028035,101775.345673536,102376.570547409,102960.945247388,103528.28176909,104079.130039404,104614.374884775,105134.207840605,105638.970138611,106129.125502628,106605.117174972,107067.285445497,107516.004773379,107951.656964667,108374.604460784,108785.190624179,109183.759222556,109570.646608279,109946.178310401,110310.671033012,110664.435048644,111007.772626453,111340.977909595,111664.337553704,111978.131049158,112282.630562541,112578.101105226,112864.800768835,113142.980866707,113412.886032951,113674.754380687,113928.817657405,114175.301381313,114414.424976048,114646.401913249,114871.439851098,115089.740768591,115301.501098978,115506.911862563,115706.158796926,115899.422484915,116086.87848089,116268.69743504,116445.045215459,116616.083028108,116781.967534676,116942.850968282,117098.881246978,117250.202085062,117396.953102216,117539.269930435,117677.284318766,117811.124235863,117940.913970357,118066.774229066,118188.822233047,118307.171811517,118421.933493653,118533.214598302,118641.11932161,118745.748822612,118847.201306793,118945.572107658,119040.95376633,119133.436109217,119223.106323763,119310.049032333,119394.34636424,119476.078025973,119555.32136963,119632.151459612,119706.641137603,119778.86108586,119848.879888861,119916.764093337,119982.57826672,120046.385054044,120108.245233327,120168.217769477,120226.359866739,120282.727019733,120337.373063098,120390.350219791,120441.709148056,120491.498987105,120539.767401539,120586.560624541,120631.92349986
5,Wisconsin,15215.6036104938,15673.3958925523,16136.2561297949,16653.913714839,17242.7219459877,17768.906498935,18312.7449183107,18877.4930729098,19454.3474990749,20027.9863661478,20613.817429184,21210.4172335381,21815.1503869311,22426.9821225649,23048.5803685423,23679.3104194565,24318.7423045303,24967.0174108605,25624.5813968443,26291.3042569599,26967.1866074415,27652.3403638739,28346.8696193323,29050.7899496898,29764.1544522874,30487.0296368873,31219.4701142714,31961.5175558536,32713.2202264233,33474.6249886424,34245.7734790736,35026.7038352075,35817.4531338632,36618.0554169872,37428.5412733009,38248.9382986484,39079.2712293209,39919.5614814797,40769.8270813529,41630.0826854675,42500.3394877417,43380.6050687144,44270.8833249275,45171.1743984232,46081.4745832482,47001.776232188,47932.0676786628,48872.3331570679,49822.5527211402,50782.7021657544,51752.7529529712,52732.6721395321,53722.422306575,54721.9614926442,55731.2431299566,56750.2159836654,57778.824094515,58817.0067251797,59864.6983103807,60921.8284109063,61988.3216717575,63064.0977845979,64149.0714546537,65243.1523722238,66346.2451889668,67458.2494991151,68579.05982576,69708.5656123487,70846.6512195265,71993.1959274517,73148.0739436978,74311.1544168561,75482.3014559357,76661.3741556549,77848.2266277023,79042.70803804,80244.6626503067,81453.9298753703,82670.3443270645,83893.7358841354,85123.9297584081,86360.7465691726,87604.002423775,88853.5090043852,90109.0736609009,91370.4995099321,92637.5855397972,93910.1267214486,95187.9141252299,96470.7350433552,97758.3731179854,99050.6084747628,100347.217861653,101647.974792929,102952.649698118,104261.010075722,105572.820651505,106887.843541138,108205.838416966,109526.562678669
6,Texas,55578.7649590348,56571.2056244648,57531.8220593815,58596.8335802726,59795.3772227996,60846.5210751012,61912.2212381157,63004.0348321558,64102.4457570357,65175.8188268693,66254.6514505717,67336.6757112818,68416.1797741045,69490.8926746145,70565.8593075649,71639.7828322156,72711.6086714963,73781.4425137511,74849.9819083703,75916.8415936532,76981.8634120682,78045.1124514524,79106.6436715124,80166.3520406597,81224.2023166438,82280.1898626017,83334.2926880802,84386.469657101,85436.6955462442,86484.9476319095,87531.1986959918,88575.4202269201,89617.5868614931,90657.6732083383,91695.6532190413,92731.5011428611,93765.1919223315,94796.7005823947,95826.0022578354,96853.072383902,97877.8866968572,98900.421136307,99920.6518751587,100938.555350192,101954.108252835,102967.28751751,103978.07033137,104986.434139001,105992.356640695,106995.815792584,107996.789809711,108995.257167435,109991.196602026,110984.587111823,111975.407958662,112963.638668886,113949.259034257,114932.249112951,115912.589230511,116890.259980679,117865.242226188,118837.517099521,119807.066003613,120773.870612495,121737.912871881,122699.174999716,123657.639486662,124613.289096542,125566.106866721,126516.076108448,127463.18040714,128407.403622623,129348.729889313,130287.14361636,131222.629487733,132155.172462263,133084.757773636,134011.370930338,134934.997715548,135855.624186999,136773.236676774,137687.821791068,138599.366409903,139507.857686796,140413.283048382,141315.630193998,142214.887095215,143111.041995337,144004.083408851,144894.000120836,145780.781186336,146664.415929682,147544.893943786,148422.205089387,149296.339494258,150167.287552383,151035.039923084,151899.587530121,152760.921560748,153619.033464741
7,Nebraska,12162.5826970269,12405.1049428389,12641.631119571,12901.432148281,13189.3795845407,13432.1646296097,13674.9500116507,13919.1528212124,14159.6077281528,14388.7838449211,14614.6910810029,14836.5598981901,15053.1053083901,15263.9591502149,15470.4434366821,15672.3013796646,15869.397273755,16061.8664436611,16249.9627265225,16433.6879359416,16613.1047640252,16788.3225400561,16959.4443330731,17126.5375763262,17289.6850562234,17448.9741837717,17604.4871045322,17756.300940446,17904.4950005295,18049.1476843378,18190.3351837033,18328.1322063895,18462.6128122568,18593.8497496689,18721.9143643707,18846.8767920935,18968.8060260698,19087.7698037446,19203.8346227854,19317.0657821508,19427.5273874294,19535.2823414747,19640.3923593651,19742.9179830167,19842.9185894877,19940.4523998916,20035.5764925135,20128.3468154095,20218.8181984497,20307.0443661589,20393.0779514027,20476.9705091312,20558.7725303196,20638.5334562834,20716.3016932721,20792.1246272107,20866.0486386123,20938.1191176576,21008.380479395,21076.8761790277,21143.6487272725,21208.7397057732,21272.18978254,21334.0387273983,21394.325427428,21453.0879023775,21510.3633200346,21566.1880115411,21620.5974866355,21673.6264488121,21725.3088103845,21775.6777074418,21824.7655146875,21872.6038601521,21919.2236397703,21964.6550318151,22008.9275111812,22052.0698635121,22094.1101991638,22135.0759670004,22174.9939680166,22213.8903687835,22251.7907147122,22288.7199431345,22324.702396195,22359.7618335548,22393.9214449026,22427.2038622732,22459.6311721706,22491.2249274962,22522.0061592798,22551.9953882148,22581.2126359956,22609.6774364585,22637.4088465263,22664.4254569566,22690.7454028951,22716.3863742346,22741.3656257808,22765.699987226
8,Utah,8389.61755652108,8559.72803504422,8728.5491969712,8916.67481646727,9129.6761724693,9314.44864562362,9502.85997459959,9696.13901436587,9890.68082189596,10080.5922298717,10271.7632851089,10463.5999317574,10655.0536474107,10845.7140718008,11036.5384746897,11227.2535603078,11417.6661435047,11607.7963794246,11797.7717343085,11987.5127809439,12176.9884468873,12366.208072169,12555.1782975313,12743.8756584793,12932.2906422562,13120.4191105396,13308.2535701088,13495.7830115606,13682.9995317476,13869.8956318456,14056.4629798917,14242.6930389277,14428.5778911667,14614.1096187218,14799.2802029651,14984.0817067797,15168.5063457659,15352.5463721166,15536.1940837045,15719.441860449,15902.282164385,16084.7075220453,16266.7105313427,16448.2838678992,16629.4202839052,16810.112606679,16990.353741247,17170.1366718531,17349.4544622691,17528.3002564666,17706.6672798123,17884.5488399182,18061.9383273285,18238.8292162989,18415.2150656025,18591.0895192379,18766.4463071027,18941.2792456625,19115.582238592,19289.3492773763,19462.5744418837,19635.2519009143,19807.3759127188,19978.9408254859,20149.9410778022,20320.3711990833,20490.2258099766,20659.4996227344,20828.1874415593,20996.2841629211,21163.7847758455,21330.6843621746,21496.9780967996,21662.6612478658,21827.7291769505,21992.1773392126,22156.0012835167,22319.1966525285,22481.7591827854,22643.6847047394,22804.969142775,22965.6085152003,23125.5989342134,23284.9366058432,23443.6178298654,23601.6389996939,23758.9966022478,23915.6872177946,24071.7075197697,24227.0542745727,24381.7243413408,24535.7146716994,24689.0223094909,24841.6443904811,24993.578142045,25144.8208828305,25295.3700224024,25445.2230608653,25594.3775884669,25742.8312851825
9,Oregon,3918.39754971487,3952.15179366381,3984.34472189658,4018.69045719784,4058.00234513409,4091.80453035091,4125.61778044338,4159.82279949523,4193.99319301682,4226.9182140933,4259.63035142494,4292.07539597811,4324.09384920064,4355.590836862,4386.74163560237,4417.51398900556,4447.88095679574,4477.84769012707,4507.44355371142,4536.66258861456,4565.50520193727,4593.9784205168,4622.08972464935,4649.84129663633,4677.23728914262,4704.28276107177,4730.98229454365,4757.33976976751,4783.35947756275,4809.04574181059,4834.40270811399,4859.43441606498,4884.14494348623,4908.53831630704,4932.6184880108,4956.38936525949,4979.85482222742,5003.01868349339,5025.88472460514,5048.45667775422,5070.73823262224,5092.73303396282,5114.44468273854,5135.87673739626,5157.0327140775,5177.91608667478,5198.53028748658,5218.87870775552,5238.96469802799,5258.79156854976,5278.36258974347,5297.68099264307,5316.74996930307,5335.57267321951,5354.15221975706,5372.49168656372,5390.59411398065,5408.46250545195,5426.09982793169,5443.50901228588,5460.69295369128,5477.65451203142,5494.39651228919,5510.92174493576,5527.23296631631,5543.33289903245,5559.22423232124,5574.90962243084,5590.39169299284,5605.67303539122,5620.75620912805,5635.64374218573,5650.33813138606,5664.84184274587,5679.15731182943,5693.2869440975,5707.23311525315,5720.99817158426,5734.58443030281,5747.99417988084,5761.22968038328,5774.29316379744,5787.18683435938,5799.91286887703,5812.47341705016,5824.87060178715,5837.10651951865,5849.18324050806,5861.10280915895,5872.86724431929,5884.4785395827,5895.93866358657,5907.24956030711,5918.41314935146,5929.43132624667,5940.30596272581,5951.03890701098,5961.63198409348,5972.08699601097,5982.40572212174
