id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19323.0303753332,19377.6087128487,19426.577857482,19458.2889493403,19480.5114693427,19492.6574553321,19510.085229837,19524.6741751023,19535.7732112236,19542.9005107896,19548.4872164159,19553.2505672375,19557.9009920455,19561.4404151643,19564.008864595,19565.8939530779,19567.5118881599,19568.9090053495,19570.069382774,19570.9314941112,19571.5863559438,19572.1148792329,19572.5652360274,19572.9340705655,19573.2228463297,19573.4434710704,19573.6196844657,19573.7650473052,19573.8845512696,19573.9792766165,19574.053226084,19574.1117072102,19574.1592815743,19574.1980667381,19574.229149344,19574.253650102,19574.2730652135,19574.2886875467,19574.3013547095,19574.3115331818,19574.3196224243,19574.3260441409,19574.3311895007,19574.335338608,19574.3386752054,19574.3413381769,19574.343458283,19574.3451534111,19574.346515782,19574.3476104056,19574.3484861837,19574.3491849149,19574.3497433649,19574.3501912077,19574.3505506764,19574.3508385658,19574.3510686242,19574.3512525259,19574.3513998353,19574.3515179623,19574.3516125993,19574.3516882999,19574.3517488378,19574.3517973028,19574.3518361399,19574.3518672533,19574.3518921553,19574.3519120772,19574.351928023,19574.3519407951,19574.3519510258,19574.3519592163,19574.3519657709,19574.3519710171,19574.351975218,19574.3519785825,19574.3519812764,19574.3519834326,19574.3519851585,19574.3519865404,19574.3519876469,19574.3519885329,19574.3519892422,19574.35198981,19574.3519902645,19574.3519906285,19574.3519909199,19574.3519911532,19574.35199134,19574.3519914895,19574.3519916092,19574.3519917051,19574.3519917818,19574.3519918432,19574.3519918924,19574.3519919318,19574.3519919633,19574.3519919886,19574.3519920088,19574.351992025
1,Illinois,109592.556052869,111967.080717159,114346.975365258,117402.984587862,119916.99253667,122572.454645431,124711.285854183,126802.565393219,128707.856164833,130836.412367612,132956.404898505,135489.8512274,138010.486561339,140368.899225096,142596.590814106,144833.410976775,147499.793314898,150213.215819481,153020.085325691,155513.417197837,157862.061343573,159954.432049334,162042.949383205,164140.906883829,166452.62645238,168897.538650907,171423.210131244,173844.212135522,176168.078703491,178596.387170376,181189.599252557,183976.315960656,186703.518279175,189306.010483485,191664.905234331,193885.672257345,196020.797947662,198230.135257384,200560.231431803,203035.258963474,205546.929619451,208016.971151676,210453.452412544,212947.939779017,215599.079862539,218351.117995712,221105.697626526,223714.504188492,226150.962144792,228428.425873982,230654.756525365,232917.75674854,235295.567632607,237775.391445951,240302.141910423,242815.319981159,245322.169707408,247889.842647675,250563.825945884,253325.276537802,256071.786245568,258710.910091845,261188.072262783,263535.380414127,265823.589426004,268145.302860284,270552.269314769,273047.906074804,275588.780279814,278138.263788376,280701.044709813,283317.597172778,286019.553795317,288781.285647764,291530.637871928,294183.463702773,296701.063484066,299099.805606216,301445.668039375,303811.197671088,306246.18950482,308754.556622746,311310.431796079,313888.396131212,316491.309743864,319145.014244806,321865.123039633,324629.328336422,327376.383037208,330040.697417777,332586.512501472,335028.57962525,337419.03681159,339821.215751851,342277.540392994,344797.33314703,347364.640825742,349963.168965072,352594.000038976,355271.990930318
2,California,94646.4941831367,96763.915769419,98971.1770249378,101300.156159573,103633.515841305,105978.485771738,108364.660599858,110772.650121891,113196.57647194,115662.416653449,118174.414474229,120726.755273366,123308.616229621,125923.332459495,128573.720588502,131259.03821663,133981.020741932,136742.414474463,139542.87866433,142381.463526026,145257.865633254,148173.178728224,151128.198438033,154123.451641893,157159.633483761,160237.300640783,163356.718767021,166518.233803707,169722.363450772,172969.734095307,176260.909744349,179596.423329756,182976.80825523,186402.576124876,189874.232226035,193392.313297962,196957.381033188,200570.002586412,204230.736873871,207940.141750399,211698.777982913,215507.209565394,219366.00702812,223275.749130941,227237.019773243,231250.405357333,235316.494386962,239435.878828317,243609.154699359,247836.92221026,252119.785880421,256458.354232392,260853.239220986,265305.055996187,269814.422983783,274381.962029574,279008.298382224,283694.060595641,288439.88039973,293246.392538455,298114.234626896,303044.047064841,308036.472970182,313092.158092701,318211.750697249,323395.901433648,328645.263202208,333960.491018469,339342.241881396,344791.174642959,350307.949871827,355893.229707776,361547.677708201,367271.958689732,373066.738566082,378932.684182202,384870.463144381,390880.743645299,396964.194283201,403121.483875201,409353.281265186,415660.255126651,422043.073760462,428502.404887396,435038.91543525,441653.271320368,448346.137223534,455118.176360257,461970.05024553,468902.41845303,475915.938368748,483011.264938965,490189.050412564,497449.944077651,504794.591992502,512223.636710834,519737.717001436,527337.467562146,535023.518728193,542796.49617492
3,Arizona,16453.5093345675,16859.6839753815,17345.4549459373,17886.4017458814,18409.7755791591,18881.7020283353,19332.2772096946,19743.7391001306,20142.1499652341,20539.8284004233,20976.8007139968,21421.4458115712,21884.1027822989,22357.0951146516,22892.7912678135,23450.7922548213,24025.658072374,24610.9891749749,25178.6834591264,25712.596487187,26216.7215624835,26712.5394881148,27206.9202224265,27713.3812288976,28237.4533813275,28794.1412929489,29379.4184596561,29995.4524689633,30640.4505868341,31307.789438334,31974.6451559259,32628.6995724826,33264.0043291203,33877.7503387264,34476.9684369006,35073.8107230229,35683.0279616085,36313.3374061513,36972.34191122,37664.0234851888,38389.49042025,39140.9127980176,39908.504742701,40680.5672323433,41445.1661242333,42193.5969041074,42925.4176800618,43646.5779014813,44366.4869178851,45097.008197233,45849.280791207,46631.8325609092,47447.8586477166,48296.1862944294,49171.0888291715,50063.0872108518,50960.3922012266,51852.9627951231,52734.4736539501,53603.5796785552,54464.5469495491,55326.317272582,56199.9424083815,57095.8196571298,58021.8474399656,58981.7753425239,59974.4932052781,60994.1052144055,62031.6010701559,63076.7620231818,64120.4068024456,65156.5953106908,66184.2706529856,67207.3407378438,68233.6463822707,69273.1988077485,70335.8819604024,71429.209489813,72556.704497891,73717.3238885984,74905.7652892089,76113.689764536,77331.6285128355,78551.2560993972,79767.2878179772,80978.6848854082,82188.9169382466,83405.1672311466,84636.6264488514,85892.3886375636,87179.4562510431,88501.2328658795,89856.8436021322,91241.4299927161,92647.3579595146,94066.0044649259,95489.7526820158,96913.759647859,98337.0886295858,99762.9077120627
4,Massachusetts,92371.9928593328,92992.4429262806,93568.6346734434,94091.0473753055,94557.4264220349,94982.6553495173,95367.0431692349,95713.8422006509,96028.3574386464,96312.7108949017,96569.7606436232,96802.4563896763,97012.8954108128,97203.2287774419,97375.4334590801,97531.1872273656,97672.0714426133,97799.5144333267,97914.7875483573,98019.0557864842,98113.3706051294,98198.6796131591,98275.8433607989,98345.6394103195,98408.7705953573,98465.8734026894,98517.5233237128,98564.2408672757,98606.4970134119,98644.7177229727,98679.2882974057,98710.5572880352,98738.8399571403,98764.4214725213,98787.5597823496,98808.488203674,98827.4177777993,98844.5393963168,98860.0257226802,98874.0329333068,98886.7022912999,98898.1615698735,98908.5263405083,98917.9011378607,98926.3805135106,98934.0499892361,98940.9869192214,98947.2612699726,98952.9363257964,98958.0693269107,98962.7120466371,98966.9113134868,98970.7094833922,98974.1448668498,98977.2521152752,98980.0625704647,98982.6045806846,98984.9037865767,98986.9833797585,98988.8643367288,98990.5656304337,98992.1044216277,98993.496231959,98994.7551005243,98995.8937254708,98996.923592075,98997.8550885881,98998.6976110174,98999.4596578998,99000.1489160233,99000.7723379614,99001.3362122016,99001.8462265759,99002.3075256331,99002.7247625305,99003.1021459702,99003.4434826514,99003.7522156685,99004.0314592411,99004.2840301276,99004.5124760368,99004.7191013276,99004.9059902523,99005.0750279811,99005.2279196173,99005.3662073975,99005.4912862472,99005.6044178523,99005.7067433858,99005.7992950183,99005.88300633,99005.958721728,99006.0272049635,99006.0891468358,99006.1451721611,99006.1958460743,99006.24167973,99006.2831354586,99006.3206314297,99006.3545458703
5,Wisconsin,15294.0975472798,15714.9054060493,16167.6175359949,16724.884923343,17366.9086021274,17984.3861773754,18593.6918989846,19191.391354654,19812.5583452396,20498.2305013088,21243.2433587691,22038.2633324851,22851.6812479986,23665.534706357,24503.4554133542,25383.8029928225,26324.1652707966,27324.4716887806,28368.1602000538,29445.6465827975,30554.4195705491,31705.5338103422,32915.5986939543,34190.705102403,35529.3827623987,36924.3779568669,38371.0346053543,39873.569211544,41440.6624741919,43081.6323711387,44801.057990973,46597.6798463325,48469.5079682156,50417.1189971458,52445.5718778327,54562.5972503367,56774.6377890971,59085.3322006289,61495.8927789842,64007.5316148238,66623.8206942437,69350.6500364582,72194.8503245293,75162.316724354,78257.209861577,81482.8681386389,84843.1732780816,88343.5007786473,91990.5285035126,95791.1604150186,99751.6599389417,103877.496338937,108173.963160039,112646.995227477,117303.477808819,122150.956534276,127197.028791596,132448.927252026,137913.602884391,143598.134300533,149510.119418788,155657.74983888,162049.551065263,168694.04841539,175599.607803886,182774.541635259,190227.353328224,197966.899960886,206002.360567924,214343.053651715,222998.255062984,231977.144290816,241288.882776708,250942.730470862,260948.090372374,271314.440932592,282051.208191246,293167.662689306,304672.892833736,316575.838622325,328885.324223574,341610.03844656,354758.457696674,368338.748683975,382358.695834751,396825.670068291,411746.620450986,427128.054676575,442975.9871618,459295.860620543,476092.464735645,493369.872875005,511131.399999009,529379.56796474,548116.061278909,567341.666657817,587056.203582907,607258.459388711,627946.137754435,649115.819432858
6,Texas,55993.3411912734,57323.5212556215,58697.987815095,59912.3730596238,60984.0633753196,61945.3240622819,62961.4358757482,64163.23968325,65089.3591006556,66051.4135238269,66963.0068792339,68136.2842290825,69352.1296509017,70567.0076432378,71701.7075991159,72708.2819337908,73653.3647141292,74638.7450715647,75613.2002506972,76570.8687351351,77438.5643386607,78382.8300680614,79405.714195321,80522.5460082898,81627.3805275961,82667.3274931307,83623.6405444568,84533.6565611215,85433.692401718,86337.5995523658,87205.0182469654,88063.0581301365,88941.2759539469,89896.6456301221,90901.723807567,91912.0524819534,92872.6247301922,93772.8215136688,94629.6552084994,95470.2321612556,96297.5916572385,97111.9210822753,97918.2716557142,98751.8371183494,99630.9132600699,100550.873417268,101472.415314836,102361.451278158,103202.93159936,104007.233072464,104788.960054139,105557.50593992,106315.434674599,107075.264881938,107855.120050627,108670.125625784,109512.343341662,110357.619704909,111178.577509888,111963.22065713,112714.626307071,113443.437034347,114157.875993124,114865.519915793,115576.64679861,116305.421399222,117059.675821474,117834.157302187,118610.460078051,119368.924583128,120098.320085878,120799.18219736,121478.303097679,122143.866580515,122803.942833505,123468.439753766,124147.343344123,124845.833339294,125559.011639662,126273.474889182,126973.971558903,127651.111632461,128303.689320188,128936.505013038,129556.689488884,130172.33672362,130792.097492051,131423.727706765,132070.402673288,132728.062546928,133386.328130854,134033.431783545,134661.379646361,135268.380491559,135857.752886659,136435.691332693,137009.580636815,137586.998345061,138174.00023479,138772.71074336
7,Nebraska,12232.0914855484,12506.6231943793,12781.0582930671,13045.2775425563,13318.9819396794,13585.4627060084,13852.0403498889,14117.2362527488,14380.2555199204,14643.4637886899,14904.3180268943,15164.0765521494,15422.4425419006,15679.3951285344,15935.1950155294,16189.4586298669,16442.4085484775,16693.98771749,16944.2004536656,17193.0673463796,17440.5336135253,17686.6367378,17931.3649821347,18174.7184474757,18416.6968494106,18657.2924902107,18896.5111695309,19134.3501474327,19370.8089962222,19605.8871262902,19839.5835749,20071.8993071788,20302.8339316719,20532.3876151297,20760.5606210104,20987.3533595682,21212.7665881039,21436.8009502272,21659.457309082,21880.7366595169,22100.6401382424,22319.1690307074,22536.3247113269,22752.1086988093,22966.5226373786,23179.5682961201,23391.2475657751,23601.5624507994,23810.5150768368,24018.1076853565,24224.3426317594,24429.2223830991,24632.7495158219,24834.9267153148,25035.7567733045,25235.2425859591,25433.3871519729,25630.1935707323,25825.6650406476,26019.8048571467,26212.6164108206,26404.1031855792,26594.2687568263,26783.1167896457,26970.6510369446,27156.8753376339,27341.7936148187,27525.4098739973,27707.7282012666,27888.7527615301,28068.4877967231,28246.9376240463,28424.1066342108,28599.9992896927,28774.620122999,28947.973734946,29120.0647929498,29290.898029329,29460.4782396208,29628.8102809086,29795.8990701651,29961.7495826078,30126.3668500687,30289.7559593787,30451.922050766,30612.8703162695,30772.6059981676,30931.134387421,31088.4608221328,31244.5906860222,31399.5294069156,31553.2824552529,31705.8553426098,31857.2536202374,32007.4828776168,32156.5487410317,32304.4568721565,32451.2129666621,32596.822752838,32741.2919902318
8,Utah,8438.0153455445,8619.06224841608,8801.55866074067,8988.86709249603,9183.20802192457,9377.84641819999,9576.52062377978,9777.25308293593,9977.67340713057,10181.0405457594,10387.3427447851,10596.7756320279,10809.1165561342,11023.8202967574,11241.1590917346,11460.9474566814,11683.2365492746,11908.3971885864,12136.4188319968,12367.291091893,12600.9763844215,12837.4615536963,13076.803655459,13319.0313257841,13564.2014368958,13812.3715894393,14063.5580356503,14317.7805486557,14575.0628648881,14835.4367921029,15098.9400486419,15365.6077810142,15635.4759729694,15908.5778321773,16184.9433290076,16464.6042217487,16747.5938270652,17033.9467019776,17323.697742659,17616.881449684,17913.5322145853,18213.6841948363,18517.3716484699,18824.6293733444,19135.4925420845,19449.9965456001,19768.1768579597,20090.0690022144,20415.7086084809,20745.1314419027,21078.3734507263,21415.4707766228,21756.4597085402,22101.3766522254,22450.2581163395,22803.1407145252,23160.0611722358,23521.056326809,23886.1631238669,24255.4186069135,24628.8599042089,25006.5242199858,25388.4488285182,25774.6710692325,26165.2283409019,26560.1580941771,26959.4978231251,27363.2850561292,27771.5573469609,28184.3522664032,28601.7073939281,29023.6603090614,29450.2485822549,29881.5097653265,30317.4813816265,30758.2009160271,31203.7058047964,31654.0334253179,32109.221085565,32569.3060132914,33034.325344941,33504.3161143072,33979.3152409642,34459.3595184794,34944.4856023989,35434.7299979957,35930.1290477669,36430.7189186828,36936.535589192,37447.6148359874,37963.9922205371,38485.7030753788,39012.7824901768,39545.2652975403,40083.186058605,40626.5790483792,41175.478240859,41729.9172939121,42289.929533936,42855.5479402896
9,Oregon,3931.74963430162,3963.70128267414,3997.61892914455,4019.00162110901,4047.2044214777,4071.70852180791,4098.649976773,4120.09408739907,4140.61673105072,4158.82571007275,4178.40078017057,4196.31469288484,4213.25002084979,4228.03913950667,4242.36886220378,4256.05740455665,4269.43288614183,4281.63211924376,4292.95046110099,4303.47083978675,4313.64377643428,4323.29310017376,4332.35990353917,4340.7250214627,4348.59214410109,4356.0490781681,4363.14877249205,4369.80417120218,4376.0215721445,4381.84332887743,4387.35409255737,4392.56706140829,4397.47540230663,4402.06967825915,4406.38265001787,4410.44877393015,4414.2904183333,4417.90682892409,4421.30205892675,4424.49030854256,4427.49359415664,4430.32569563678,4432.99292113651,4435.49957143149,4437.8555432222,4440.07312351493,4442.16265978582,4444.13014582831,4445.98062111693,4447.7205944214,4449.35806047877,4450.90005485909,4452.35183202205,4453.71770304569,4455.00247073161,4456.21142841365,4457.34956116663,4458.42094879219,4459.42912237881,4460.37762256183,4461.27015560606,4462.11025009272,4462.90100152449,4463.64515042748,4464.34534552717,4465.00423492959,4465.62435734603,4466.20801415412,4466.75729050393,4467.27416159549,4467.76055303091,4468.2183050497,4468.64911954317,4469.05455991812,4469.43609723322,4469.79514235921,4470.13303900022,4470.45104184992,4470.75031487489,4471.03195052267,4471.29698724826,4471.54641033435,4471.78114438642,4472.00205226316,4472.2099436822,4472.40558444922,4472.58969912241,4472.76296910686,4472.92603266228,4473.07948902311,4473.22390343622,4473.35980961548,4473.4877099302,4473.6080759512,4473.7213507033,4473.82795151905,4473.9282719263,4474.02268243192,4474.11153125583,4474.19514572013
