id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19317.1152493331,19362.1022154055,19397.6451997837,19422.9607112309,19445.422335741,19465.5786822199,19483.2451113136,19493.5194993141,19501.606872736,19508.2004474436,19514.0513819611,19518.7193179058,19522.2158378324,19524.6376925827,19526.6302336725,19528.2909119974,19529.6510232242,19530.6783542438,19531.4460513746,19532.0355907131,19532.5220943097,19532.9149308788,19533.221110316,19533.4525118916,19533.6314306181,19533.773972281,19533.8890162953,19533.9793048921,19534.0488346637,19534.1024848583,19534.1448436031,19534.1786015992,19534.205274458,19534.2259896097,19534.2420536101,19534.2546462895,19534.2646210676,19534.272495535,19534.278652964,19534.283444042,19534.2871928663,19534.2901469725,19534.2924765973,19534.2943031921,19534.2957294315,19534.2968448183,19534.2977213438,19534.2984113349,19534.2989530607,19534.2993769559,19534.2997086558,19534.2999689096,19534.3001734949,19534.3003341567,19534.3004600496,19534.3005586283,19534.300635925,19534.3006966241,19534.3007442846,19534.3007816583,19534.3008109421,19534.3008338994,19534.3008519156,19534.3008660577,19534.3008771512,19534.3008858475,19534.3008926653,19534.3008980138,19534.3009022109,19534.3009055037,19534.3009080857,19534.3009101103,19534.3009116982,19534.300912944,19534.3009139214,19534.300914688,19534.3009152891,19534.3009157605,19534.3009161304,19534.3009164205,19534.3009166481,19534.3009168265,19534.3009169665,19534.3009170763,19534.3009171624,19534.30091723,19534.300917283,19534.3009173245,19534.3009173571,19534.3009173827,19534.3009174028,19534.3009174185,19534.3009174308,19534.3009174405,19534.3009174481,19534.300917454,19534.3009174587,19534.3009174624,19534.3009174652,19534.3009174675
1,Illinois,109338.80247701,110918.92801565,112508.473150578,114197.803493551,115843.040296879,117438.246713885,118874.883624753,120252.796348964,121554.270574092,122896.503166395,124282.857208522,125484.090691153,126463.492151561,127804.549740565,129212.142531883,130684.237654371,131670.01902637,132663.71861436,133653.220644107,134586.957260496,135462.83656363,136276.443961467,137067.823834353,137857.388178985,138623.931116103,139316.720361907,139998.05243791,140716.539411308,141526.674787282,142265.204321193,142921.877443392,143484.61043591,144035.689676525,144562.828356882,145055.33463403,145519.781730294,145966.857330047,146404.00169266,146821.715050234,147218.350448755,147605.176969121,148012.763481952,148429.891735448,148834.64421529,149193.126303251,149516.595903889,149815.820805981,150101.727633196,150371.402941743,150626.117195545,150870.413403689,151105.897598844,151331.937282637,151548.592785979,151763.140420564,151981.096153425,152201.984648395,152413.766729502,152608.493588059,152784.102653759,152946.548408792,153099.225095448,153243.816897733,153380.86241363,153511.702422999,153637.33378748,153757.952411037,153874.760913416,153990.050037021,154106.008815061,154221.394542205,154332.581815889,154435.674121479,154529.969157261,154616.771448374,154698.043799318,154774.787193737,154847.637535167,154917.107898175,154983.649747335,155047.68924141,155109.879856176,155171.225255273,155232.296708327,155292.622675793,155350.660948571,155404.966638144,155454.964019444,155501.108324358,155544.153417179,155584.73457775,155623.231518693,155659.926939589,155695.066365261,155728.919706513,155761.853559318,155794.259666286,155826.331996447,155857.817635101,155888.110156678
2,California,94185.0061910112,96090.7980163781,98008.1208523097,99928.1086335428,101850.997734803,103758.446099363,105624.927399038,107579.847251978,109635.645587959,111466.773169223,113285.252192948,115088.291956537,116873.840309707,118639.592760074,120385.144406873,122113.033946292,123810.95742586,125463.821896572,127092.778350624,128696.643018855,130274.426208671,131825.267219244,133348.476961442,134843.33692347,136308.756977168,137744.941261427,139153.845393275,140535.211570334,141888.887774456,143214.816743639,144513.031251355,145783.644080772,147026.85983293,148243.0268331,149432.505757024,150595.472835955,151732.150445927,152842.800084383,153927.715873745,154987.217932521,156021.646192596,157031.352254012,158016.684574425,158977.986821944,159915.618066841,160829.94932764,161721.360544505,162590.23796359,163436.971988078,164261.955493365,165065.582871616,165848.250620852,166610.358178881,167352.306607547,168074.49752128,168777.332237506,169461.211126099,170126.533126724,170773.695400063,171403.093046298,172015.118727518,172610.162156885,173188.609676898,173750.843909029,174297.243457689,174828.182652234,175344.031312505,175845.154525608,176331.912427681,176804.660001642,177263.746907149,177709.517336363,178142.309890442,178562.457472991,178970.287198116,179366.120312068,179750.27212871,180123.051979742,180484.763179548,180835.70300273,181176.162672907,181506.427361774,181826.776197696,182137.482283323,182438.81272176,182731.02865075,183014.385284182,183289.131960162,183555.512195039,183813.763742848,184064.118659698,184306.803372649,184542.038752645,184770.040191063,184991.017679449,185205.17589205,185412.714270774,185613.827112261,185808.703656748,185997.528178426
3,Arizona,16439.3838512031,16851.0968779672,17279.8030782428,17720.3796164465,18167.8382899506,18600.6941851251,19006.7755846245,19389.3010480172,19764.6897980218,20097.0701245211,20395.9892398731,20784.6138530627,21188.2745064398,21603.4539439247,22071.8209939344,22592.0828255441,23041.6862386638,23488.8531026723,23925.2091586797,24346.9165883689,24743.8233505743,25112.2448225177,25476.2289767709,25843.6855580158,26218.3878411918,26619.8356162425,27065.1295067009,27521.4760020992,27985.248487478,28451.8845197542,28907.7570114315,29337.6318856329,29750.1264574827,30144.9794436667,30525.1547029675,30895.0865174789,31265.0101180486,31649.1489652316,32050.4303166189,32469.4873492382,32905.3121515446,33350.4554155093,33791.278354724,34222.3125221832,34638.8021811628,35037.4913908365,35418.620059368,35787.2925132518,36149.6272117062,36512.2872951308,36881.4272916298,37262.1087994449,37655.9986283483,38059.4933896016,38467.4485996909,38873.7664529596,39271.9979371269,39657.1982786942,40027.9568763467,40385.0219006381,40731.241011436,41071.1661703519,41410.1909707111,41753.0264271009,42102.5585355882,42459.4882937573,42822.2769679664,43187.3096149275,43549.8106108464,43905.450338488,44251.0056752134,44584.8931672378,44907.5158123885,45221.1201828311,45529.0230789347,45834.8911904009,46141.976741478,46452.4229416475,46766.7598507641,47083.8380092036,47401.2478283184,47715.9128951319,48024.7777811679,48325.5176347856,48617.0529478769,48899.6434674366,49174.7420244255,49444.6263616617,49711.8559800588,49978.6731922569,50246.5328109023,50515.8331751977,50785.8834289265,51055.1081427702,51321.4569644133,51582.9081961461,51837.9105354604,52085.6937491942,52326.3968855669,52560.9835683415
4,Massachusetts,91917.5335056526,92182.0243585448,92412.2844467845,92607.4488062076,92713.1651464411,92798.0754643374,92863.440385366,92901.6615042013,92930.1525895723,92950.3213581161,92963.619704927,92973.1942592421,92979.8624265726,92984.379942762,92987.5685386203,92989.7784327684,92991.3005209607,92992.3650232992,92993.1025740621,92993.6130043161,92993.9684382687,92994.2148535957,92994.3857408379,92994.5045096866,92994.5868903388,92994.6440551535,92994.6837531322,92994.711297422,92994.7304145013,92994.7436858639,92994.7528957021,92994.7592880496,92994.7637251279,92994.7668045592,92994.7689419339,92994.7704254614,92994.771455103,92994.7721697541,92994.7726657764,92994.7730100465,92994.7732489956,92994.7734148435,92994.773529953,92994.7736098474,92994.7736652997,92994.7737037875,92994.7737305007,92994.7737490416,92994.7737619102,92994.773770842,92994.7737770413,92994.773781344,92994.7737843304,92994.7737864032,92994.7737878418,92994.7737888403,92994.7737895334,92994.7737900144,92994.7737903483,92994.77379058,92994.7737907408,92994.7737908525,92994.7737909299,92994.7737909837,92994.773791021,92994.7737910469,92994.7737910649,92994.7737910774,92994.7737910861,92994.7737910921,92994.7737910963,92994.7737910992,92994.7737911012,92994.7737911026,92994.7737911035,92994.7737911042,92994.7737911047,92994.773791105,92994.7737911052,92994.7737911054,92994.7737911055,92994.7737911055,92994.7737911056,92994.7737911056,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057,92994.7737911057
5,Wisconsin,15274.055256097,15689.4134471429,16132.8952108179,16556.388186784,16959.1307781093,17478.9899386944,17994.1143139965,18558.3217735859,19170.0692381382,19662.3906284304,20178.2984964031,20710.0892667361,21273.8189640785,21885.5672226305,22490.9872400567,23096.2450668855,23692.7132221668,24275.5119442322,24883.6749776293,25510.4809585401,26152.291420218,26799.7747988305,27438.6869629719,28075.6702814381,28714.5672506093,29360.5102541065,30017.8796831699,30679.1441801856,31339.6241666112,31996.2247840447,32648.9875028384,33302.0450190641,33956.5612970681,34611.9235974779,35265.7709388227,35914.7766730241,36558.0577322603,37195.9740238652,37829.4408773049,38458.9185843084,39083.3546826655,39701.2813000046,40311.4254440648,40913.1795983428,41506.7172925048,42092.2036717677,42669.4623544241,43237.8976381231,43796.7091261222,44345.3404195713,44883.5606949506,45411.3636081152,45928.759120781,46435.5816905665,46931.53484869,47416.3152715068,47889.7337222112,48351.7574539744,48802.4323212838,49241.7972408808,49669.839675417,50086.5116832454,50491.789638283,50885.7121910736,51268.3803782542,51639.9275873212,52000.4843334027,52350.1675474251,52689.0920635589,53017.3903867461,53335.2246020527,53642.7815763225,53940.2594757183,54227.856125033,54505.7660264194,54774.1857020973,55033.3202348124,55283.385609205,55524.6056539692,55757.2063648461,55981.4119149103,56197.4440942517,56405.5241956787,56605.8749632534,56798.7207141279,56984.2856770602,57162.7918160418,57334.4574690518,57499.4972766249,57658.1228271321,57810.5431447849,57956.9645106026,58097.589725757,58232.6173303457,58362.2411982004,58486.6505762996,58606.0303286304,58720.5610769264,58830.4191060941,58935.7761166288
6,Texas,55893.2003422317,57058.8963829464,58205.0410285919,59302.0637714693,60339.5332449889,61343.7078138864,62293.5157526286,63221.9112957191,63984.9080523969,64605.5071207132,65504.0572602464,66577.7764547492,67823.8807968008,68784.0347144165,69706.7215740329,70588.2375992426,71427.2769463763,72234.6866561672,72973.6236667811,73619.7245249105,74256.8528287356,74980.0203090411,75876.6475027923,76789.1766181613,77658.4627784126,78425.4286181776,79157.9224159524,79857.676908804,80517.2492342255,81122.8531274395,81680.8964667396,82234.1080399174,82855.8605080292,83552.8073387797,84289.1687899407,84989.0790178005,85638.8398056617,86241.4845225914,86814.1600993661,87351.614795194,87849.8881149826,88318.727067908,88791.6275751659,89302.0523973791,89861.9681124257,90442.6664507189,91010.0006809195,91540.4934331006,92035.9983356933,92500.6486154323,92936.6641332241,93344.2497973638,93734.0962019123,94126.9896370522,94544.2646298839,94990.3916188661,95451.569465205,95904.4707349362,96334.0756985153,96735.7198056509,97111.667338301,97463.7299850464,97795.4760647147,98115.4548248264,98437.8736350217,98775.2402255678,99130.7524104217,99495.6192631754,99855.8440255256,100199.910250106,100523.179982562,100825.528466795,101109.031608805,101377.440147406,101637.809966934,101899.57268792,102170.714917537,102453.070249198,102741.396565012,103026.536730995,103300.457511359,103558.836131045,103800.976637898,104028.41643548,104244.600562471,104454.92533956,104665.905899041,104882.66002659,105106.398427748,105333.775093908,105558.828256086,105775.848905606,105981.38160285,106174.514330064,106356.395781678,106529.787939992,106698.768607496,106867.854147755,107040.447074413,107217.334363395
7,Nebraska,12131.2297810574,12325.4861312381,12504.3405991775,12669.429010382,12835.3874343515,13002.1774581804,13132.9964160035,13253.7406342114,13365.3752711441,13469.8836819267,13566.2552203069,13650.0176721977,13726.7086830875,13796.8270946458,13860.7956547904,13918.6893030559,13970.7102312718,14018.0151383527,14060.9622628411,14099.8829892822,14135.0769529575,14166.8820409092,14195.7017540822,14221.7927755333,14245.3956501319,14266.7369442363,14286.0351462518,14303.4939060601,14319.2822817053,14333.5563679143,14346.4599255153,14358.1248731915,14368.6703818125,14378.2023453476,14386.8173791072,14394.6033690303,14401.6399871545,14407.9991461372,14413.7456860935,14418.9384190137,14423.6306012014,14427.8703921392,14431.7013039635,14435.1626628723,14438.2900529771,14441.1156501333,14443.6685360883,14445.9749925731,14448.0587746788,14449.941357109,14451.6421481759,14453.1786865501,14454.5668210843,14455.8208740565,14456.9537880652,14457.9772578948,14458.9018504257,14459.7371133201,14460.4916732698,14461.1733246563,14461.7891096184,14462.3453905511,14462.8479156613,14463.3018782011,14463.7119699762,14464.0824297034,14464.4170867312,14464.7194005491,14464.9924964857,14465.2391979623,14465.4620556386,14465.6633737505,14465.8452339067,14466.0095165889,14466.1579205761,14466.2919804964,14466.4130826828,14466.5224795002,14466.6213022872,14466.7105730495,14466.7912150235,14466.8640622195,14466.929868044,14466.9893130882,14467.0430121643,14467.0915206625,14467.1353402934,14467.1749242756,14467.2106820225,14467.2429833754,14467.2721624284,14467.2985209831,14467.3223316701,14467.3438407678,14467.36327075,14467.3808225863,14467.3966778208,14467.4110004497,14467.4239386172,14467.4356261479
8,Utah,8396.20229127862,8553.46642746832,8710.7958884844,8867.53509500268,9023.40475212715,9178.0011126886,9329.84411163545,9488.43272970194,9654.86317158819,9801.54415581261,9946.68916666083,10090.1206403934,10231.7177945776,10371.3790954186,10509.038618211,10644.7936854021,10777.6605196083,10906.4242462444,11032.8980094031,11157.0074015608,11278.6901726854,11397.8910185926,11514.5601009875,11628.6495606052,11740.0952137651,11848.9370806263,11955.3563935242,12059.3490689613,12160.9187744032,12260.0763707408,12356.8398855975,12451.2346531625,12543.2938621691,12633.0612097669,12720.5803815764,12805.87932004,12888.9892120887,12969.9439738749,13048.7797453724,13125.5343366276,13200.2466019037,13272.955688768,13343.6999160354,13412.5166967761,13479.4441885236,13544.5210223482,13607.7860606496,13669.2781853893,13729.0361250861,13787.0983323876,13843.5029310821,13898.2877803711,13951.4905540814,14003.1486473849,14053.2991032095,14101.9785572061,14149.2231998465,14195.0687531816,14239.5504582597,14282.7030667425,14324.5608243862,14365.1574439127,14404.52608492,14442.6993394185,14479.7092215664,14515.5871601807,14550.3639927278,14584.0699597946,14616.7346996392,14648.3872437153,14679.0560144263,14708.7688245845,14737.5528781528,14765.4347719554,14792.440498165,14818.5954474966,14843.9244131357,14868.4515954769,14892.2006076613,14915.1944817615,14937.455675508,14959.0060794802,14979.8670247169,15000.0592907105,15019.6031137592,15038.5181956403,15056.82371256,15074.5383243272,15091.680183714,15108.2669459679,15124.315778451,15139.8433703768,15154.8659426217,15169.3992575855,15183.4586290761,15197.0589321966,15210.2146132168,15222.9396994096,15235.2478088397,15247.1521600878
9,Oregon,3921.45594272137,3952.10589170986,3978.55539481415,3996.8624242154,4021.06498614806,4047.00098981469,4075.91495745334,4093.74871684127,4110.0547891134,4126.23683533651,4144.9236107943,4162.10173261499,4177.00138287043,4188.89072321099,4200.98018255439,4213.27418518057,4225.26381710738,4235.64679273001,4244.82712245489,4253.39140627815,4261.97864291941,4270.16230536053,4277.61032815208,4284.24931396533,4290.46404166437,4296.44317297448,4302.15852758767,4307.41382304974,4312.20425252351,4316.64786957696,4320.8733698169,4324.87233449413,4328.5907015026,4332.00891342695,4335.1840767982,4338.17243646869,4340.98962872566,4343.61631670984,4346.04862058784,4348.30867807669,4350.42692484461,4352.41576315999,4354.27341293596,4355.99962709463,4357.60589682592,4359.10755213693,4360.51428091999,4361.82853406703,4363.05254721383,4364.19259073984,4365.2572774611,4366.25308768669,4367.18341333638,4368.05084014161,4368.85940672511,4369.61415243694,4370.3194375889,4370.97820101191,4371.5928056072,4372.166002639,4372.7009617172,4373.20059299405,4373.66717539378,4374.10260833772,4374.50884560174,4374.8879699467,4375.24195269784,4375.57246561684,4375.88095490922,4376.16882049119,4376.43747920395,4376.68828136222,4376.92242715694,4377.1409820208,4377.34495125923,4377.53531755163,4377.71301646901,4377.87890070916,4378.03374160744,4378.17825920189,4378.31314290199,4378.43904612612,4378.55657245272,4378.66627463333,4378.76866691243,4378.86423572642,4378.95344004772,4379.03670662257,4379.11442937822,4379.18697461822,4379.25468653164,4379.31788867431,4379.37688278745,4379.43194876028,4379.48334701443,4379.53132137748,4379.57610045273,4379.61789768131,4379.65691161707,4379.6933271577
