id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19348.089529957,19423.2765313074,19489.6788310369,19539.8095180902,19593.3600097188,19639.1002869017,19685.5205550567,19729.5179155872,19772.348236598,19811.963639114,19849.9472284691,19886.9195060642,19923.331895031,19958.4278165041,19992.3887922323,20025.409152567,20057.6971831385,20089.2533622852,20120.102974901,20150.2298627414,20179.6855835499,20208.5180392721,20236.7659391847,20264.4377927981,20291.5434666388,20318.098783681,20344.1260593367,20369.6415241445,20394.6569480566,20419.1821780575,20443.2283880476,20466.8071007431,20489.9293270779,20512.6047260559,20534.8422725754,20556.6507817647,20578.0391099003,20599.0158631514,20619.5892672195,20639.7672131814,20659.5574161627,20678.96746097,20698.0047773804,20716.6766030009,20734.9899935882,20752.9518509,20770.5689434223,20787.8479065162,20804.7952384002,20821.4173016148,20837.7203308441,20853.7104396661,20869.3936237706,20884.7757620654,20899.8626186132,20914.6598457052,20929.1729870893,20943.4074804504,20957.3686593539,20971.0617551486,20984.4918990747,20997.664124409,21010.5833684671,21023.2544744401,21035.6821931711,21047.8711849321,21059.8260211915,21071.5511863325,21083.051079312,21094.3300152755,21105.3922271464,21116.2418671898,21126.8830085451,21137.319646725,21147.5557010818,21157.5950162469,21167.4413635441,21177.0984423764,21186.5698815855,21195.8592407858,21204.9700116725,21213.9056193063,21222.669423373,21231.2647194209,21239.6947400739,21247.962656222,21256.0715781905,21264.0245568863,21271.8245849238,21279.4745977286,21286.977474622,21294.3360398845,21301.553063799,21308.6312636757,21315.5733048568,21322.3818017029,21329.059318561,21335.6083707143,21342.031425314,21348.3309022941
1,Illinois,109936.431359634,112377.848390372,114851.998894141,117640.098077623,120178.318796902,122796.932159062,125166.296108396,127515.614519305,129782.736641173,132169.661237655,134560.088753328,137164.697657781,139771.295701209,142304.561766678,144780.142469316,147267.929721581,149978.18279828,152719.455557768,155514.875419562,158160.881245033,160741.820101841,163201.790805204,165666.91457709,168143.74618272,170734.348756975,173398.334784582,176109.386262218,178774.684383574,181397.888671503,184079.677924831,186850.171424488,189723.555590901,192573.204477144,195366.401612102,198043.582602556,200657.359374133,203233.850051695,205852.853962064,208537.515529359,211299.789772258,214085.399367825,216855.073049832,219612.708205589,222403.949129988,225277.978427854,228206.776303893,231141.020307226,234006.407315889,236789.502110145,239496.832867439,242182.179643484,244889.291791836,247657.086489551,250479.010164233,253327.36368944,256171.740334037,259015.603753095,261892.370256947,264824.622911714,267802.778705872,270775.471161724,273696.314557478,276537.856974494,279315.987516775,282065.918255448,284833.785025103,287645.29566907,290501.991933858,293381.990121471,296266.808591323,299158.62359569,302077.504233886,305039.098757326,308030.424621096,311015.236363715,313951.292688097,316819.076039415,319626.603143897,322406.695845052,325195.460841869,328017.629357139,330874.992187495,333754.45057676,336643.130606696,339542.298601159,342464.712435425,345418.016751837,348390.89652865,351352.568089982,354270.077509067,357125.387357609,359925.716550294,362696.978591233,365470.685125057,368267.895288602,371093.118872805,373938.229346048,376794.931071091,379663.618465486,382551.574789177
2,California,94716.3830644607,96898.9562813459,99153.7121544146,101479.647829197,103812.2939733,106161.499072191,108544.749951838,110948.816196861,113370.651525175,115824.592388247,118312.859521028,120831.982252423,123376.745487287,125949.09063257,128550.425292724,131180.352106205,133839.849846797,136530.380917969,139251.816990571,142003.736107646,144786.059661089,147599.397888541,150444.205321665,153320.805828358,156229.609283966,159170.953533177,162145.029884773,165152.07020259,168192.391798647,171266.365308445,174374.32961097,177516.607597838,180693.521726799,183905.382825001,187152.49790414,190435.189021569,193753.789972065,197108.636524494,200500.059564749,203928.388657019,207393.954002261,210897.086575252,214438.119758112,218017.390162194,221635.236058996,225291.996038856,228988.008786597,232723.613737772,236499.151349239,240314.963145293,244171.391751835,248068.78071883,252007.474210321,255987.816861246,260010.153792999,264074.830660706,268182.193619753,272332.589252018,276526.364476233,280763.86644196,285045.442433027,289371.439799223,293742.20589787,298158.088025598,302619.433334827,307126.588743634,311679.90084346,316279.715806485,320926.379294775,325620.23637021,330361.631401541,335150.907966911,339988.408752534,344874.475449056,349809.448646163,354793.667725504,359827.470751748,364911.1943613,370045.173648272,375229.742047736,380465.231216489,385751.970911539,391090.288866302,396480.510664457,401922.959611381,407417.956603088,412965.819992668,418566.865454265,424221.405844631,429929.751062278,435692.207904215,441509.079920268,447380.667264979,453307.266547088,459289.170676628,465326.66870965,471420.045690605,477569.582492393,483775.555654118,490038.237216554
3,Arizona,16439.7321644223,16834.7103771206,17262.1270839873,17728.8700331115,18182.213508426,18611.1305886396,19029.6301021875,19430.753830295,19825.1202307996,20219.994395274,20635.2825005768,21055.3023089629,21484.8988129921,21920.4361785593,22388.073073642,22867.6049899,23356.2732748148,23850.9116393864,24337.4598908018,24807.8408128224,25264.0460647487,25716.8195458247,26169.5921689775,26629.1198799977,27098.165887701,27584.2309677302,28085.2990689849,28602.4515058771,29134.7895094738,29678.9989466849,30223.6652076745,30762.6265640007,31292.9061498058,31813.0966636112,32326.7106868085,32839.8213925174,33359.8012283008,33891.0058239284,34437.233549774,35000.472297878,35581.2730431786,36175.7175961136,36778.9097300048,37384.9965870834,37988.0076905217,38583.5873191412,39171.5110045527,39754.7498906509,40338.0050129731,40927.2044079408,41527.9138455859,42144.3934424587,42778.2368971231,43428.853900831,44093.3771295764,44767.0630169344,45444.0128402127,46119.2019356981,46789.4634155546,47454.1204544039,48115.3017596524,48777.4738443033,49446.1581421611,50126.5488002155,50822.5904695988,51536.153327573,52266.6776229288,53011.2107216569,53765.2426913813,54523.6593197857,55281.8650788368,56036.8849728027,56788.1855528172,57537.7157177432,58289.3907670109,59048.2111489349,59819.1136211337,60605.8497402825,61410.1757369079,62231.5646906173,63067.3599911079,63913.3866956707,64764.9048775421,65617.7462431111,66469.2628130569,67318.929520087,68168.475457703,69021.4864798415,69882.5521073334,70756.2134940634,71645.965950503,72553.5053018425,73478.388098815,74418.179052905,75369.0550249301,76326.6983513488,77287.2944298825,78248.4155467409,79209.5870602097,80172.3866950653
4,Massachusetts,92458.6122713219,93191.2819402622,93869.9765482857,94518.9253196011,95140.1069040365,95728.0031481643,96284.2987249414,96815.5037534834,97323.4604502109,97807.4951818186,98269.9531075456,98713.0798275116,99137.7235038542,99544.9031495054,99935.9467286905,100311.89636623,100673.611961929,101021.940466036,101357.694915652,101681.59683461,101994.295749088,102296.402060541,102588.483465183,102871.056673556,103144.598348123,103409.552254784,103666.328988058,103915.308155778,104156.842522598,104391.260409912,104618.867357054,104839.948130545,105054.768715666,105263.577902257,105466.60867368,105664.079563362,105856.19589649,106043.150870511,106225.126540165,106402.294729331,106574.817854166,106742.849664496,106906.535920368,107066.015008864,107221.418503631,107372.871673266,107520.493944593,107664.399324671,107804.69678499,107941.490611636,108074.880724817,108204.962970483,108331.829386628,108455.568446711,108576.265282336,108694.001887123,108808.857303503,108920.907794053,109030.226998796,109136.88607977,109240.953854029,109342.49691616,109441.579751259,109538.264839247,109632.612751322,109724.682239234,109814.530318062,109902.212343051,109987.782081053,110071.29177704,110152.792216138,110232.332781554,110309.96150877,110385.725136316,110459.669153419,110531.837844785,110602.274332766,110671.020617111,110738.117612523,110803.605184174,110867.522181359,110929.90646943,110990.794960138,111050.223640517,111108.227600409,111164.841058729,111220.097388581,111274.029141271,111326.668069337,111378.045148627,111428.190599508,111477.133907257,111524.903841689,111571.528476067,111617.035205334,111661.450763722,111704.801241748,111747.112102662,111788.40819835,111828.713784742
5,Wisconsin,15344.9590340087,15813.5547488494,16303.8585060535,16848.6155220908,17442.3975272951,18027.3588811816,18612.9015925053,19197.0237517386,19797.8353448851,20435.413604644,21107.4511803769,21809.3114567225,22525.3019032498,23246.433380132,23984.6265659455,24749.1218003176,25548.7813621805,26383.6269194554,27245.4512105708,28129.527747708,29034.667783889,29966.4650812542,30933.2931765327,31938.2650058231,32980.7133471467,34057.0794548057,35165.1037657814,36306.9628426226,37487.0654836371,38710.1391904213,39978.5420472629,41291.7127887825,42648.7248728025,44049.9349792072,45497.9408177754,46996.6757834867,48549.4290984204,50158.0877691708,51823.3253245424,53545.8148799374,55327.4091466823,57171.1194575816,59080.4270385509,61058.3448734603,63107.0181468162,65228.1803550862,67423.836030188,69696.735918284,72050.2812235096,74487.9854238181,77013.0409005461,79628.2420719962,82336.2945604932,85140.2236360629,88043.5287407763,91050.0383911897,94163.6058171208,97387.9006650399,100726.45044462,104182.845140118,107760.932979946,111464.857561184,115298.927897572,119267.451309281,123374.653749998,127624.732687696,132021.979300673,136570.859733556,141275.999178889,146142.09056535,151173.803430446,156375.756997693,161752.559265668,167308.865218138,173049.399026154,178978.920181833,185102.159498728,191423.767500833,197948.301037911,204680.240081331,211624.003947994,218783.941469909,226164.292407474,233769.138739931,241602.368308405,249667.659142626,257968.475227517,266508.056684154,275289.393759856,284315.187559052,293587.809324633,303109.268743221,312881.192847982,322904.808621836,333180.920827157,343709.881741218,354491.556391794,365525.290061448,376809.882496218,388343.568235674
6,Texas,55912.3451006811,57096.8893803267,58260.9511890757,59403.3715696667,60453.6224209503,61445.3256005881,62462.3426754069,63580.2140559981,64555.664307277,65548.5605966518,66516.4071070356,67615.848877988,68735.5159952804,69854.5199324791,70933.3408085961,71947.9362193787,72931.3945056395,73934.7769055926,74932.4607758625,75921.4799532751,76865.2142354633,77846.9583477043,78867.7238319485,79935.1624082254,80996.2942767972,82024.6719409478,83010.9134668001,83973.6795002713,84931.1219583312,85890.1602717137,86830.6072611467,87766.0108174577,88711.1426013666,89694.4828036849,90702.3028717626,91712.367031858,92697.1650916723,93651.3807982061,94583.5136145637,95507.1100279493,96423.6830171661,97333.3196288715,98238.538849191,99156.93095116,100097.637255377,101058.337878899,102019.37515763,102963.698752786,103883.777333735,104784.792846006,105674.041042158,106556.21222016,107432.581978811,108309.403282937,109195.731556701,110099.123229637,111015.602903286,111933.087593133,112837.882486558,113723.983352347,114592.922617842,115450.015446373,116299.367320201,117144.76054014,117991.328068647,118846.146278854,119713.125247236,120589.632647263,121466.459683105,122333.770688634,123185.944446194,124023.242940949,124849.056474347,125667.47118663,126482.516447263,127299.140512928,128122.330725869,128954.671327215,129793.707674086,130632.732528772,131464.114600704,132283.153389424,133089.240541839,133884.770829398,134673.304251442,135458.882440949,136245.825465182,137038.005995314,137837.006434194,138640.791644953,139444.166850227,140241.243086059,141028.018315856,141803.591854571,142569.617951049,143329.188857321,144085.992015061,144843.811272125,145605.669628928,146372.624452924
7,Nebraska,12229.6472693703,12498.5442741665,12762.404611121,13023.3175845084,13283.789746655,13538.6149291447,13791.0816677509,14041.0659859544,14287.2305408239,14531.3425945822,14772.104777839,15010.2026764443,15245.4113157059,15477.8490624429,15707.6666356121,15934.7035855028,16159.0965457833,16380.8665408509,16600.0464089171,16816.6795523615,17030.7720849118,17242.3781685506,17451.5239739972,17658.2418924516,17862.5639191341,18064.5179973296,18264.1379373038,18461.4529924772,18656.4931461954,18849.2878223871,19039.8657490038,19228.2561975866,19414.4873100062,19598.5870504831,19780.5829805812,19960.5022986856,20138.3719368209,20314.2183335429,20488.0676058418,20659.9455103949,20829.8774515948,20997.8884894068,21164.0033141608,21328.2462787311,21490.6413934951,21651.2123306706,21809.9824274207,21966.9746865847,22122.2117851467,22275.7160763638,22427.5095936516,22577.614054293,22726.0508631806,22872.8411174845,23018.0056102542,23161.5648343776,23303.5389865362,23443.9479711991,23582.8114046949,23720.1486191065,23855.9786662286,23990.3203215167,24123.1920880264,24254.6122003379,24384.5986284347,24513.1690815756,24640.3410121422,24766.1316194603,24890.5578535921,25013.6364190943,25135.3837787484,25255.8161572575,25374.9495449086,25492.7997011988,25609.3821584246,25724.712225234,25838.8049901398,25951.6753249933,26063.3378884179,26173.8071292017,26283.0972896485,26391.2224088872,26498.1963261386,26604.0326839396,26708.7449313237,26812.346326959,26914.8499422425,27016.2686643502,27116.6151992441,27215.9020746352,27314.1416429028,27411.3460839699,27507.5274081356,27602.6974588627,27696.8679155237,27790.0502961024,27882.2559598529,27973.496109916,28063.7817958938,28153.1239163807
8,Utah,8441.92682727647,8624.59246188345,8810.51741674922,8999.63827072721,9190.75893554138,9382.28096758405,9576.33127266938,9771.41421817081,9966.14774877676,10162.492573138,10360.4140668789,10559.9095987547,10760.8691374181,10963.0709578426,11166.6318950053,11371.4422954153,11577.5317324064,11785.0902846511,11994.105786102,12204.5692493164,12416.4613711427,12629.7739354503,12844.5322546595,13060.7483523666,13278.4487457371,13497.6599645524,13718.3877067965,13940.63962835,14164.4253832194,14389.7585877772,14616.6558099927,14845.1323666975,15075.2039874471,15306.8850022706,15540.1881265139,15775.1269753624,16011.7159418466,16249.9700389695,16489.9044519244,16731.5341703805,16974.8741308592,17219.939154904,17466.7441169527,17715.3041639697,17965.6346330001,18217.7509732585,18471.6686788084,18727.4032716365,18984.9703308969,19244.3855071244,19505.6645464809,19768.8232961155,20033.8776812998,20300.8436903989,20569.7373681334,20840.5748168169,21113.3721999742,21388.1457425818,21664.9117294688,21943.686500316,22224.4864432922,22507.3279908608,22792.2276170106,23079.2018350068,23368.2671946827,23659.4402788975,23952.7376994972,24248.1760929549,24545.7721160948,24845.5424420913,25147.5037564932,25451.6727530896,25758.0661295291,26066.7005827199,26377.5928040924,26690.7594747713,27006.2172606882,27323.9828076149,27644.0727360737,27966.5036361017,28291.2920618755,28618.4545262061,28948.0074949206,29279.9673811301,29614.3505393841,29951.1732597029,30290.4517614835,30632.2021872787,30976.4405964525,31323.1829587141,31672.4451475319,32024.2429334269,32378.5919771461,32735.5078227137,33095.0058903618,33457.101469342,33821.8097106176,34189.1456194401,34559.1240478088,34931.7596868158
9,Oregon,3929.50685721263,3960.78390597932,3994.81341744748,4021.01707395847,4051.4819249204,4079.30511949914,4108.41229392826,4134.42308082413,4159.91883761595,4183.98403030387,4208.58422039555,4232.15408111171,4255.070762037,4276.72389523604,4297.97707592859,4318.73403376267,4339.16467683501,4358.83598554805,4377.90030274434,4396.39999439363,4414.56274482798,4432.30206239311,4449.59081879011,4466.37119006286,4482.74698738055,4498.76396920148,4514.4505282889,4529.76495633154,4544.71223659549,4559.31534820442,4573.61840622571,4587.62976796557,4601.3477601031,4614.7693852407,4627.91272510174,4640.79668778611,4653.43411836182,4665.82628056418,4677.97682239738,4689.89444592303,4701.59174234719,4713.07716569053,4724.35541545428,4735.43016899159,4746.30788339567,4756.99619286732,4767.50174401181,4777.82898896536,4787.98188527978,4797.96510792385,4807.78405781799,4817.44363946169,4826.94785015434,4836.3001990498,4845.50442489789,4854.56449563554,4863.48420917586,4872.2668950839,4880.91559303772,4889.4333321375,4897.82320912407,4906.08821689775,4914.23111699447,4922.25447880847,4930.16081135014,4937.9526090048,4945.63229731136,4953.20216915742,4960.66439549521,4968.02107864134,4975.27428261231,4982.42601539979,4989.47820263378,4996.43268766873,5003.29125480436,5010.05564551675,5016.72755511828,5023.30862198346,5029.80042683669,5036.20450250079,5042.52234280318,5048.75540312741,5054.90509680042,5060.97279469613,5066.95982967499,5072.86750133379,5078.69707747168,5084.44979326958,5090.12685142488,5095.72942434081,5101.25865677323,5106.71566718438,5112.10154796216,5117.41736581687,5122.66416302971,5127.84295900054,5132.95475131128,5138.00051623593,5142.98120922446,5147.89776571297
