id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19342.9632815709,19415.0056958323,19477.7918120352,19537.1574749031,19598.7033880753,19653.3209537741,19705.7194337069,19753.6843133868,19799.5181175732,19842.6351543783,19884.4239176681,19924.605407829,19963.0105277037,19999.6275926424,20035.0271293252,20069.2708401273,20102.3686702234,20134.3191509586,20165.2117422755,20195.1149041177,20224.098569517,20252.1936434171,20279.4284941817,20305.830598309,20331.4367872227,20356.2801681478,20380.3877041189,20403.7807881208,20426.4817251198,20448.5132484577,20469.8973824719,20490.6541641848,20510.802302932,20530.3597622873,20549.34421923,20567.77282897,20585.6620582271,20603.0276641586,20619.8848780026,20636.2485077679,20652.1329498498,20667.5521470894,20682.5195955499,20697.0483803087,20711.151212379,20724.8404418454,20738.1280615566,20751.0257131182,20763.5447007419,20775.6960057456,20787.4902976537,20798.9379418611,20810.0490072137,20820.833274635,20831.3002461834,20841.4591533287,20851.318964382,20860.8883915582,20870.1758980739,20879.1897052081,20887.9377991291,20896.4279374082,20904.6676553046,20912.6642719107,20920.4248961736,20927.9564327571,20935.265587728,20942.3588740756,20949.2426170898,20955.9229596037,20962.4058671019,20968.6971326886,20974.8023819231,20980.7270775246,20986.476523956,20992.0558718844,20997.4701225239,21002.7241318606,21007.8226147643,21012.7701489906,21017.5711790746,21022.2300201193,21026.7508614817,21031.1377703588,21035.3946952747,21039.525469474,21043.5338142216,21047.4233420113,21051.1975596869,21054.859871477,21058.4135819456,21061.8618988607,21065.207935984,21068.4547157822,21071.6051720626,21074.6621525357,21077.6284213052,21080.5066612888,21083.2994765702,21086.0093946855
1,Illinois,109681.164168666,111815.970649516,113938.93048902,116231.057268965,118611.2614275,120763.468883389,122802.15088286,124801.876206994,126727.324962486,128631.955143054,130552.265818383,132316.333974775,133889.806793567,135795.492420435,137825.750331031,139980.924853238,141761.353288435,143533.419290445,145285.594379157,146962.021115837,148559.573410362,150072.668748531,151545.259483225,153000.500169559,154414.5925099,155729.523940338,157044.712446838,158445.524307063,160025.914333443,161572.05624328,163045.000476294,164401.896622799,165732.343494894,167015.36414605,168232.036626083,169393.032284542,170516.711141882,171615.944157708,172673.404267457,173694.330124084,174716.085425614,175820.539347642,176997.034440286,178198.471296874,179338.005498293,180418.063988368,181446.287165772,182437.226951487,183382.381388601,184284.719457835,185156.411036257,186001.446510421,186819.998223213,187619.315911613,188435.247197772,189298.880924519,190216.819469191,191147.111819277,192051.806664421,192908.871521994,193725.418830608,194505.394163627,195251.386767768,195965.292573311,196652.555040106,197317.797276531,197964.225193487,198604.074293637,199258.295505885,199947.56770758,200670.467138799,201406.067524098,202125.468756955,202813.746261681,203467.841758646,204091.631360388,204687.507270114,205258.270723098,205807.281061994,206338.25138078,206856.781144633,207373.012958281,207901.932068789,208454.659673535,209030.605139483,209615.37926581,210190.900590475,210744.129419531,211271.175041048,211772.961235768,212252.029494621,212710.768048515,213151.921400611,213578.997663568,213997.366087472,214415.488447262,214843.322910929,215287.84183198,215747.913584589,216214.383096882
2,California,94226.0869157646,96293.7947831987,98360.4398419544,100558.7271394,102922.079322048,105130.082924238,107355.122220155,109679.590104795,112092.085460706,114375.613734491,116678.660801137,118997.267300295,121324.584464782,123657.290969985,126001.048950945,128355.922890707,130713.207550231,133063.199071352,135419.051721992,137779.586053205,140143.915449848,142511.379588498,144881.325684972,147252.830994892,149624.747329153,151996.789282542,154369.877142336,156743.443087484,159116.966485204,161489.959348839,163861.964606817,166232.561270705,168601.385883481,170968.17455855,173332.66885681,175694.461582174,178053.165444297,180408.410996999,182759.845016692,185107.128128575,187449.931712773,189787.932213118,192120.799130454,194448.193380191,196769.785040345,199085.251998384,201394.278634739,203696.554549652,205991.773453529,208279.63231495,210559.831112681,212832.074071248,215096.071256598,217351.538135247,219598.195249294,221835.768018717,224063.986680468,226282.586359635,228491.307256368,230689.894887154,232878.10020138,235055.679513214,237222.39448084,239378.0121243,241522.304870601,243655.050612277,245776.032764557,247885.040306547,249981.867797748,252066.315382413,254138.188803183,256197.299419204,258243.464224438,260276.505862792,262296.252637996,264302.538517752,266295.203133425,268274.091777767,270239.055401916,272189.950610418,274126.639653475,276048.990416029,277956.876403705,279850.176725854,281728.776076053,283592.564710285,285441.438422773,287275.298519245,289094.051787584,290897.610465874,292685.892207916,294458.820046301,296216.322353102,297958.332798208,299684.790305303,301395.639005512,303090.828188736,304770.312252731,306434.050649997,308082.007832501
3,Arizona,16393.6551159401,16786.4633838839,17185.5655342453,17610.6404681102,18062.3808813141,18478.8133052676,18883.6647000688,19280.0164351496,19672.9817103987,20037.4718880083,20384.145944471,20782.9752510025,21192.5282107555,21610.7767659431,22061.7617526231,22544.845749876,22989.0438486592,23431.4330586834,23867.0763027007,24293.5180979024,24704.4742570025,25097.5446571676,25488.0010665466,25881.4290805299,26281.0085992532,26699.6841229509,27149.1114872576,27608.663182946,28075.4335703725,28545.7546025844,29010.1618668126,29457.8890392406,29893.7403174072,30317.5577102004,30731.6002758869,31139.3814610541,31548.7518246727,31970.7218380031,32408.1543077138,32861.9788939162,33331.5731140194,33811.2622027665,34290.3410767169,34763.8682059249,35227.5389844927,35678.3962174914,36116.4046435982,36545.7010274989,36971.7965280498,37400.8585362312,37838.7351008213,38290.3283744276,38757.5019018381,39237.2680551951,39724.910971942,40214.5689603428,40699.8863835829,41175.7868675936,41640.5062769513,42094.6022599365,42540.9463129062,42984.3439646059,43430.6714436158,43885.2795430552,44351.6233693447,44830.7460071539,45321.1090304306,45818.7064754679,46318.0274387544,46813.8548034585,47302.1502836391,47780.8033856173,48250.1496924451,48712.9110871819,49173.346518756,49636.3260287703,50106.3000590555,50586.320804323,51077.2821202374,51577.7196732194,52084.2992104852,52592.6048605065,53098.1197511371,53597.2857082587,54088.3342047096,54571.5417510716,55049.0950080514,55524.5758685458,56002.1299900572,56485.4914159277,56977.1527206503,57477.8430154209,57986.3979601118,58500.0484251047,59015.0940790131,59527.7902729034,60035.1779408631,60535.7109386157,61029.56217469,61518.5285174046
4,Massachusetts,92195.1582740809,92800.2311438018,93375.2975353994,93960.8281946897,94495.529683106,94943.844441762,95361.6445434454,95737.3676645112,96082.0338866901,96388.3148180321,96666.1448687364,96919.86730261,97149.8746087613,97357.7750344609,97547.3581966995,97719.9403348345,97876.9535745787,98020.020642952,98150.5686607741,98269.7156032653,98378.5262922556,98477.9690701968,98568.9212431739,98652.1480701125,98728.3460627503,98798.1497946491,98862.1292863998,98920.7964459642,98974.6170824585,99024.0131565953,99069.36649409,99111.023540477,99149.2992687369,99184.4799651949,99216.8260530226,99246.5746913554,99273.9420647779,99299.1253391981,99322.3044641394,99343.6438071933,99363.2936026097,99381.3912441188,99398.0624600093,99413.42237059,99427.5764385573,99440.6213273167,99452.6456780207,99463.730812147,99473.9513674961,99483.3758748991,99492.0672817274,99500.0834273298,99507.4774752375,99514.2983064824,99520.5908778106,99526.3965481487,99531.7533763825,99536.6963931721,99541.2578492326,99545.4674422667,99549.3525245154,99552.938292697,99556.2479619245,99559.3029250382,99562.1228986507,99564.7260570749,99567.1291551975,99569.3476412559,99571.3957603911,99573.2866497662,99575.0324259686,99576.6442653476,99578.1324778832,99579.5065751251,99580.7753326962,99581.9468478102,99583.0285922132,99584.0274609251,99584.9498171229,99585.8015334803,99586.5880302494,99587.3143103485,99587.9849916954,99588.6043370084,99589.1762812755,99589.7044570793,99590.1922179465,99590.6426598795,99591.0586412137,99591.4428009313,99591.7975755555,99592.1252147336,99592.4277956151,99592.7072361158,99592.9653071577,99593.2036439631,99593.4237564768,99593.6270389849,99593.8147789915,99593.9881654124
5,Wisconsin,15258.3012026941,15707.9998012883,16175.0967773568,16657.3851471876,17161.6578902824,17702.4110435919,18253.1697674773,18845.7248489238,19475.4396191203,20037.9367906526,20621.8067514458,21223.1242122776,21852.2084215265,22520.5724190179,23195.5152118783,23880.2505772487,24568.9294433571,25258.7398277711,25976.855077543,26720.0578194884,27486.8481137591,28271.1528861875,29062.7265144834,29866.9269642644,30687.5277678182,31529.5845359778,32397.5737468835,33286.2159319314,34192.2496964768,35113.6390557101,36051.1577691203,37009.4370267205,37990.4968097117,38994.6017864341,40020.1752060281,41064.5840291203,42127.6324273407,43210.4547255033,44314.8008195531,45441.871880345,46591.048506163,47761.1138224472,48951.0119853623,50160.4726200593,51390.1697010606,52640.6865028828,53912.0349939868,55203.5274691897,56514.0867922467,57842.9186105634,59189.6456789374,60554.1438859777,61936.1919502408,63335.1487622854,64750.0355212577,66179.7669331055,67623.3788905655,69080.1043267271,70549.2154561556,72029.851091715,73520.9332198629,75021.2163724502,76529.4300968278,78044.3684450145,79564.888482751,81089.8380162428,82617.9761763985,84147.960325521,85678.3911875816,87207.8765317333,88735.068562046,90258.6527858057,91777.3141491542,93289.7126646511,94794.4878006381,96290.2876344321,97775.7983686342,99249.7570764258,100710.945723094,102158.177919524,103590.29362455,105006.166580742,106404.719124287,107784.934709441,109145.86166275,110486.609703185,111806.345148467,113104.290024765,114379.726097865,115632.000567633,116860.529547153,118064.797657751,119244.354955036,120398.813841451,121527.847694244,122631.191066884,123708.640016792,124760.051149622,125785.33907901,126784.473045087
6,Texas,55764.1388209049,56870.5822777052,57949.3975351614,59051.3132638436,60184.0502287798,61223.6063841195,62238.5130579857,63251.659359293,64176.2311953448,65009.0518503678,66000.6684807238,67095.7911419571,68290.527920122,69326.7034409134,70339.0519666923,71324.6753009956,72282.1622775689,73217.6819752845,74110.0875342147,74944.839160608,75773.5658707068,76654.9197492752,77643.4820496539,78644.6486836901,79620.3420905021,80532.2169229334,81419.3474658765,82282.6371311563,83117.1992592272,83914.0966706886,84678.1496564328,85438.3253200888,86244.3399944094,87101.7702208101,87987.0471181694,88848.6473961339,89675.3582424383,90467.7145773839,91236.319854906,91977.3203430158,92688.041609231,93375.9902288976,94066.2966715002,94784.2943084096,95539.5046350497,96311.0257941647,97072.9370317375,97806.5843914243,98511.9796472693,99191.3410270396,99845.9204432029,100476.038682098,101090.704803854,101707.314276655,102343.850826268,103004.489276866,103678.046497721,104344.912755394,104991.759898428,105613.695054691,106211.785446289,106787.18860062,107343.091006779,107887.502897703,108433.708083645,108993.534468964,109570.259136062,110155.923444484,110737.347275539,111303.241218093,111848.49940507,112372.343759031,112876.407138152,113364.39187798,113843.614350278,114323.962614794,114813.905816394,115315.572849338,115823.635637054,116328.428797881,116821.144908057,117296.678267514,117753.775648286,118193.807144595,118620.551272771,119040.240971434,119460.523568876,119887.49742608,120322.729116506,120762.388984719,121199.397100823,121626.74479132,122039.929492405,122437.476981636,122820.554142806,123192.551334373,123558.721626066,123925.003942282,124295.947459433,124672.68984289
7,Nebraska,12162.6423815187,12401.6547635148,12631.6601185316,12867.6468388769,13121.106818901,13358.758837631,13576.8525690227,13791.2402388838,14000.1315611818,14201.4267800599,14397.6812145492,14584.6590143423,14765.3584394535,14939.7775493255,15108.5179459984,15271.1820216067,15427.5306793569,15578.3542940406,15723.8431950579,15864.0691308213,15999.1172442903,16129.1579144108,16254.4607954589,16375.1572952312,16491.3860059427,16603.2926512893,16711.0337938926,16814.7675474041,16914.6283902798,17010.7500633157,17103.2651573126,17192.3046758718,17277.9952786669,17360.4564900415,17439.8050458408,17516.1546426116,17589.6155273589,17660.2939652825,17728.2922575492,17793.7095373746,17856.6416868879,17917.1812822694,17975.4176111921,18031.4368077142,18085.3220389844,18137.1535426604,18187.0086873999,18234.9620554185,18281.08554191,18325.4484497915,18368.1175603722,18409.1572103117,18448.6293722337,18486.5937354324,18523.1077825166,18558.2268613337,18592.0042571497,18624.4912639078,18655.7372535837,18685.7897431101,18714.694459185,18742.4954016811,18769.2349053261,18794.9536994793,18819.6909660016,18843.4843953426,18866.3702409547,18888.3833719797,18909.5573242127,18929.9243493851,18949.5154628233,18968.3604895221,18986.4881086563,19003.9258965621,19020.7003682341,19036.8370173779,19052.3603550566,19067.2939469679,19081.6604493918,19095.481643846,19108.7784704914,19121.5710603223,19133.878766181,19145.7201926323,19157.1132247357,19168.0750557509,19178.6222138109,19188.7705875991,19198.5354510617,19207.9314871901,19216.9728109043,19225.6729910699,19234.045071677,19242.1015922133,19249.8546072578,19257.3157053244,19264.4960269827,19271.406282281,19278.0567674987,19284.4573812514
8,Utah,8397.43577832417,8566.66031538648,8735.86404592927,8914.77572376326,9105.89373031553,9283.24717991607,9461.85493780567,9647.65988561303,9839.80652757982,10019.896319636,10200.6354804213,10381.6907677058,10562.5529073855,10743.0212977961,10923.5359955764,11104.0380993905,11283.8260620883,11462.1040736021,11640.0146563142,11817.480444528,11994.4461279296,12170.870866551,12346.7083564408,12521.8937674951,12696.3527144075,12870.0822179257,13043.1799886989,13215.6170696269,13387.3679901704,13558.4099120767,13728.7228815169,13898.2910133047,14067.1039999445,14235.1595063341,14402.4553843403,14568.9768769751,14734.7108870333,14899.6458582226,15063.7716570625,15227.0793530431,15389.5608411896,15551.2082654543,15712.013048775,15871.9657772716,16031.057682176,16189.2805159507,16346.6264239231,16503.0878151352,16658.6572463802,16813.3273395027,16967.0907600202,17119.9403143948,17271.8690736541,17422.8703270555,17572.9375454728,17722.0643563676,17870.2445318006,18017.4719893534,18163.7408033755,18309.0452201943,18453.379663028,18596.7387221031,18739.1171492733,18880.509856471,19020.911917013,19160.3185684847,19298.7252157955,19436.1274331525,19572.5209643331,19707.9017223258,19842.2657900881,19975.609421999,20107.9290456184,20239.2212634382,20369.4828544334,20498.7107753675,20626.9021619585,20754.0543300991,20880.1647772151,21005.2311836443,21129.2514139551,21252.2235181603,21374.1457328174,21495.0164820298,21614.8343783657,21733.5982237069,21851.3070100133,21967.9599199781,22083.5563275604,22198.0957983905,22311.5780900472,22424.0031522075,22535.3711266681,22645.6823472355,22754.9373394792,22863.1368203447,22970.2816976232,23076.3730692804,23181.4122226424,23285.4006334409
9,Oregon,3920.29477143113,3952.78814890632,3982.31099659764,4008.66850884597,4040.58502454649,4070.72060278069,4102.44476658475,4128.55718067175,4153.82366959209,4178.42027582288,4204.27418400184,4229.1887434164,4252.652934688,4274.22277564104,4295.7301631854,4317.16443930388,4338.22454062089,4358.18277010292,4377.27669439075,4395.83333790219,4414.20956458348,4432.16235165251,4449.50200270709,4466.18673749809,4482.44038185877,4498.37279077923,4513.96617343087,4529.1051303175,4543.78846861021,4558.0882230829,4572.08189436442,4585.76436566695,4599.10358770647,4612.08938314566,4624.75846965092,4637.14661111025,4649.26423916444,4661.10042591705,4672.65441160688,4683.94194124938,4694.98377034636,4705.78904458619,4716.35800870525,4726.69219369465,4736.80083571907,4746.69557382619,4756.38426548597,4765.87008036382,4775.15620238502,4784.24858158223,4793.1547005031,4801.88055738378,4810.43008476445,4818.80674356089,4827.01503741938,4835.0601479894,4842.94675878013,4850.6785673883,4858.25890076736,4865.69138322482,4872.97993005322,4880.12825378228,4887.13960899703,4894.01698607648,4900.7634221171,4907.38204188536,4913.87587404057,4920.24771607046,4926.5001951069,4932.63590082762,4938.65742645839,4944.56730120828,4950.36792753987,4956.06159552726,4961.65054007251,4967.13696686969,4972.52303074612,4977.81080751705,4983.00229621456,4988.09944290614,4993.10415574489,4998.01829923959,5002.84368274626,5007.58206002929,5012.23513933661,5016.8045915367,5021.29204965521,5025.69910464041,5030.02730497514,5034.2781610702,5038.4531496509,5042.55371465953,5046.58126608177,5050.53717995456,5054.42280047179,5058.23944240333,5061.98839215813,5065.67090778068,5069.28821923952,5072.84152958958
