id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19989.7740992044,20790.2238135668,21529.9969547915,22267.3201629218,23154.1505754518,24130.5429593174,25200.7577539633,26692.7629639445,28192.5183901306,30094.2679055124,32100.2301707303,34109.2666131631,37077.480252071,40132.146199056,44450.4358513294,49091.6316878057,54348.5280965075,60435.7343442555,67035.4109309402,75636.5782889171,84692.9767393693,96381.8691251328,109176.257665322,123786.927355363,141493.629041775,160343.832435616,184732.177685783,211022.631535096,243100.704567448,279479.185151226,320228.780439179,369680.111482976,422956.197455615,489007.926726679,561059.900964368,645811.7360764,742904.073366949,849586.832158431,977287.663683849,1113941.86466734,1276136.24948239,1452518.26857067,1650335.4379822,1872682.49732122,2108284.07119405,2377056.51825739,2654776.12048541,2962038.21330037,3280951.60577948,3611770.32179814,3958790.28039461,4297420.03939752,4647847.25370593,4978209.90974061,5302729.39688641,5605296.26326648,5881440.27029128,6137168.56424281,6356415.65695973,6554535.78894367,6719236.76892829,6860895.92011112,6978544.58134709,7074189.07535388,7154332.1596716,7217193.93224604,7269598.08271465,7310609.39553268,7343883.18265634,7370486.51330337,7391346.28919865,7408382.20948971,7421493.04280936,7432200.09709589,7440496.89703916,7447114.98637997,7452366.10336249,7456436.30386737,7459731.76622272,7462256.17646418,7464299.52823363,7465884.30547348,7467140.97586088,7468140.45562114,7468914.49509613,7469541.08368143,7470022.47225541,7470410.69644596,7470712.78490909,7470951.22179128,7471140.98978891,7471287.62507989,7471406.01396236,7471497.10970534,7471570.278786,7471627.42935142,7471672.43146313,7471708.34610537,7471736.12395866,7471758.53773112
1,Illinois,124694.882006806,151751.688046611,187871.377221201,230328.921442662,278030.795516659,345335.862335048,451824.521695392,613960.740787807,849897.933556647,1175323.81490742,1601201.11195559,2163310.06774985,2907682.5797153,3864985.43345646,5036165.15310414,6362166.58566524,7744890.19333194,9080430.2116653,10262692.4287409,11205586.7709168,11870635.1429146,12278083.3397194,12495327.6874754,12597605.5488378,12641059.6168861,12658504.7828686,12665492.1069031,12668412.1959877,12669725.199411,12670363.7399437,12670693.7223302,12670869.5828823,12670962.5488365,12671009.5559042,12671031.8154579,12671041.6167942,12671045.6769255,12671047.319468,12671047.9982795,12671048.2948615,12671048.433859,12671048.503065,12671048.5388154,12671048.5574413,12671048.5669361,12671048.5715566,12671048.5736757,12671048.5745914,12671048.5749714,12671048.5751285,12671048.5751959,12671048.5752265,12671048.5752413,12671048.5752487,12671048.5752525,12671048.5752544,12671048.5752554,12671048.5752558,12671048.575256,12671048.5752561,12671048.5752561,12671048.5752561,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562
2,California,98849.9218695488,106693.878590884,115598.426207897,125419.724354574,136411.422252518,147844.354369146,163300.874354158,184181.085572337,208420.101260832,237263.524458436,270022.80502035,305991.824716182,349010.683261439,405829.248361646,477753.55171202,562571.502820945,662512.278479062,776722.312098803,908538.268287438,1069760.01460568,1271781.49010132,1515067.66196812,1801739.56991884,2136901.44168771,2522428.62681991,2974537.04287778,3520852.80228096,4176341.97090891,4943510.63965541,5829482.16049328,6838707.13810838,7979487.24142372,9283750.88728357,10777659.0769643,12455152.2625248,14294867.5981663,16270921.9189379,18347481.8924618,20499276.4085619,22707909.9943083,24923937.1975616,27071995.0789763,29081850.0664631,30899331.0317554,32493838.6503493,33862560.1154163,35013568.8347972,35955306.5087166,36703994.6375701,37285843.3527845,37731437.2027191,38070920.5927992,38330357.0599199,38529151.5654535,38680937.0858848,38796126.8517678,38883164.5457103,38948812.5433059,38998404.6349578,39035988.7639459,39064436.4708339,39085805.6984233,39101720.1592295,39113512.470932,39122251.0199461,39128761.7406858,39133648.7580703,39137330.2635211,39140099.4535821,39142176.4784402,39143732.3902389,39144899.3091137,39145777.3267942,39146439.5076711,39146937.7608126,39147310.3680849,39147587.4465667,39147793.0573288,39147945.9795131,39148060.3312739,39148146.258679,39148210.8915649,39148259.4017106,39148295.7309816,39148322.9311412,39148343.3355736,39148358.683847,39148370.2365541,39148378.9057447,39148385.3790383,39148390.1958416,39148393.7795307,39148396.4540425,39148398.4587296,39148399.9652523,39148401.096767,39148401.9447635,39148402.5794059,39148403.0546518,39148403.4112837
3,Arizona,18307.8819701817,21824.7553452052,27389.7496317723,35962.1628915091,48477.8602263367,67155.9374470917,94060.3413820289,132563.781988204,187998.642796886,268524.674345226,383702.413481001,547098.959673761,777179.771393849,1094795.03321453,1522367.34140931,2073946.14290174,2747165.49614591,3511945.89590955,4305346.63942747,5046689.38414421,5668452.29501567,6143837.82631399,6485563.5815191,6725686.30459932,6895674.75839534,7018260.21576821,7107255.78916865,7170375.73459172,7212912.68815169,7239768.01821045,7255687.12389208,7264649.8746969,7269535.15116956,7272178.79335278,7273632.7283185,7274459.48983986,7274950.50271122,7275256.39970905,7275455.37771738,7275588.37149446,7275677.45912817,7275735.71239669,7275772.228879,7275794.02765631,7275806.47587677,7275813.36340174,7275817.12753572,7275819.20479041,7275820.38371298,7275821.07947523,7275821.50779169,7275821.78161196,7275821.96114266,7275822.07959679,7275822.15662264,7275822.20514766,7275822.23450106,7275822.25155362,7275822.2611507,7275822.26646418,7275822.26941468,7275822.27108855,7275822.2720708,7275822.2726694,7275822.27304681,7275822.27329046,7275822.27344911,7275822.27355157,7275822.27361621,7275822.27365568,7275822.27367893,7275822.27369221,7275822.27369967,7275822.27370384,7275822.27370621,7275822.27370759,7275822.27370843,7275822.27370895,7275822.27370928,7275822.27370949,7275822.27370963,7275822.27370972,7275822.27370977,7275822.2737098,7275822.27370982,7275822.27370983,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984,7275822.27370984
4,Massachusetts,96838.9266063087,102921.649024686,109966.142808252,118416.73599176,127852.212249265,139373.924055404,152053.97251255,165121.255417975,182353.873361651,203677.265913343,230084.93529851,261001.065944302,298124.447944982,346211.935320229,407183.21935188,478918.8922923,563459.005399692,663599.580447793,782909.251419237,922310.430498818,1082398.2818152,1268265.41882014,1486315.27529773,1736833.89497053,2018536.87842429,2330365.71660823,2673636.79012185,3045455.82117596,3435766.66353972,3833926.96732215,4232292.64654402,4621696.58699388,4991068.48981243,5330019.69583648,5633137.95203227,5898054.28011407,6122965.89157376,6307743.12782645,6455526.30221138,6571345.83544572,6660440.74304857,6727590.70430403,6777381.66569312,6814003.62718214,6840856.39864048,6860477.51421434,6874779.31917498,6885214.79765064,6892860.69652763,6898473.51863633,6902584.81274424,6905586.37434634,6907774.77155292,6909368.1931502,6910524.4826685,6911359.81374597,6911962.15806072,6912397.03299235,6912711.57145911,6912939.2927372,6913104.45178028,6913224.62034035,6913312.31084104,6913376.31968265,6913422.96004649,6913456.88666666,6913481.54020916,6913499.42551862,6913512.36788201,6913521.7155978,6913528.46836402,6913533.3538983,6913536.89356725,6913539.46131927,6913541.32747428,6913542.68648667,6913543.67706577,6913544.39850367,6913544.92312406,6913545.30414467,6913545.58056842,6913545.78081308,6913545.92567134,6913546.03042546,6913546.10624564,6913546.16119545,6913546.20106574,6913546.23002821,6913546.25109433,6913546.26642985,6913546.27759138,6913546.28570634,6913546.2915993,6913546.29587456,6913546.29897334,6913546.30121737,6913546.30284171,6913546.30401797,6913546.30487058,6913546.30548924
5,Wisconsin,15989.5676449571,17589.7899533067,19997.1251704669,23145.8513972984,27363.4138603449,32868.6784222125,40540.6619560132,50788.7636053802,64576.4593786273,83068.4073725662,107909.407572916,140807.210478472,184517.469565304,242450.65053101,319110.568844556,419673.333302862,550267.147210473,717259.675387874,927326.015998774,1186230.83039751,1497285.95693687,1858854.10161958,2263033.41275515,2694878.7118358,3134093.61222202,3558478.48850696,3948440.37252588,4290233.32411981,4577565.22813265,4810902.76639395,4995586.47387976,5139520.54339,5251240.10360337,5338497.41964555,5407567.30982729,5463073.90376258,5508179.15813622,5544938.19438552,5574717.77171232,5598541.42445115,5617301.19932378,5631838.45217119,5642947.21466157,5651346.82679378,5657659.85233378,5662402.54668391,5665985.84013051,5668723.19074512,5670844.00355256,5672509.61111547,5673830.03992638,5674879.88455635,5675711.73794655,5676365.6559359,5676874.57200259,5677266.67826466,5677566.17897711,5677793.49655653,5677965.48407483,5678095.71770478,5678194.83641613,5678270.92280984,5678329.92546674,5678376.0994168,5678412.43962365,5678441.07156418,5678463.56110322,5678481.12365623,5678494.74390701,5678505.23535673,5678513.26995266,5678519.39749994,5678524.06230725,5678527.61774447,5678530.33905139,5678532.43540739,5678534.06189812,5678535.33131716,5678536.32524447,5678537.10351348,5678537.71135467,5678538.18411844,5678538.55008186,5678538.8320692,5678539.04849317,5678539.21414183,5678539.34080926,5678539.43779431,5678539.51230743,5678539.56983077,5678539.61445639,5678539.64920461,5678539.6763074,5678539.69743846,5678539.71388073,5678539.72663749,5678539.73650284,5678539.74410794,5678539.74995467,5678539.75444149
6,Texas,62420.4009652817,73931.130784051,88457.8078454959,104419.270616185,121561.631189066,144186.589717383,174669.780978449,218388.668449191,275315.897589537,343545.433211073,424757.192070768,528455.57925089,672841.303511617,873722.997183057,1142880.55022809,1481592.6221864,1896883.19533024,2412278.88983418,3068696.43536049,3914681.43091775,4976171.89633835,6257779.5432773,7750698.49980509,9458462.49959752,11397054.6821921,13554605.5939365,15858263.3280021,18172573.1308435,20361248.3821948,22332727.3415319,24041526.4482404,25461010.8774281,26574841.1179967,27394531.5883588,27963511.7129702,28342577.2965785,28588311.7732284,28743941.0944315,28839892.5595732,28897467.8806432,28931442.5543315,28951482.6118563,28963479.0726665,28970812.1137265,28975376.3718843,28978243.5703704,28980044.5690893,28981169.9243504,28981868.7652307,28982300.4733748,28982565.2563071,28982725.8251266,28982821.8383054,28982878.6500181,28982912.2520033,28982932.3415839,28982944.5618653,28982952.1166338,28982956.8339169,28982959.7867198,28982961.6295949,28982962.7735997,28982963.4793938,28982963.9117102,28982964.1740684,28982964.3316348,28982964.4254963,28982964.4813245,28982964.5147675,28982964.5350668,28982964.5475604,28982964.5553253,28982964.5601696,28982964.5631878,28982964.56506,28982964.5662144,28982964.5669212,28982964.5673506,28982964.5676092,28982964.5677641,28982964.5678566,28982964.5679121,28982964.5679458,28982964.5679665,28982964.5679793,28982964.5679872,28982964.5679922,28982964.5679952,28982964.5679971,28982964.5679983,28982964.567999,28982964.5679994,28982964.5679997,28982964.5679998,28982964.5679999,28982964.568,28982964.568,28982964.568,28982964.568,28982964.5680001
7,Nebraska,13303.5107414753,14442.6444420821,16064.2801755551,18158.7051826496,19787.4132650434,22610.6889401214,25066.8288339096,27425.5558587693,31094.6569791021,34293.8561938559,38610.8861088074,44488.039124488,50056.7567057071,58671.4978476476,68843.8571158499,79634.4131223924,94497.5959351588,109481.403448029,127202.930840798,149447.202487261,171575.434571821,199638.898243664,231995.478078186,266622.526872744,311103.815045487,359149.998996177,413572.856865433,479154.597642172,546960.038843382,624636.716578804,709589.263242617,795551.365059045,891606.904660879,988268.145863114,1085433.19420652,1187244.47058561,1282760.83828623,1376529.67920938,1465756.22119663,1544238.7345202,1616666.64731561,1678484.54209658,1729861.43221423,1773534.51738716,1807696.79445234,1834958.11457049,1856510.01864709,1872627.54330018,1885166.53950911,1894607.73492651,1901595.9306031,1906945.69689279,1910882.79334746,1913815.54627285,1916032.08662671,1917653.69219967,1918870.6602354,1919778.41186532,1920443.09535597,1920942.5053717,1921310.69353185,1921581.59209584,1921784.33940494,1921932.91640291,1922043.04059113,1922125.08499489,1922185.28117187,1922230.17419101,1922263.46882411,1922287.99960398,1922306.31887781,1922319.83820681,1922329.83155239,1922337.27154116,1922342.74517721,1922346.80212988,1922349.81076958,1922352.02595259,1922353.67234529,1922354.89077272,1922355.79098857,1922356.46081519,1922356.95588636,1922357.3226697,1922357.59511163,1922357.79620047,1922357.94530026,1922358.05572698,1922358.13722839,1922358.19767735,1922358.24237474,1922358.27542746,1922358.29995616,1922358.31809465,1922358.33153745,1922358.34150959,1922358.34888481,1922358.35435415,1922358.35840459,1922358.36139952
8,Utah,9205.44675032673,10123.3376250535,11361.2625111086,13111.9682232724,15564.249634329,18630.928459189,22560.9015734236,28380.4924086641,35609.4063499839,45774.7312507192,59674.0921917362,78117.6756626089,102593.253727354,136181.384270203,180999.524078054,239238.36249568,316853.838281292,418508.297244455,548404.07196734,712498.255945878,916682.554551848,1160552.23674981,1441041.15390552,1749510.15165577,2066135.55331421,2366448.18033375,2627852.16587161,2833460.73372734,2978827.27193417,3072959.72848857,3129665.93833693,3162097.87107095,3180276.97871949,3190442.13937517,3196125.99255781,3199345.99716916,3201212.00775889,3202313.38598397,3202976.49043208,3203382.61550625,3203630.47362963,3203778.43792224,3203864.76986088,3203913.87350312,3203941.23527128,3203956.46648791,3203965.02234079,3203969.86538493,3203972.64990219,3203974.28222703,3203975.24929179,3203975.82704522,3203976.17464891,3203976.38238431,3203976.50432236,3203976.57479677,3203976.61484974,3203976.63731896,3203976.64996408,3203976.6571569,3203976.66128084,3203976.66367587,3203976.66508661,3203976.6659214,3203976.66641621,3203976.66671004,3203976.66688319,3203976.6669838,3203976.66704169,3203976.66707466,3203976.6670933,3203976.66710389,3203976.66710997,3203976.66711349,3203976.66711554,3203976.66711675,3203976.66711746,3203976.66711788,3203976.66711813,3203976.66711827,3203976.66711836,3203976.66711841,3203976.66711843,3203976.66711845,3203976.66711846,3203976.66711846,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847
9,Oregon,4167.32947260191,4419.0682487321,4638.60698589945,4882.88550684258,5234.15716980888,5603.34264580222,6184.65944710492,6773.02265180341,7381.25069700672,8305.51732558487,9479.86903255581,10713.687684241,12448.058312042,14548.6546775593,16877.5931808394,19943.1715197945,23705.6058223291,27941.8359966407,33505.8299733231,40337.0403625245,48124.6212251812,58056.9913332405,70374.9267803044,84670.9576110806,102590.621922059,124592.360530992,150299.010169816,182126.838789751,221082.36540551,266680.313296086,322272.165192554,389606.031356227,468156.032550466,562186.268930164,674070.906127807,802702.10112392,952616.889410659,1125767.29899398,1318915.45260329,1534638.61466726,1771952.38452079,2022969.37289542,2285248.71210353,2552641.98131071,2812865.60669931,3059844.00176683,3286516.61420215,3484025.03330566,3650802.32621137,3786934.59305288,3893014.65900082,3973733.39684941,4033936.62102528,4077599.07236912,4109053.20301428,4131671.57827118,4147760.45813277,4159242.53097161,4167481.72247467,4173356.1130326,4177548.44463412,4180547.53036582,4182674.4014377,4184177.73289131,4185241.47625824,4185989.47911664,4186514.97557286,4186886.02512103,4187147.75811417,4187332.65884807,4187464.02679138,4187557.27925263,4187623.39856008,4187670.37590025,4187703.64869816,4187727.13153627,4187743.71718024,4187755.41063463,4187763.64177498,4187769.45253286,4187773.55930986,4187776.46203391,4187778.51961916,4187779.97914609,4187781.01294458,4187781.745528,4187782.2641886,4187782.63047151,4187782.88909487,4187783.07168174,4187783.2004601,4187783.29139667,4187783.35570479,4187783.40118591,4187783.43338737,4187783.45620623,4187783.47236222,4187783.48379672,4187783.49188754,4187783.49760465
