id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,20017.0079531488,20753.9570293106,21447.9381495423,22198.3819897528,22908.262842457,23888.8297593972,24818.2170949969,26226.3369646836,27642.7911891992,29266.1317321365,31040.30333237,32694.6056786523,35337.7069856875,37874.1780164583,41581.154084618,45421.8205792353,49441.9792685108,54363.1185675409,59112.8668195656,65641.9047143944,72055.1040332164,80103.0744272436,88673.0326710394,97554.9204690321,108359.259686425,118581.891288555,131706.502134135,144431.964113507,158756.305758674,173783.084056704,188198.250152919,204627.841941782,219341.010568296,235890.250795014,250891.408379419,265731.324196837,280036.73300934,292298.593378048,304763.023116647,314774.088030959,324569.911700551,332593.058795075,339525.264223454,345597.602912553,350281.13631691,354595.768026846,357812.170548547,360683.621528604,362923.185124822,364735.45296691,366271.218349165,367413.694510291,368432.46705918,369182.128584412,369828.694539753,370332.261918574,370729.531145627,371064.461371613,371311.498659007,371528.174192035,371688.232291827,371823.561028015,371929.826507773,372012.742349851,372082.878378462,372134.701439307,372179.800214979,372213.473545552,372241.553889907,372263.836809115,372281.080980013,372295.680743295,372306.497631824,372315.817566225,372322.844234018,372328.633282694,372333.270511253,372336.842185649,372339.871195063,372342.127107346,372344.055255335,372345.524494031,372346.72208157,372347.68888834,372348.430434314,372349.058462588,372349.528472158,372349.926520322,372350.232674136,372350.479967591,372350.680972285,372350.834853269,372350.965028604,372351.063049611,372351.145379118,372351.209277258,372351.260470154,372351.302285,372351.334251913,372351.361210969
1,Illinois,120916.713449116,143067.745665226,167838.93079251,191959.745948428,214555.478741283,244586.748033296,288385.052350063,342050.229902099,400186.958262459,455298.031622592,500879.726554995,541100.616138099,575370.936957776,599910.253709113,615267.574298939,623733.552223967,628253.993308037,630719.421311741,632000.902520584,632649.586076978,632985.76735196,633159.248669995,633253.086133107,633308.951132811,633342.426323613,633361.508515203,633371.821910167,633377.145495106,633379.922285316,633381.389280022,633382.144896811,633382.535223066,633382.741210257,633382.851041331,633382.912320738,633382.948075963,633382.968661163,633382.98005259,633382.986098055,633382.9892312,633382.99087412,633382.991738242,633382.992188226,633382.992425636,633382.992553069,633382.9926225,633382.992661522,633382.992683789,633382.992696252,633382.992703009,633382.992706566,633382.992708421,633382.992709398,633382.992709913,633382.992710185,633382.992710331,633382.99271041,633382.992710453,633382.992710478,633382.992710491,633382.992710499,633382.992710503,633382.992710505,633382.992710506,633382.992710506,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507,633382.992710507
2,California,100135.415441742,107537.365493164,115071.778948183,124850.64058696,134347.841455043,142432.08285396,158718.470863017,180871.934330845,200590.921326868,225256.511209432,253011.093135259,278761.824912689,311453.899108974,360483.63967383,416766.807656695,473871.03236559,540381.004322957,608474.042725159,678556.167755208,765102.477368125,867922.971709253,970820.02772484,1073539.44183118,1176918.84997514,1272155.96186465,1365155.84229298,1461741.74460487,1552451.70556141,1629569.60056548,1694557.65490894,1747716.6911105,1789929.36187133,1825536.11930592,1855761.38128483,1879467.93494031,1897149.09111905,1910454.48623393,1920444.23883357,1928050.75740455,1934199.97221441,1939171.94042193,1942959.32623943,1945759.0710244,1947843.68665428,1949396.16537194,1950578.14022864,1951516.32191477,1952249.68147019,1952795.81200026,1953195.32721003,1953490.57198927,1953711.17809849,1953881.01284795,1954015.82235475,1954120.86005488,1954199.53169905,1954257.67201009,1954300.91756794,1954333.43855719,1954358.52655139,1954378.19000838,1954393.24133354,1954404.40582006,1954412.63180662,1954418.7554318,1954423.39287198,1954426.99309241,1954429.81149093,1954431.96770816,1954433.57588878,1954434.76939715,1954435.66291173,1954436.34231506,1954436.86831148,1954437.27544861,1954437.58345656,1954437.81205671,1954437.9817006,1954438.10913107,1954438.20655566,1954438.28214821,1954438.34055974,1954438.38477075,1954438.41773046,1954438.44232172,1954438.46087166,1954438.47507014,1954438.48603352,1954438.49443024,1954438.50074325,1954438.50544127,1954438.50895264,1954438.51161118,1954438.51365254,1954438.51522873,1954438.51643421,1954438.5173415,1954438.5180192,1954438.51852781,1954438.51891388
3,Arizona,18169.2055285854,21328.8611435879,26399.945078098,33962.4067138942,44111.1219281399,58741.8620079462,77689.6460062734,101579.801598306,130490.632180448,164234.418998781,199969.774225824,234664.457493032,266145.606828521,292080.450778258,312525.989141129,327557.676851563,338426.799371504,346365.765068392,352136.270157618,356258.518333376,359070.326865469,360927.334277509,362087.383437535,362780.217032415,363178.406124339,363404.797189365,363535.687543341,363612.41993979,363658.804768089,363687.569406477,363706.101615816,363718.383293214,363726.559297741,363731.942879195,363735.392892495,363737.542008611,363738.830577451,363739.581116138,363740.011595609,363740.259798666,363740.405854074,363740.493675487,363740.548034979,363740.582604219,363740.605141295,363740.619981474,363740.629681154,363740.635906402,363740.639795574,363740.64215747,363740.643551843,363740.644361548,363740.644831135,363740.645107232,363740.645273221,363740.645375393,363740.645439881,363740.645481407,363740.645508448,363740.645526016,363740.645537269,363740.645544328,363740.645548646,363740.645551226,363740.645552741,363740.645553626,363740.645554147,363740.64555446,363740.645554652,363740.645554772,363740.645554849,363740.645554898,363740.64555493,363740.645554951,363740.645554964,363740.645554971,363740.645554976,363740.645554979,363740.645554981,363740.645554982,363740.645554982,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983,363740.645554983
4,Massachusetts,95621.5754982549,100287.998685512,104891.9357715,110092.809601979,115353.021338974,121680.584557306,127789.179612985,133417.690037727,140854.346871106,149104.76811487,158206.258385073,167229.118878876,177024.318607917,189074.896294071,202654.579848962,215631.411383571,228157.463156038,240480.453311265,252538.914354221,263686.398659162,273713.292893325,283116.642353462,292167.289946204,300257.312070288,307226.321511203,313208.616427636,318511.787248011,323117.599613576,326888.254832526,329883.023703868,332311.154734254,334284.333034249,335863.711649228,337110.074509119,338113.091519786,338936.699099823,339607.643033139,340138.925214871,340559.567432079,340897.517605889,341171.0179953,341388.080184152,341557.138610464,341689.152324359,341793.629666255,341876.174606108,341941.072390724,341992.316973457,342033.383580998,342066.398891672,342092.670809751,342113.383939444,342129.806467765,342142.907421566,342153.318732551,342161.498406124,342167.902560224,342172.945478352,342176.935227847,342180.085459646,342182.574463955,342184.552830552,342186.133907529,342187.393557533,342188.390827563,342189.179087285,342189.804387969,342190.300531552,342190.692380666,342191.000567435,342191.24331587,342191.435206513,342191.587072605,342191.707216839,342191.802480346,342191.878264369,342191.93857336,342191.98640316,342192.02423584,342192.054172868,342192.077888624,342192.096648936,342192.111453051,342192.123130181,342192.132358992,342192.139664592,342192.14544976,342192.150033474,342192.153671272,342192.156560806,342192.15885315,342192.160667873,342192.16210338,342192.163239382,342192.164138306,342192.164848849,342192.165410139,342192.165853848,342192.166205055,342192.166483221
5,Wisconsin,15908.363094684,17820.495627716,20089.6244594726,22843.4494217437,26387.0198572817,30797.2650552147,37135.6094334114,45284.2105334351,55222.958816762,66974.4920181905,80890.8282012541,96741.546665138,114567.884555281,134045.040503891,154341.326281756,174063.698630913,192390.011757084,208724.809730973,222839.851165449,234742.454745971,244546.155237434,252340.337795701,258453.8433243,263267.61028891,267105.777383752,270209.084778956,272760.088200019,274862.312199459,276576.121168597,277952.193676598,279046.12165063,279907.872766945,280583.120816584,281108.930086298,281513.133405125,281820.053907405,282053.590431314,282233.261082756,282373.478091868,282484.538376008,282573.411763524,282644.512689212,282701.033651167,282745.679139132,282780.795467187,282808.328458961,282829.854725454,282846.568786747,282859.411344707,282869.225803939,282876.758036464,282882.593039211,282887.162877675,282890.77546505,282893.642098587,282895.912008121,282897.702601632,282899.111238035,282900.217681364,282901.085545347,282901.763959604,282902.290506313,282902.696252484,282903.0084413,282903.249776983,282903.437742261,282903.585234999,282903.70150925,282903.793214334,282903.865401244,282903.922128894,282903.966679409,282904.001657742,282904.029083708,282904.050500742,282904.06712463,282904.079975401,282904.089916378,282904.097640738,282904.103676077,282904.108412192,282904.112134753,282904.115058668,282904.117352856,282904.119152567,282904.120564932,282904.121673248,282904.122541346,282904.123218538,282904.123744527,282904.124152369,282904.124469157,282904.12471614,282904.124909395,282904.125060909,282904.125179706,282904.125272789,282904.125345712,282904.125402877,282904.125447718
6,Texas,61880.7609613418,73303.991569479,86704.6634164527,100431.457597716,114195.588245351,134099.12673207,159686.214078616,196002.958622588,239733.896320599,286650.884167114,337936.843789037,398699.012323549,479805.309010534,579874.636667245,692455.553917328,803357.080612502,907013.59742696,1006298.01341138,1102259.6437738,1192057.24457753,1265895.02879158,1321338.90175434,1360756.17904715,1389156.36484413,1410014.318421,1424730.93667906,1434384.06882834,1440187.91104214,1443591.06648642,1445610.71654384,1446860.07343611,1447649.55378863,1448146.58099644,1448455.4851522,1448644.8505511,1448762.86321637,1448838.44875685,1448888.15887488,1448920.74973108,1448941.39986071,1448953.93772362,1448961.32491896,1448965.70948244,1448968.37553015,1448970.03660596,1448971.07720674,1448971.72543091,1448972.12766957,1448972.37879349,1448972.53866794,1448972.64198656,1448972.70876116,1448972.75105062,1448972.77704332,1448972.7926513,1448972.80197664,1448972.80763234,1448972.81112443,1448972.81330352,1448972.81466377,1448972.81551206,1448972.81604356,1448972.81638016,1448972.81659557,1448972.81673342,1448972.81682052,1448972.81687442,1448972.81690716,1448972.8169269,1448972.81693887,1448972.81694624,1448972.81695081,1448972.81695367,1448972.81695545,1448972.81695657,1448972.81695728,1448972.81695773,1448972.81695801,1448972.81695819,1448972.81695831,1448972.81695838,1448972.81695842,1448972.81695844,1448972.81695846,1448972.81695847,1448972.81695847,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848,1448972.81695848
7,Nebraska,13070.0188232797,14262.2139225799,15448.4280128278,17017.5568549258,18547.4465859901,20372.3552482409,22212.4696340063,23988.5396754307,26175.343268002,28177.4357416598,30571.2636272199,33813.7109105226,36663.6146879967,40492.661132969,45094.5972127915,49279.8459915592,53865.3471101448,58212.2526851768,62404.5656257338,66671.2933498812,70281.2048865722,73875.5752468262,77263.3468888409,80096.6130581166,82978.8368466909,85451.8314008625,87479.6389223733,89331.9071375732,90766.55858017,91900.8643929453,92800.7041472266,93465.5503746556,94004.6330776262,94413.3858216705,94721.7120625474,94976.7205113056,95168.671152076,95319.3157605652,95442.3853777458,95533.8816002427,95605.1017028008,95660.2607780517,95700.8363611574,95731.842350363,95754.8564468696,95772.1722195597,95785.6541220223,95795.7106929214,95803.5331621537,95809.6828602885,95814.3334339525,95817.9969524905,95820.8334184746,95822.9670141967,95824.6117778636,95825.8503219032,95826.7801469318,95827.4859130078,95828.0139637915,95828.4193879793,95828.7305634902,95828.967016405,95829.1516993548,95829.294033452,95829.4030188983,95829.4877029201,95829.5521602047,95829.6010814132,95829.6383548057,95829.666414025,95829.687700276,95829.7038299442,95829.7160706621,95829.7255003364,95829.7327153664,95829.7382583826,95829.7425531501,95829.7458425302,95829.748367254,95829.7503041734,95829.7517741598,95829.7528919506,95829.7537397386,95829.7543818901,95829.7548708842,95829.7552426942,95829.7555272338,95829.7557460214,95829.7559136116,95829.7560425955,95829.7561417751,95829.7562176003,95829.7562756409,95829.7563198862,95829.7563534987,95829.7563790596,95829.7563984672,95829.756413242,95829.756424515,95829.7564331224
8,Utah,9149.94596224602,9996.20757002849,11002.9811052726,12571.4682745062,14869.2274969229,17376.7137513662,20417.9546855538,25173.4891511992,30432.1675134929,37414.0834089295,46456.4364817462,57003.4194557149,68914.2299351483,83054.8671764816,97990.812448768,111950.261016388,125185.49801844,136493.957807251,144831.894614826,150642.85630559,154540.075248586,156847.462014034,158205.260768394,159021.24616918,159483.511789149,159747.214641338,159909.133020783,160006.222518955,160063.202977264,160099.545855852,160122.61137262,160136.447509054,160144.869302103,160150.031785512,160152.960085053,160154.648496193,160155.656207206,160156.232269379,160156.565068119,160156.7705421,160156.894752012,160156.968015914,160157.013972689,160157.042588966,160157.059520488,160157.069708198,160157.075893601,160157.079421735,160157.081471169,160157.082703742,160157.083418746,160157.083836743,160157.084095218,160157.084251852,160157.084344355,160157.084401632,160157.084436823,160157.084457489,160157.084469849,160157.084477317,160157.084481609,160157.08448412,160157.084485639,160157.084486529,160157.084487053,160157.084487377,160157.084487573,160157.084487688,160157.084487759,160157.084487802,160157.084487827,160157.084487843,160157.084487852,160157.084487857,160157.08448786,160157.084487862,160157.084487863,160157.084487864,160157.084487864,160157.084487864,160157.084487864,160157.084487864,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865,160157.084487865
9,Oregon,4136.19226145826,4363.30652811086,4583.45270494876,4829.08655924419,5126.23757741494,5467.30027230866,6048.48018865817,6566.9513572261,7096.89694362837,7972.67778515425,8997.66810993677,10090.8615940149,11687.1721563802,13476.2054003592,15449.1679566556,18132.8714042025,21206.4321417333,24579.749754441,29066.2156859854,34212.5520756544,39817.6547913231,46854.9444776328,54882.9698026685,63524.3353698816,73777.4726471126,84955.9888735786,96464.8920412413,109190.146727128,122245.513727126,134749.334263909,147277.42611162,158969.922729944,169113.097955433,178153.966220399,185701.223857406,191577.400673667,196270.765661111,199841.190023916,202414.080265982,204334.635307585,205735.373378838,206719.955964694,207439.254135937,207961.39000719,208329.526642987,208597.167973479,208791.397746107,208928.211981164,209026.519262849,209097.236532361,209146.73338437,209181.921499825,209207.140787298,209224.854936903,209237.464475456,209246.543710815,209252.975547476,209257.567347612,209260.876816491,209263.224407931,209264.892777427,209266.088289195,209266.933907174,209267.532283213,209267.959974369,209268.263285648,209268.478486584,209268.632699946,209268.742588497,209268.820756746,209268.876764938,209268.916675316,209268.945002201,209268.96521803,209268.979592462,209268.989777713,209268.997036218,209269.002204331,209269.005874994,209269.008495423,209269.010365704,209269.011696421,209269.012646168,209269.013323612,209269.01380503,209269.014147802,209269.014391899,209269.014565247,209269.014688609,209269.014776517,209269.01483905,209269.014883608,209269.014915399,209269.014938036,209269.014954164,209269.014965663,209269.014973844,209269.014979665,209269.014983811,209269.014986759
