id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19989.7740992044,20790.2238135668,21529.9969547915,22267.3201629218,23154.1505754518,24130.5429593174,25200.7577539633,26692.7629639445,28192.5183901306,30094.2679055124,32100.2301707303,34109.2666131631,37077.480252071,40132.146199056,44450.4358513294,49091.6316878057,54348.5280965075,60435.7343442555,67035.4109309402,75636.5782889171,84692.9767393693,96381.8691251328,109176.257665322,123786.927355363,141493.629041775,160343.832435616,184732.177685783,211022.631535096,243100.704567448,279479.185151226,320228.780439179,369680.111482976,422956.197455615,489007.926726679,561059.900964368,645811.7360764,742904.073366949,849586.832158431,977287.663683849,1113941.86466734,1276136.24948239,1452518.26857067,1650335.4379822,1872682.49732122,2108284.07119405,2377056.51825739,2654776.12048541,2962038.21330037,3280951.60577948,3611770.32179814,3958790.28039461,4297420.03939752,4647847.25370593,4978209.90974061,5302729.39688641,5605296.26326648,5881440.27029128,6137168.56424281,6356415.65695973,6554535.78894367,6719236.76892829,6860895.92011112,6978544.58134709,7074189.07535388,7154332.1596716,7217193.93224604,7269598.08271465,7310609.39553268,7343883.18265634,7370486.51330337,7391346.28919865,7408382.20948971,7421493.04280936,7432200.09709589,7440496.89703916,7447114.98637997,7452366.10336249,7456436.30386737,7459731.76622272,7462256.17646418,7464299.52823363,7465884.30547348,7467140.97586088,7468140.45562114,7468914.49509613,7469541.08368143,7470022.47225541,7470410.69644596,7470712.78490909,7470951.22179128,7471140.98978891,7471287.62507989,7471406.01396236,7471497.10970534,7471570.278786,7471627.42935142,7471672.43146313,7471708.34610537,7471736.12395866,7471758.53773112
1,Illinois,124694.882006806,151751.688046611,187871.377221201,230328.921442662,278030.795516659,345335.862335047,451824.521695392,613960.740787807,849897.933556647,1175323.81490742,1601201.11195559,2163310.06774985,2907682.5797153,3864985.43345646,5036165.15310414,6362166.58566524,7744890.19333195,9080430.21166531,10262692.4287409,11205586.7709168,11870635.1429146,12278083.3397194,12495327.6874754,12597605.5488378,12641059.6168861,12658504.7828686,12665492.1069031,12668412.1959877,12669725.1994111,12670363.7399437,12670693.7223302,12670869.5828823,12670962.5488365,12671009.5559042,12671031.8154579,12671041.6167942,12671045.6769255,12671047.319468,12671047.9982795,12671048.2948615,12671048.433859,12671048.503065,12671048.5388154,12671048.5574413,12671048.5669361,12671048.5715566,12671048.5736757,12671048.5745914,12671048.5749714,12671048.5751285,12671048.5751959,12671048.5752265,12671048.5752413,12671048.5752487,12671048.5752525,12671048.5752544,12671048.5752554,12671048.5752558,12671048.575256,12671048.5752561,12671048.5752561,12671048.5752561,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562
2,California,98849.9218695488,106693.878590884,115598.426207897,125419.724354574,136411.422252518,147844.354369146,163300.874354158,184181.085572337,208420.101260832,237263.524458436,270022.80502035,305991.824716182,349010.683261439,405829.248361646,477753.55171202,562571.502820945,662512.278479062,776722.312098803,908538.268287438,1069760.01460568,1271781.49010132,1515067.66196812,1801739.56991884,2136901.44168771,2522428.62681991,2974537.04287778,3520852.80228096,4176341.97090891,4943510.63965541,5829482.16049328,6838707.13810838,7979487.24142372,9283750.88728357,10777659.0769643,12455152.2625248,14294867.5981663,16270921.9189379,18347481.8924618,20499276.4085619,22707909.9943083,24923937.1975616,27071995.0789763,29081850.0664631,30899331.0317554,32493838.6503493,33862560.1154163,35013568.8347972,35955306.5087166,36703994.6375701,37285843.3527845,37731437.2027191,38070920.5927992,38330357.0599199,38529151.5654535,38680937.0858848,38796126.8517678,38883164.5457103,38948812.5433059,38998404.6349578,39035988.7639459,39064436.4708339,39085805.6984233,39101720.1592295,39113512.470932,39122251.0199461,39128761.7406858,39133648.7580703,39137330.2635211,39140099.4535821,39142176.4784402,39143732.3902389,39144899.3091137,39145777.3267942,39146439.5076711,39146937.7608126,39147310.3680849,39147587.4465667,39147793.0573288,39147945.9795131,39148060.3312739,39148146.258679,39148210.8915649,39148259.4017106,39148295.7309816,39148322.9311412,39148343.3355736,39148358.683847,39148370.2365541,39148378.9057447,39148385.3790383,39148390.1958416,39148393.7795307,39148396.4540425,39148398.4587296,39148399.9652523,39148401.096767,39148401.9447635,39148402.5794059,39148403.0546518,39148403.4112837
3,Arizona,16481.0538528974,16908.138471986,17334.2309923463,17759.308775333,18183.3494129544,18606.3307321439,19028.2307989206,19449.0279224388,19868.700658925,20287.2278154998,20704.5884538857,21120.7618939983,21535.7277174202,21949.4657707578,22361.9561688781,22773.1792980274,23183.1158188292,23591.7466691618,23999.0530669155,24405.0165126277,24809.6187919975,25212.8419782781,25614.6684345473,26015.0808158573,26414.0620712614,26811.595445721,27207.6644818896,27602.2530217773,27995.3452082943,28386.9254866742,28776.978605778,29165.4896192795,29552.443886732,29937.8270745182,30321.625156683,30703.8244156508,31084.4114428285,31463.3731390938,31840.6967151718,32216.3696918998,32590.3799003815,32962.7154820325,33333.364888518,33702.3168815841,34069.5605327839,34435.0852231001,34798.8806424663,35160.9367891864,35521.2439692563,35879.7927955878,36236.5741871372,36591.579367939,36944.7998660489,37296.227512395,37645.8544395413,37993.6730803636,38339.6761666409,38683.8567275637,39026.2080881609,39366.7238676469,39705.3979776927,40042.2246206197,40377.1982875216,40710.313756314,41041.5660897142,41370.9506331546,41698.463012629,42024.0991324766,42347.855173104,42669.7275886474,42989.713104578,43307.8087152509,43624.0116814014,43938.3195275893,44250.7300395937,44561.2412617606,44869.8514943045,45176.5592905669,45481.3634542327,45784.2630365072,46085.2573332557,46384.3458821064,46681.5284595202,46976.8050778281,47270.1759822385,47561.6416478164,47851.2027764356,48138.8602937065,48424.6153458814,48708.469296738,48990.4237244436,49270.4804184025,49548.6413760859,49824.9087998488,50099.2850937336,50371.7728602624,50642.3748972207,50911.0941944319,51177.9339305265,51442.8974697056
4,Massachusetts,96838.9266063087,102921.649024686,109966.142808252,118416.73599176,127852.212249265,139373.924055404,152053.97251255,165121.255417975,182353.873361651,203677.265913343,230084.93529851,261001.065944302,298124.447944982,346211.935320229,407183.21935188,478918.8922923,563459.005399692,663599.580447793,782909.251419237,922310.430498818,1082398.2818152,1268265.41882014,1486315.27529773,1736833.89497053,2018536.87842429,2330365.71660823,2673636.79012185,3045455.82117596,3435766.66353972,3833926.96732215,4232292.64654402,4621696.58699388,4991068.48981243,5330019.69583648,5633137.95203227,5898054.28011407,6122965.89157376,6307743.12782645,6455526.30221138,6571345.83544572,6660440.74304857,6727590.70430403,6777381.66569312,6814003.62718214,6840856.39864048,6860477.51421434,6874779.31917498,6885214.79765064,6892860.69652763,6898473.51863633,6902584.81274424,6905586.37434634,6907774.77155292,6909368.1931502,6910524.4826685,6911359.81374597,6911962.15806072,6912397.03299235,6912711.57145911,6912939.2927372,6913104.45178028,6913224.62034035,6913312.31084104,6913376.31968265,6913422.96004649,6913456.88666666,6913481.54020916,6913499.42551862,6913512.36788201,6913521.7155978,6913528.46836402,6913533.3538983,6913536.89356725,6913539.46131927,6913541.32747428,6913542.68648667,6913543.67706577,6913544.39850367,6913544.92312406,6913545.30414467,6913545.58056842,6913545.78081308,6913545.92567134,6913546.03042546,6913546.10624564,6913546.16119545,6913546.20106574,6913546.23002821,6913546.25109433,6913546.26642985,6913546.27759138,6913546.28570634,6913546.2915993,6913546.29587456,6913546.29897334,6913546.30121737,6913546.30284171,6913546.30401797,6913546.30487058,6913546.30548924
5,Wisconsin,15849.9253613349,17249.0378555097,19398.2021307946,22175.2030310887,25820.4800504726,30525.4815823609,36979.7281050263,45614.9087310588,57381.7265960973,73212.1342023764,94286.3590303757,122127.796752076,159094.493809284,208205.490971782,273243.010623219,358762.380144579,469973.475713261,612816.931842827,793815.100133661,1019376.00349082,1294174.29233921,1619562.11710035,1991544.69394422,2399694.08897149,2827448.23706699,3254398.20600285,3659682.96459713,4026019.92135966,4342443.94232891,4605084.65173493,4816074.13474559,4981514.987813,5109280.70455456,5207353.82327269,5282824.76301546,5341427.9950396,5387481.1224228,5424060.90415439,5453289.45154417,5476631.53106425,5495158.95864822,5509724.80051132,5521055.68526298,5529785.15212218,5536461.00807408,5541543.62992994,5545409.10845545,5548356.30599132,5550615.96218502,5552361.23357317,5553718.93714618,5554780.53187364,5555612.02677277,5556262.34135274,5556769.09196355,5557162.16335952,5557465.6826595,5557699.18083638,5557878.3351149,5558015.62917566,5558120.90760204,5558201.82957519,5558264.25575811,5558312.60112618,5558350.15453944,5558379.36368016,5558402.07525706,5558419.70852396,5558433.37156933,5558443.93619504,5558452.08957145,5558458.37181111,5558463.20722534,5558466.92853732,5558469.79513862,5558472.00725098,5558473.71784099,5558475.04282775,5558476.06996138,5558476.86618094,5558477.48305175,5558477.96059131,5558478.32994501,5558478.6153616,5558478.83570273,5558479.00567058,5558479.13673994,5558479.23784744,5558479.31591091,5558479.37624917,5558479.42292866,5558479.45905662,5558479.4870187,5558479.50865649,5558479.52539608,5558479.53834236,5558479.54835081,5558479.55608369,5558479.56205506,5558479.5666648
6,Texas,55899.2018600298,56919.0348887012,57844.9795404282,58685.6525143683,59448.884438324,60141.7907449249,60770.8363047557,61341.8943400628,61860.300103523,62330.8997694254,62758.0949496058,63145.8832135964,63497.8949617115,63817.4269711391,64107.4729084854,64370.7510775374,64609.7296481935,64826.6495914426,65023.5455258693,65202.264663307,65364.4840248607,65511.7260834711,65645.3729753992,65766.6794103779,65876.7843986267,65976.7219023552,66067.430509739,66149.7622205363,66224.490424477,66292.3171462267,66353.8796240429,66409.756283154,66460.4721593456,66506.5038231866,66548.2838507349,66586.2048823751,66620.6233076391,66651.8626103956,66680.2164056495,66705.9511963271,66729.3088758242,66750.5089997273,66769.750847968,66787.2152967206,66803.0665175743,66817.4535199034,66830.5115508898,66842.3633663253,66853.1203841113,66862.8837312754,66871.7451943288,66879.788081883,66887.0880076216,66893.7136009775,66899.7271521883,66905.1851977859,66910.1390520195,66914.6352892031,66918.7161815176,66922.4200963809,66925.7818571187,66928.8330703247,66931.6024229863,66934.1159521669,66936.3972897809,66938.4678847589,66940.3472046938,66942.0529188607,66943.6010643329,66945.0061967526,66946.2815271762,66947.4390462791,66948.4896370868,66949.443177294,66950.3086321314,66951.0941386551,66951.8070822486,66952.45416606,66953.0414740227,66953.5745280569,66954.0583399855,66954.4974586552,66954.8960127042,66955.2577493799,66955.5860697702,66955.8840607804,66956.1545241568,66956.4000028281,66956.6228048148,66956.8250249287,66957.0085644688,66957.1751490975,66957.3263450651,66957.4635739358,66957.5881259539,66957.7011721741,66957.8037754722,66957.8969005386,66957.9814229478,66958.0581373913
7,Nebraska,12687.8212416567,13533.4681728357,14492.8318852888,15607.7807169663,16859.4713588604,18279.1687028292,19897.5027966009,21702.5438380307,23850.253382777,26311.9254276532,29185.4669000724,32538.3069878442,36449.9742239575,41033.4365183098,46395.7736531824,52595.9379515469,59757.404541801,68024.3444776871,77555.2791522674,88535.275045713,101169.594488941,115684.907577042,132337.389403172,151383.928468523,173110.106555948,197806.525852846,225767.708443586,257282.030212707,292615.395175147,331998.230371666,375616.614491132,423584.167630409,475919.204206382,532523.465040386,593162.137722313,657450.585392696,724849.658755225,794671.322335542,866100.489897247,938226.102176605,1010085.33262623,1080714.09579119,1149199.17760663,1214726.29175956,1276618.13557429,1334358.39423519,1387601.56496376,1436168.77909439,1480032.14313025,1519291.32434363,1554146.17470249,1584868.81901513,1611777.81769375,1635215.89356245,1655532.09789252,1673068.37664604,1688150.16409169,1701080.36739333,1712136.02952158,1721567.00740858,1729596.09708339,1736420.11846156,1742211.5987918,1747120.78982659,1751277.82821706,1754794.90857436,1757768.38209009,1760280.72506779,1762402.34716149,1764193.22336527,1765704.34733183,1766979.01138304,1768053.92398754,1768960.1787046,1769724.08984999,1770367.91009668,1770910.44483367,1771367.57693598,1771752.71417833,1772077.17009353,1772350.48769773,1772580.71426104,1772774.63421678,1772937.96632493,1773075.53039221,1773191.38811878,1773288.96200397,1773371.13568151,1773440.33855866,1773498.61720148,1773547.69553769,1773589.02562539,1773623.8304619,1773653.1400752,1773677.82194608,1773698.60664556,1773716.10943559,1773730.84846472,1773743.26009364,1773753.71180226
8,Utah,9205.44675032673,10123.3376250535,11361.2625111086,13111.9682232724,15564.249634329,18630.928459189,22560.9015734236,28380.4924086641,35609.4063499839,45774.7312507192,59674.0921917362,78117.6756626089,102593.253727354,136181.384270203,180999.524078054,239238.36249568,316853.838281292,418508.297244455,548404.07196734,712498.255945878,916682.554551848,1160552.23674981,1441041.15390552,1749510.15165577,2066135.55331421,2366448.18033375,2627852.16587161,2833460.73372734,2978827.27193417,3072959.72848857,3129665.93833693,3162097.87107095,3180276.97871949,3190442.13937517,3196125.99255781,3199345.99716916,3201212.00775889,3202313.38598397,3202976.49043208,3203382.61550625,3203630.47362963,3203778.43792224,3203864.76986088,3203913.87350312,3203941.23527128,3203956.46648791,3203965.02234079,3203969.86538493,3203972.64990219,3203974.28222703,3203975.24929179,3203975.82704522,3203976.17464891,3203976.38238431,3203976.50432236,3203976.57479677,3203976.61484974,3203976.63731896,3203976.64996408,3203976.6571569,3203976.66128084,3203976.66367587,3203976.66508661,3203976.6659214,3203976.66641621,3203976.66671004,3203976.66688319,3203976.6669838,3203976.66704169,3203976.66707466,3203976.6670933,3203976.66710389,3203976.66710997,3203976.66711349,3203976.66711554,3203976.66711675,3203976.66711746,3203976.66711788,3203976.66711813,3203976.66711827,3203976.66711836,3203976.66711841,3203976.66711843,3203976.66711845,3203976.66711846,3203976.66711846,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847
9,Oregon,3908.48131594433,3925.95974360757,3940.87549253957,3953.60425641763,3964.46666374148,3973.73634537251,3981.64682101132,3988.39737727095,3994.15808483024,3999.07408062944,4003.26922267657,4006.84920931466,4009.90424137225,4012.51129414918,4014.73605639336,4016.63458505902,4018.25471749328,4019.6372765996,4020.81709931958,4021.82391432985,4022.68309105659,4023.41627887137,4024.04195256745,4024.57587785636,4025.03150861056,4025.42032585901,4025.75212707602,4026.03527305109,4026.27689855968,4026.48309214248,4026.65904952279,4026.80920452748,4026.93734081019,4027.04668719184,4027.1399990206,4027.21962760145,4027.28757944478,4027.34556682681,4027.3950509359,4027.43727869197,4027.47331416674,4027.50406539654,4027.53030726331,4027.55270102028,4027.57181095453,4027.58811860609,4027.60203490191,4027.6139105106,4027.62404467873,4027.63269277131,4027.64007270661,4027.64637044734,4027.65174468663,4027.65633084684,4027.66024449197,4027.66358423972,4027.66643424645,4027.66886632785,4027.67094176853,4027.67271286635,4027.67422425016,4027.67551400447,4027.67661462904,4027.67755385789,4027.67835535811,4027.67903932624,4027.6796229972,4027.68012107857,4027.68054612123,4027.68090883559,4027.68121836146,4027.68148249842,4027.68170790231,4027.68190025294,4027.68206439725,4027.68220447142,4027.68232400509,4027.68242601034,4027.68251305752,4027.68258734009,4027.68265072986,4027.68270482414,4027.68275098603,4027.68279037873,4027.68282399489,4027.68285268156,4027.68287716162,4027.68289805192,4027.68291587887,4027.68293109167,4027.68294407366,4027.68295515197,4027.68296460575,4027.68297267324,4027.6829795577,4027.68298543263,4027.68299044605,4027.68299472431,4027.6829983752,4027.68300149073
