id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19976.9298098358,20673.1488650493,21327.4325821348,22028.1773218144,22689.3114006753,23585.3086106819,24429.5723018999,25689.6509900225,26943.2863239983,28368.3698142954,29896.1815011497,31306.6911063446,33527.4616957952,35625.8057601518,38666.5612202373,41744.4758798416,44910.9806070505,48681.4334907808,52240.7684057712,57015.5972920071,61555.490414436,67128.4126586561,72814.1389244867,78525.1103202083,85179.9192674656,91190.3451394025,98648.9435513515,105459.736279598,112829.361125723,120060.356902041,126622.793497962,133673.882454771,139565.785882956,145895.553798982,151208.176236505,156238.570333883,160765.73473129,164452.626758592,168045.746294844,170780.724322493,173412.033359601,175472.228506977,177236.051120883,178742.337850024,179891.911313876,180951.637225306,181732.245042707,182441.654673311,182989.345568062,183440.309448992,183822.391243814,184108.49818072,184367.764792133,184558.193830624,184726.587022244,184857.47469887,184962.894657152,185052.435423605,185119.209984769,185179.019782698,185223.359782727,185261.869798635,185292.191112637,185316.348584429,185336.996261843,185352.403150577,185366.097536326,185376.351934117,185385.117702511,185392.10130321,185397.61034844,185402.33311871,185405.868744042,185408.98264439,185411.341722376,185413.332600732,185414.937000132,185416.194736634,185417.275914694,185418.088394462,185418.797719626,185419.340770561,185419.79338326,185420.161457545,185420.448497406,185420.695237794,185420.881651556,185421.042924458,185421.167723603,185421.270690225,185421.355114745,185421.420736816,185421.477109611,185421.519928596,185421.556639553,185421.585318781,185421.608758306,185421.628094624,185421.643094633,185421.655951122
1,Illinois,118226.767191613,134070.227350727,149686.548419193,163227.280485581,174838.423613897,189919.927962688,209929.507287267,230889.576601578,250954.587021072,268207.641831164,280973.463958788,291887.730849455,300808.121443305,306801.108163046,310556.760798537,312747.1342097,314070.046395236,314938.410969911,315483.714086183,315815.29558126,316022.101789205,316146.100997089,316221.936218623,316272.677477326,316305.435859099,316325.269775117,316336.994672647,316343.825843255,316348.009220406,316350.658618342,316352.288802878,316353.291669208,316353.913070244,316354.290477784,316354.526193211,316354.677863915,316354.772351238,316354.829445854,316354.863475509,316354.883852434,316354.896482518,316354.904371161,316354.909228079,316354.912234245,316354.914090835,316354.915229855,316354.91594165,316354.916388405,316354.91666294,316354.916829207,316354.916929383,316354.916990412,316354.917028313,316354.917051827,316354.917066337,316354.917075319,316354.917080857,316354.917084269,316354.917086389,316354.917087703,316354.917088507,316354.917088995,316354.917089293,316354.917089475,316354.917089589,316354.917089659,316354.917089702,316354.917089729,316354.917089745,316354.917089756,316354.917089762,316354.917089766,316354.917089768,316354.91708977,316354.91708977,316354.917089771,316354.917089771,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772
2,California,99762.1080841015,106771.799827355,113871.349828175,122978.094695023,131727.223769828,139104.509975843,153687.741573471,173170.048782259,190164.350215466,210983.623405493,233788.291431618,254395.617398531,279795.056165565,316906.506511217,358183.433870728,397890.789108672,441780.657620271,484240.450562775,525319.980140983,573080.406585247,626536.372944137,675787.753627342,720338.611981524,761291.167229266,795594.806989131,826193.410852198,855784.251467794,881754.948364764,902068.076641185,917873.484390276,930140.589794516,939458.433020945,947128.370675721,953676.08376643,958861.153349276,962702.310269127,965587.231864853,967767.650677217,969427.804401305,970784.144828379,971904.686201664,972767.143497696,973400.609272427,973869.85149741,974220.104007377,974488.147838362,974704.987201448,974879.41337094,975012.090068217,975110.094103353,975183.312740234,975238.688931889,975281.811599321,975316.697191699,975344.420783686,975365.366898756,975380.843677806,975392.379557931,975401.115288999,975407.940831328,975413.407456989,975417.689530769,975420.916147836,975423.316837999,975425.123233305,975426.507861844,975427.598550036,975428.468123622,975429.143559638,975429.650893446,975430.028593776,975430.313032049,975430.531601618,975430.703559637,975430.839385205,975430.944037975,975431.022701187,975431.081653161,975431.126428127,975431.161112039,975431.188447391,975431.209917586,975431.22636904,975431.238720572,975431.247990794,975431.255046393,975431.260518292,975431.264815635,975431.268166663,975431.270724297,975431.272649211,975431.274102779,975431.275216463,975431.276083662,975431.276763678,975431.277291311,975431.277692734,975431.277994939,975431.278223623,975431.278399168
3,Arizona,16228.2899272289,16732.2362717749,17189.8439590809,17604.2231227926,17978.5137749965,18315.8243404818,18619.1832023049,18891.5020100948,19135.5492897857,19353.932822695,19549.0892938817,19723.2798103184,19878.590030703,20016.9338093446,20140.0594210483,20249.557591894,20346.8707058583,20433.3026859753,20510.0291599628,20578.1076141477,20638.4873172674,20692.0188588935,20739.463197685,20781.5001542782,20818.736314138,20851.7123287361,20880.9096204073,20906.7565083822,20929.6337818307,20949.8797511349,20967.7948117233,20983.6455562272,20997.6684708842,21010.073251395,21021.0457720875,21030.7507404918,21039.334067423,21046.9249805389,21053.6379071696,21059.5741500711,21064.8233776783,21069.4649484557,21073.5690870852,21077.1979284942,21080.4064441309,21083.2432634166,21085.7514019687,21087.96890696,21089.9294288797,21091.6627279581,21093.1951226212,21094.5498865309,21095.7476000435,21096.8064612722,21097.7425613583,21098.5701280387,21099.3017411402,21099.9485232168,21100.5203081831,21101.0257904739,21101.4726569683,21101.8677036646,21102.2169388636,21102.5256744144,21102.7986064033,21103.0398865018,21103.2531850562,21103.4417468697,21103.6084405257,21103.7558019964,21103.8860731997,21104.0012360885,21104.1030427897,21104.1930422501,21104.2726037942,21104.3429379509,21104.4051148669,21104.4600805845,21104.5086714325,21104.5516267489,21104.5896001286,21104.6231693663,21104.6528452468,21104.6790793167,21104.7022707534,21104.7227724394,21104.7408963305,21104.7569182027,21104.7710818478,21104.7836027832,21104.7946715306,21104.8044565152,21104.8131066285,21104.8207534934,21104.8275134674,21104.8334894125,21104.8387722612,21104.8434423994,21104.8475708897,21104.851220553
4,Massachusetts,94202.7953873769,96948.4260782934,99545.2790129967,102298.657166797,104941.328540353,107902.43600289,110489.775503833,112745.837402516,115549.112308623,118369.156354868,121262.036746645,123823.632866929,126529.057213791,129762.161373893,133284.19443306,136374.828887861,139205.823946963,141895.495649744,144431.972524997,146701.206356312,148703.216703809,150582.525272184,152434.923074347,154108.248396885,155590.17292684,156912.640350687,158167.861046659,159336.524212687,160356.946493284,161216.537872438,161965.078881902,162620.601489395,163185.822646573,163666.146356414,164085.228331399,164459.432172195,164790.930422879,165074.869124819,165319.127355397,165533.034244467,165722.146073332,165885.342345643,166023.25826993,166140.120969565,166240.624956877,166326.742824773,166400.122817981,166462.964733494,166517.658392538,166565.338058286,166606.44190908,166641.55934976,166671.795316083,166697.988821649,166720.575822077,166739.819474491,166756.173717501,166770.153715503,166782.150001622,166792.413741415,166801.203467837,166808.776644482,166815.332836625,166820.986324317,166825.833856616,166829.988002637,166833.562084662,166836.636271519,166839.268678455,166841.515282129,166843.436416093,166845.083915398,166846.497196686,166847.708814289,166848.749874819,166849.646832288,166850.419475984,166851.082935373,166851.651668708,166852.139633459,166852.558703536,166852.918088896,166853.225729701,166853.489097449,166853.714939798,166853.908763771,166854.0750912,166854.217883117,166854.340634858,166854.446203669,166854.536888233,166854.614672505,166854.6813801,166854.73861715,166854.787722107,166854.82981608,166854.865891789,166854.896830459,166854.923383252,166854.94617488
5,Wisconsin,15727.4873995411,17296.5093256237,19069.8149312727,21145.8722602066,23704.6173274499,26736.734866745,31030.9843394198,36300.8567755243,42356.7297996093,49090.1110453619,56612.6618210025,64606.0870452419,73134.2273756563,81993.3849013664,90512.9050580205,98248.2005278694,105115.261334512,111032.387053035,116029.918157303,120239.025796765,123650.076473467,126343.438635895,128471.224764605,130173.3106239,131535.943507241,132651.487790174,133567.401914477,134305.659774856,134894.207479642,135366.314707161,135743.265973809,136044.623846346,136286.724577764,136477.283574254,136625.2132899,136740.653956843,136831.609781862,136903.450631522,136961.051806258,137007.213430336,137043.780350761,137072.629755496,137095.564391911,137113.779238573,137128.302916067,137139.918556631,137149.078706305,137156.23432989,137161.851338896,137166.286960587,137169.796322379,137172.597883855,137174.828093698,137176.588320469,137177.975801072,137179.076548719,137179.949930743,137180.64561763,137181.200430176,137181.638521579,137181.982284237,137182.253192793,137182.467504348,137182.637310349,137182.772550181,137182.879881392,137182.96452471,137183.031284767,137183.084205678,137183.126177735,137183.159570008,137183.186136546,137183.20712383,137183.223638869,137183.23668293,137183.247011738,137183.255201274,137183.26171289,137183.266872771,137183.270942812,137183.274155958,137183.276702219,137183.278721211,137183.280325672,137183.281599868,137183.282606696,137183.283400465,137183.284028198,137183.28452549,137183.284919857,137183.285233033,137183.285480999,137183.285676704,137183.285831342,137183.285953871,137183.28605101,137183.286128132,137183.286189303,137183.286237648,137183.286275812
6,Texas,55220.9490890008,56424.111486046,57433.459798883,58278.936456931,58986.2495751838,59577.3492931185,60070.8912924294,60482.6712416109,60826.0213577888,61112.1654032497,61350.5318111794,61549.0267359653,61714.2700234945,61851.7976817245,61966.2346116363,62061.4412838906,62140.637821928,62206.5086489422,62261.2905208865,62306.8464300062,62344.7275410986,62376.2250255258,62402.4133904651,62424.1866641378,62442.2885909574,62457.3378116548,62469.8488498914,62480.2495958637,62488.8958661633,62496.0835250586,62502.0585730304,62507.0255416568,62511.154477936,62514.5867542022,62517.4399005157,62519.8116235914,62521.783148914,62523.4219998273,62524.7843083099,62525.9167362628,62526.8580728928,62527.6405627539,62528.291009831,62528.8316954112,62529.281141136,62529.6547433364,62529.9653003574,62530.2234509196,62530.4380385229,62530.6164143674,62530.7646891645,62530.8879424593,62530.9903966331,62531.075561546,62531.1463547718,62531.2052015446,62531.2541178402,62531.2947794378,62531.3285793281,62531.3566754332,62531.380030275,62531.3994439487,62531.4155815325,62531.4289958716,62531.440146518,62531.4494154735,62531.4571202767,62531.4635248809,62531.4688486969,62531.4732741096,62531.476952726,62531.4800105694,62531.4825523963,62531.4846652854,62531.4864216206,62531.4878815712,62531.4890951525,62531.4901039398,62531.4909424924,62531.4916395378,62531.4922189555,62531.4927005954,62531.4931009577,62531.4934337582,62531.493710398,62531.4939403543,62531.4941315051,62531.4942903989,62531.494422479,62531.4945322704,62531.4946235343,62531.4946993972,62531.4947624581,62531.4948148774,62531.4948584509,62531.4948946712,62531.4949247793,62531.4949498066,62531.4949706105,62531.4949879037
7,Nebraska,12490.5539470794,13089.7116351604,13731.1404322746,14415.9669138764,15139.7686240013,15894.8972302487,16686.7732114414,17514.7883626421,18382.3666904283,19291.5684483724,20248.8430269109,21246.92540787,22286.7535797331,23378.3454239542,24516.8285773058,25634.2700766874,26745.2419325735,27841.4540585786,28914.9660058154,29958.8134181655,30967.3295135357,31935.2560660373,32858.2721245267,33732.7673933032,34555.9522483724,35325.5976034105,36040.7284313245,36701.0360685238,37306.356547637,37857.2832732241,38357.5645132988,38810.2114120444,39218.4239097319,39585.4860527749,39914.6673753563,40209.1413348564,40471.9559593336,40706.0019421587,40914.0003371641,41098.4952945275,41261.8600850708,41406.2867728964,41533.7949539382,41646.2542490855,41745.3888177249,41832.7189958794,41909.6035377249,41977.2536583787,42036.7467020253,42089.0395078257,42134.9813341926,42175.3253849648,42210.7393310927,42241.8146513892,42269.0749367358,42292.9830691433,42313.9478550888,42332.3298227269,42348.4459935707,42362.5741568664,42374.9582027644,42385.8122519917,42395.3242942363,42403.6593893488,42410.9624731674,42417.3608045049,42422.9661052537,42427.8764314758,42432.1778135152,42435.9456969293,42439.2462158735,42442.137315619,42444.669746214,42446.8879527708,42448.8308751673,42450.5326335716,42452.0231271893,42453.3285572915,42454.4718841835,42455.4732267278,42456.3502121463,42457.1182826308,42457.7909644226,42458.3801041722,42458.896076685,42459.3479674594,42459.7437330741,42460.0903420004,42460.3938978671,42460.6597469288,42460.8925720592,42461.0964749967,42461.2750483478,42461.4314386564,42461.5684016748,42461.6883508143,42461.793399624,42461.8853990317,42461.9659699853,42462.0365320527
8,Utah,9101.59648064865,9897.16990406341,10827.6029092814,12244.4879573667,14274.4112355486,16421.4318582056,18929.8331855643,22723.2473992259,26676.2939084927,31663.9811838437,37690.5923287054,44060.2414406172,50493.4717006942,57329.2708896758,63525.8410255865,68363.5135748285,72300.486213784,75186.4410286243,77014.5162111165,78176.6640198903,78928.5196795094,79360.2868940978,79622.5224317933,79788.3771236736,79886.0040815052,79944.6864289586,79983.7646002843,80008.4498357814,80023.263898538,80033.0340002072,80039.2674323914,80042.9172550152,80045.1377269973,80046.5277080848,80047.3258359245,80047.8101448967,80048.1176819243,80048.3013476949,80048.4124702994,80048.485539188,80048.5313464034,80048.5587108891,80048.5763536123,80048.5874602485,80048.5939763988,80048.597955179,80048.6004444797,80048.6018966434,80048.6027838791,80048.6033495323,80048.6036909257,80048.603898133,80048.6040327657,80048.6041166477,80048.6041666974,80048.6041985072,80048.604218378,80048.604230094,80048.6042372774,80048.6042417749,80048.6042444323,80048.6042460625,80048.6042471016,80048.6042477323,80048.6042481154,80048.6042483617,80048.6042485143,80048.6042486055,80048.604248663,80048.6042486987,80048.6042487199,80048.6042487329,80048.6042487411,80048.6042487459,80048.6042487489,80048.6042487509,80048.604248752,80048.6042487527,80048.6042487532,80048.6042487534,80048.6042487536,80048.6042487537,80048.6042487538,80048.6042487538,80048.6042487538,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539
9,Oregon,3899.38040211499,3934.79038197389,3963.90803077946,3987.84462362767,4007.51741154138,4023.68276731052,4036.96390891448,4047.87400741935,4056.8353939275,4064.19548793501,4070.23998241612,4075.20374172794,4079.27979806869,4082.62677083357,4085.37498034363,4087.63148234274,4089.48421150922,4091.00539013858,4092.25433128694,4093.27974325387,4094.12162364602,4094.81281580108,4095.38028754824,4095.84618169705,4096.22867890713,4096.54270638295,4096.80051989744,4097.01218175599,4097.18595328573,4097.32861712218,4097.44574184112,4097.54189924354,4097.62084276077,4097.68565393392,4097.73886267893,4097.78254602738,4097.81840919438,4097.84785213634,4097.87202419507,4097.89186896074,4097.90816110416,4097.92153661581,4097.93251763186,4097.94153281599,4097.94893409264,4097.95501038474,4097.95999889215,4097.96409435111,4097.96745663608,4097.97021700065,4097.97248320129,4097.9743437038,4097.97587113676,4097.97712512669,4097.97815462569,4097.97899982243,4097.97969371092,4097.98026337857,4097.98073106356,4097.98111502296,4097.98143024543,4097.98168903634,4097.98190149816,4097.98207592478,4097.98221912531,4097.98233668989,4097.98243320789,4097.98251244712,4097.98257750083,4097.98263090853,4097.98267475512,4097.98271075223,4097.98274030509,4097.98276456736,4097.98278448616,4097.98280083907,4097.98281426446,4097.98282528642,4097.98283433522,4097.98284176408,4097.98284786302,4097.98285287012,4097.98285698084,4097.98286035566,4097.98286312631,4097.98286540095,4097.98286726839,4097.98286880151,4097.98287006017,4097.98287109351,4097.98287194186,4097.98287263833,4097.98287321012,4097.98287367955,4097.98287406494,4097.98287438133,4097.98287464109,4097.98287485434,4097.98287502942,4097.98287517315
