id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19989.7740992044,20790.2238135668,21529.9969547915,22267.3201629218,23154.1505754518,24130.5429593174,25200.7577539633,26692.7629639445,28192.5183901306,30094.2679055124,32100.2301707303,34109.2666131631,37077.480252071,40132.146199056,44450.4358513294,49091.6316878057,54348.5280965075,60435.7343442555,67035.4109309402,75636.5782889171,84692.9767393693,96381.8691251328,109176.257665322,123786.927355363,141493.629041775,160343.832435616,184732.177685783,211022.631535096,243100.704567448,279479.185151226,320228.780439179,369680.111482976,422956.197455615,489007.926726679,561059.900964368,645811.7360764,742904.073366949,849586.832158431,977287.663683849,1113941.86466734,1276136.24948239,1452518.26857067,1650335.4379822,1872682.49732122,2108284.07119405,2377056.51825739,2654776.12048541,2962038.21330037,3280951.60577948,3611770.32179814,3958790.28039461,4297420.03939752,4647847.25370593,4978209.90974061,5302729.39688641,5605296.26326648,5881440.27029128,6137168.56424281,6356415.65695973,6554535.78894367,6719236.76892829,6860895.92011112,6978544.58134709,7074189.07535388,7154332.1596716,7217193.93224604,7269598.08271465,7310609.39553268,7343883.18265634,7370486.51330337,7391346.28919865,7408382.20948971,7421493.04280936,7432200.09709589,7440496.89703916,7447114.98637997,7452366.10336249,7456436.30386737,7459731.76622272,7462256.17646418,7464299.52823363,7465884.30547348,7467140.97586088,7468140.45562114,7468914.49509613,7469541.08368143,7470022.47225541,7470410.69644596,7470712.78490909,7470951.22179128,7471140.98978891,7471287.62507989,7471406.01396236,7471497.10970534,7471570.278786,7471627.42935142,7471672.43146313,7471708.34610537,7471736.12395866,7471758.53773112
1,Illinois,124694.882006806,151751.688046611,187871.377221201,230328.921442662,278030.795516659,345335.862335047,451824.521695392,613960.740787807,849897.933556647,1175323.81490742,1601201.11195559,2163310.06774985,2907682.5797153,3864985.43345646,5036165.15310414,6362166.58566524,7744890.19333194,9080430.2116653,10262692.4287409,11205586.7709168,11870635.1429146,12278083.3397194,12495327.6874754,12597605.5488378,12641059.6168861,12658504.7828686,12665492.1069031,12668412.1959877,12669725.199411,12670363.7399437,12670693.7223302,12670869.5828823,12670962.5488365,12671009.5559042,12671031.8154579,12671041.6167942,12671045.6769255,12671047.319468,12671047.9982795,12671048.2948615,12671048.433859,12671048.503065,12671048.5388154,12671048.5574413,12671048.5669361,12671048.5715566,12671048.5736757,12671048.5745914,12671048.5749714,12671048.5751285,12671048.5751959,12671048.5752265,12671048.5752413,12671048.5752487,12671048.5752525,12671048.5752544,12671048.5752554,12671048.5752558,12671048.575256,12671048.5752561,12671048.5752561,12671048.5752561,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562,12671048.5752562
2,California,98849.9218695488,106693.878590884,115598.426207897,125419.724354574,136411.422252518,147844.354369146,163300.874354158,184181.085572337,208420.101260832,237263.524458436,270022.80502035,305991.824716182,349010.683261439,405829.248361646,477753.55171202,562571.502820945,662512.278479062,776722.312098803,908538.268287438,1069760.01460568,1271781.49010132,1515067.66196812,1801739.56991884,2136901.44168771,2522428.62681991,2974537.04287778,3520852.80228096,4176341.97090891,4943510.63965541,5829482.16049328,6838707.13810838,7979487.24142372,9283750.88728357,10777659.0769643,12455152.2625248,14294867.5981663,16270921.9189379,18347481.8924618,20499276.4085619,22707909.9943083,24923937.1975616,27071995.0789763,29081850.0664631,30899331.0317554,32493838.6503493,33862560.1154163,35013568.8347972,35955306.5087166,36703994.6375701,37285843.3527845,37731437.2027191,38070920.5927992,38330357.0599199,38529151.5654535,38680937.0858848,38796126.8517678,38883164.5457103,38948812.5433059,38998404.6349578,39035988.7639459,39064436.4708339,39085805.6984233,39101720.1592295,39113512.470932,39122251.0199461,39128761.7406858,39133648.7580703,39137330.2635211,39140099.4535821,39142176.4784402,39143732.3902389,39144899.3091137,39145777.3267942,39146439.5076711,39146937.7608126,39147310.3680849,39147587.4465667,39147793.0573288,39147945.9795131,39148060.3312739,39148146.258679,39148210.8915649,39148259.4017106,39148295.7309816,39148322.9311412,39148343.3355736,39148358.683847,39148370.2365541,39148378.9057447,39148385.3790383,39148390.1958416,39148393.7795307,39148396.4540425,39148398.4587296,39148399.9652523,39148401.096767,39148401.9447635,39148402.5794059,39148403.0546518,39148403.4112837
3,Arizona,17394.4679115396,19366.4469085956,22361.9903120593,26860.735833421,33330.6048196456,42881.1340896178,56544.2860904747,76006.4049553215,103933.671727905,144405.951080363,202203.500967443,284109.86078388,399357.749555635,558372.249492642,772364.648789095,1048359.66109988,1385174.30598237,1767768.82128936,2164672.84624719,2535547.20032842,2846630.95690384,3084525.33414613,3255589.12497682,3375850.69270759,3461044.4102333,3522535.90560697,3567231.72682527,3598988.99380675,3620454.01667999,3634077.47184856,3642232.05124893,3646907.68215809,3649543.79752815,3651058.31021365,3651977.17673759,3652581.65712775,3653017.45707702,3653359.88642407,3653648.03721628,3653902.37059318,3654133.91951428,3654349.21393936,3654552.79688376,3654748.17226895,3654938.01820478,3655124.22431242,3655308.00408909,3655490.0707898,3655670.81384112,3655850.43613541,3656029.04098941,3656206.68048995,3656383.38050435,3656559.15355459,3656734.00553109,3656907.93911401,3657080.95533385,3657253.05414059,3657424.23461943,3657594.49516591,3657763.83369619,3657932.24785459,3658099.73517916,3658266.29321286,3658431.91956826,3658596.61196181,3658760.36823087,3658923.18634202,3659085.06439466,3659246.00062216,3659405.99339175,3659565.04120373,3659723.14269053,3659880.29661571,3660036.5018729,3660191.75748468,3660346.06260137,3660499.41649976,3660651.81858176,3660803.268373,3660953.76552144,3661103.30979591,3661251.90108464,3661399.53939381,3661546.22484603,3661691.95767882,3661836.73824314,3661980.56700177,3662123.44452786,3662265.37150329,3662406.34871714,3662546.37706412,3662685.45754296,3662823.59125485,3662960.77940179,3663097.02328505,3663232.32430353,3663366.68395214,3663500.10382018,3663632.58558977
4,Massachusetts,96838.9266063087,102921.649024686,109966.142808252,118416.73599176,127852.212249265,139373.924055404,152053.97251255,165121.255417975,182353.873361651,203677.265913343,230084.93529851,261001.065944302,298124.447944982,346211.935320229,407183.21935188,478918.8922923,563459.005399692,663599.580447793,782909.251419237,922310.430498818,1082398.2818152,1268265.41882014,1486315.27529773,1736833.89497053,2018536.87842429,2330365.71660823,2673636.79012185,3045455.82117596,3435766.66353972,3833926.96732215,4232292.64654402,4621696.58699388,4991068.48981243,5330019.69583648,5633137.95203227,5898054.28011407,6122965.89157376,6307743.12782645,6455526.30221138,6571345.83544572,6660440.74304857,6727590.70430403,6777381.66569312,6814003.62718214,6840856.39864048,6860477.51421434,6874779.31917498,6885214.79765064,6892860.69652763,6898473.51863633,6902584.81274424,6905586.37434634,6907774.77155292,6909368.1931502,6910524.4826685,6911359.81374597,6911962.15806072,6912397.03299235,6912711.57145911,6912939.2927372,6913104.45178028,6913224.62034035,6913312.31084104,6913376.31968265,6913422.96004649,6913456.88666666,6913481.54020916,6913499.42551862,6913512.36788201,6913521.7155978,6913528.46836402,6913533.3538983,6913536.89356725,6913539.46131927,6913541.32747428,6913542.68648667,6913543.67706577,6913544.39850367,6913544.92312406,6913545.30414467,6913545.58056842,6913545.78081308,6913545.92567134,6913546.03042546,6913546.10624564,6913546.16119545,6913546.20106574,6913546.23002821,6913546.25109433,6913546.26642985,6913546.27759138,6913546.28570634,6913546.2915993,6913546.29587456,6913546.29897334,6913546.30121737,6913546.30284171,6913546.30401797,6913546.30487058,6913546.30548924
5,Wisconsin,15919.746503146,17419.4139044082,19697.6636506308,22660.5272141936,26591.9469554087,31697.0800022867,38760.1950305197,48201.8361682195,60979.0929873623,78140.2707874713,101097.883301646,131467.503615274,171805.981687294,225328.070751396,296176.789733887,389217.856723721,510120.311461867,665038.303615351,860570.558066218,1102803.41694416,1395730.12463804,1739208.10935996,2127289.05334968,2547286.40040364,2980770.9246445,3406438.34725491,3804061.66856151,4158126.62273974,4460004.58523078,4707993.70906444,4905830.30431267,5060517.7656015,5180260.40407896,5272925.62145912,5345196.03642138,5402250.94940109,5447830.14027951,5484499.54926996,5514003.61162825,5537586.4777577,5556230.078986,5570781.62634126,5582001.44996228,5590565.98945798,5597060.43020393,5601973.08830693,5605697.47429298,5608539.74836822,5610729.98286879,5612435.42234432,5613774.48853628,5614830.208215,5615661.88235966,5616313.99864432,5616821.83198307,5617214.42081209,5617515.93081831,5617746.33869646,5617921.90959487,5618055.67344022,5618157.87200909,5618236.37619251,5618297.09061242,5618344.35027149,5618381.29708154,5618410.21762217,5618432.81818014,5618450.41609009,5618464.05773817,5618474.58577589,5618482.67976206,5618488.88465553,5618493.6347663,5618497.27314089,5618500.067095,5618502.22132918,5618503.88986955,5618505.18707245,5618506.19760293,5618506.98484721,5618507.59720321,5618508.07235487,5618508.44001344,5618508.7237154,5618508.94209795,5618509.1099062,5618509.2387746,5618509.33782087,5618509.41410917,5618509.47303997,5618509.51869253,5618509.55413061,5618509.58166305,5618509.60304748,5618509.61963841,5618509.63248992,5618509.64242682,5618509.65009581,5618509.65600486,5618509.66055314
6,Texas,59159.8014126558,65425.0828363761,73151.393692962,81552.4615652767,90505.257813695,102164.190231154,117720.308641603,139865.281394627,168588.09884653,202938.166490249,243757.643510187,295800.731232243,368169.599236664,468770.212077098,603494.011568286,772981.686631971,980746.462489216,1238552.76971281,1566859.99044318,1989941.84779053,2520768.1901816,3161645.63468039,3908171.93639025,4762114.58950395,5731465.73329536,6810291.15791942,7962165.37925591,9119361.446532,10213736.4363097,11199509.8293391,12053940.1639322,12763710.3168556,13320650.795078,13730519.046091,14015029.9984104,14204581.7507304,14327466.198268,14405296.4785209,14453286.3879894,14482086.9159198,14499085.9316037,14509116.560428,14515124.4117573,14518799.6645116,14521089.7192009,14522530.5119451,14523437.5403201,14524006.1438584,14524360.9428074,14524581.6785531,14524718.5007507,14524802.8066042,14524854.4631565,14524886.1818096,14524905.9895778,14524918.7633909,14524927.3504587,14524933.3759615,14524937.7750492,14524941.1034081,14524943.705726,14524945.803335,14524947.5409084,14524949.0138312,14524950.2856791,14524951.3997598,14524952.3863505,14524953.2671217,14524954.0579159,14524954.7706318,14524955.4145438,14524955.9971858,14524956.5249033,14524957.0031825,14524957.4368461,14524957.8301765,14524958.1870017,14524958.5107583,14524958.8045416,14524959.0711461,14524959.3130983,14524959.5326854,14524959.7319793,14524959.9128579,14524960.0770245,14524960.226024,14524960.3612582,14524960.483999,14524960.595401,14524960.6965116,14524960.7882817,14524960.8715743,14524960.9471724,14524961.0157869,14524961.0780629,14524961.1345861,14524961.1858877,14524961.2324503,14524961.2747115,14524961.3130687
7,Nebraska,12995.665991566,13988.0563074589,15278.5560304219,16883.2429498079,18323.4423119519,20444.9288214753,22482.1658152552,24564.0498484,27472.4551809395,30302.8908107546,33898.1765044399,38513.1730561661,43253.3654648323,49852.4671829787,57619.8153845162,66115.1755369697,77127.5002384799,88752.8739628579,102379.104996533,118991.238766487,136372.514530381,157661.902910353,182166.433740679,209003.227670634,242106.960800717,278478.262424511,319670.282654509,368218.31392744,419787.717009265,478317.473475235,542602.938866875,609567.766344727,683763.05443363,760395.80545175,839297.665964419,922347.527989152,1003805.24852073,1085600.50077246,1165928.35554694,1241232.4183484,1313375.98997092,1379599.31894389,1439530.30491043,1494130.40457336,1542157.46501332,1584658.25440284,1622055.79180543,1654398.16119729,1682599.34131968,1706949.52963507,1727871.0526528,1745907.25795396,1761330.30552061,1774515.71991765,1785782.09225961,1795361.03442285,1803510.41216354,1810429.38962932,1816289.56243877,1821254.75639014,1825453.39530762,1829000.8552787,1831997.96909837,1834526.85311475,1836660.43440409,1838459.99678463,1839976.83163098,1841255.4496294,1842332.9079928,1843240.61148462,1844005.33310482,1844649.42479492,1845191.87776997,1845648.72512288,1846033.4175136,1846357.35611328,1846630.12780163,1846859.80144429,1847053.19326181,1847216.03043313,1847353.13934315,1847468.58753811,1847565.79505157,1847647.64449732,1847716.56275192,1847774.59215962,1847823.45365212,1847864.59570425,1847899.23789352,1847928.40743941,1847952.96895621,1847973.65052643,1847991.06520903,1848005.72908493,1848018.07674176,1848028.47407757,1848037.2291602,1848044.60140944,1848050.80924911,1848056.03660089
8,Utah,9205.44675032673,10123.3376250535,11361.2625111086,13111.9682232724,15564.249634329,18630.928459189,22560.9015734236,28380.4924086641,35609.4063499839,45774.7312507192,59674.0921917362,78117.6756626089,102593.253727354,136181.384270203,180999.524078054,239238.36249568,316853.838281292,418508.297244455,548404.07196734,712498.255945878,916682.554551848,1160552.23674981,1441041.15390552,1749510.15165577,2066135.55331421,2366448.18033375,2627852.16587161,2833460.73372734,2978827.27193417,3072959.72848857,3129665.93833693,3162097.87107095,3180276.97871949,3190442.13937517,3196125.99255781,3199345.99716916,3201212.00775889,3202313.38598397,3202976.49043208,3203382.61550625,3203630.47362963,3203778.43792224,3203864.76986088,3203913.87350312,3203941.23527128,3203956.46648791,3203965.02234079,3203969.86538493,3203972.64990219,3203974.28222703,3203975.24929179,3203975.82704522,3203976.17464891,3203976.38238431,3203976.50432236,3203976.57479677,3203976.61484974,3203976.63731896,3203976.64996408,3203976.6571569,3203976.66128084,3203976.66367587,3203976.66508661,3203976.6659214,3203976.66641621,3203976.66671004,3203976.66688319,3203976.6669838,3203976.66704169,3203976.66707466,3203976.6670933,3203976.66710389,3203976.66710997,3203976.66711349,3203976.66711554,3203976.66711675,3203976.66711746,3203976.66711788,3203976.66711813,3203976.66711827,3203976.66711836,3203976.66711841,3203976.66711843,3203976.66711845,3203976.66711846,3203976.66711846,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847,3203976.66711847
9,Oregon,4037.90539427312,4172.51399616984,4289.74123921951,4418.24488163011,4599.31191677518,4788.53949558737,5083.15313405812,5380.71001453718,5687.70439091848,6152.29570310716,6741.56912761619,7360.26844677781,8228.98127670712,9280.58298585423,10446.1646186164,11979.9030524268,13861.9302699112,15980.7366366201,18763.3235363214,22179.4321384272,26073.6521581189,31040.2038060559,37199.4843664359,44347.7667444685,53307.8267153349,64308.8904284254,77162.3811484458,93076.437031401,112554.321152035,135353.398194114,163149.412121038,196816.420280377,236091.484945638,283106.657808678,339049.023063414,403364.660375761,478322.088495052,564897.322280405,661471.423827112,769333.025972975,887989.928917477,1013498.43848041,1144638.12120539,1278334.76700587,1408446.58925513,1531935.79494272,1645272.10811853,1744026.32360809,1827414.97512802,1895481.11287282,1948521.14953676,1988880.52160993,2018982.13638498,2040813.36434998,2056540.43162939,2067849.62092771,2075894.06228351,2081635.09991897,2085754.69670822,2088691.89287273,2090788.05942919,2092287.60293991,2093351.03902617,2094102.70522259,2094634.5773068,2095008.57907798,2095271.32759793,2095456.85262105,2095587.71933014,2095680.16987845,2095745.85400487,2095792.48036757,2095825.54013399,2095849.02890025,2095865.66538128,2095877.40687037,2095885.69975212,2095891.54653032,2095895.66214402,2095898.5675601,2095900.62098029,2095902.07236936,2095903.10118507,2095903.83096823,2095904.34788429,2095904.71419034,2095904.97353288,2095905.15668478,2095905.28600537,2095905.37730642,2095905.44170209,2095905.48717591,2095905.5193347,2095905.54207929,2095905.55818346,2095905.56959583,2095905.57767634,2095905.58339572,2095905.58744296,2095905.59030307
