id,Country,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
0,Washington,19976.9298098358,20673.1488650493,21327.4325821348,22028.1773218144,22689.3114006753,23585.3086106819,24429.5723018999,25689.6509900225,26943.2863239983,28368.3698142954,29896.1815011497,31306.6911063446,33527.4616957952,35625.8057601518,38666.5612202373,41744.4758798416,44910.9806070505,48681.4334907808,52240.7684057712,57015.5972920071,61555.490414436,67128.4126586561,72814.1389244867,78525.1103202083,85179.9192674656,91190.3451394025,98648.9435513515,105459.736279598,112829.361125723,120060.356902041,126622.793497962,133673.882454771,139565.785882956,145895.553798982,151208.176236505,156238.570333883,160765.73473129,164452.626758592,168045.746294844,170780.724322493,173412.033359601,175472.228506977,177236.051120883,178742.337850024,179891.911313876,180951.637225306,181732.245042707,182441.654673311,182989.345568062,183440.309448992,183822.391243814,184108.49818072,184367.764792133,184558.193830624,184726.587022244,184857.47469887,184962.894657152,185052.435423605,185119.209984769,185179.019782698,185223.359782727,185261.869798635,185292.191112637,185316.348584429,185336.996261843,185352.403150577,185366.097536326,185376.351934117,185385.117702511,185392.10130321,185397.61034844,185402.33311871,185405.868744042,185408.98264439,185411.341722376,185413.332600732,185414.937000132,185416.194736634,185417.275914694,185418.088394462,185418.797719626,185419.340770561,185419.79338326,185420.161457545,185420.448497406,185420.695237794,185420.881651556,185421.042924458,185421.167723603,185421.270690225,185421.355114745,185421.420736816,185421.477109611,185421.519928596,185421.556639553,185421.585318781,185421.608758306,185421.628094624,185421.643094633,185421.655951122
1,Illinois,118226.767191613,134070.227350727,149686.548419193,163227.280485581,174838.423613897,189919.927962688,209929.507287267,230889.576601578,250954.587021071,268207.641831164,280973.463958788,291887.730849455,300808.121443305,306801.108163045,310556.760798537,312747.1342097,314070.046395236,314938.410969911,315483.714086183,315815.29558126,316022.101789205,316146.100997089,316221.936218623,316272.677477326,316305.435859099,316325.269775117,316336.994672647,316343.825843255,316348.009220406,316350.658618342,316352.288802878,316353.291669208,316353.913070244,316354.290477784,316354.526193211,316354.677863915,316354.772351238,316354.829445854,316354.863475509,316354.883852434,316354.896482518,316354.904371161,316354.909228079,316354.912234245,316354.914090835,316354.915229855,316354.91594165,316354.916388405,316354.91666294,316354.916829207,316354.916929383,316354.916990412,316354.917028313,316354.917051827,316354.917066336,316354.917075319,316354.917080857,316354.917084269,316354.917086389,316354.917087703,316354.917088507,316354.917088995,316354.917089293,316354.917089475,316354.917089589,316354.917089659,316354.917089702,316354.917089729,316354.917089745,316354.917089756,316354.917089762,316354.917089766,316354.917089768,316354.91708977,316354.91708977,316354.917089771,316354.917089771,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772,316354.917089772
2,California,99762.1080841015,106771.799827355,113871.349828175,122978.094695023,131727.223769828,139104.509975843,153687.741573471,173170.048782259,190164.350215466,210983.623405493,233788.291431618,254395.617398531,279795.056165565,316906.506511217,358183.433870728,397890.789108672,441780.657620271,484240.450562775,525319.980140983,573080.406585247,626536.372944137,675787.753627342,720338.611981524,761291.167229266,795594.806989131,826193.410852198,855784.251467794,881754.948364764,902068.076641185,917873.484390276,930140.589794516,939458.433020945,947128.370675721,953676.08376643,958861.153349276,962702.310269127,965587.231864853,967767.650677217,969427.804401305,970784.144828379,971904.686201664,972767.143497696,973400.609272427,973869.85149741,974220.104007377,974488.147838362,974704.987201448,974879.41337094,975012.090068217,975110.094103353,975183.312740234,975238.688931889,975281.811599321,975316.697191699,975344.420783686,975365.366898756,975380.843677806,975392.379557931,975401.115288999,975407.940831328,975413.407456989,975417.689530769,975420.916147836,975423.316837999,975425.123233305,975426.507861844,975427.598550036,975428.468123622,975429.143559638,975429.650893446,975430.028593776,975430.313032049,975430.531601618,975430.703559637,975430.839385205,975430.944037975,975431.022701187,975431.081653161,975431.126428127,975431.161112039,975431.188447391,975431.209917586,975431.22636904,975431.238720572,975431.247990794,975431.255046393,975431.260518292,975431.264815635,975431.268166663,975431.270724297,975431.272649211,975431.274102779,975431.275216463,975431.276083662,975431.276763678,975431.277291311,975431.277692734,975431.277994939,975431.278223623,975431.278399168
3,Arizona,17149.921740437,18876.5080737533,21408.7355606975,24926.7412825501,29331.6290855255,35232.3697942665,42184.7341419124,50012.6679099555,58309.6032067617,66738.9977111901,74350.1415164609,80703.6374803156,85911.9374017218,89948.7274687143,93155.1477163493,95553.1243444288,97336.8664978879,98658.7575806139,99599.8816707798,100239.02621697,100649.32137837,100910.908850768,101074.821562952,101178.531914397,101245.603255863,101291.191700244,101324.14421358,101348.895301097,101368.183672639,101383.529832404,101396.008882924,101406.294701971,101414.840593045,101422.008117174,101428.082563213,101433.28916836,101437.79063584,101441.710435816,101445.141679513,101448.156221036,101450.810669873,101453.150963931,101455.215974102,101457.038998879,101458.64896506,101460.071094928,101461.327519885,101462.437726134,101463.418866595,101464.286043635,101465.052556134,101465.730128481,101466.329102925,101466.858608358,101467.326707051,101467.740522361,101468.10635003,101468.429754964,101468.715656484,101468.968403385,101469.191840211,101469.389365745,101469.563984665,101469.718353236,101469.854819712,101469.975460059,101470.082109525,101470.176390552,101470.25973746,101470.333418247,101470.398553883,101470.456135349,101470.507038714,101470.552038453,101470.59181923,101470.626986312,101470.658074772,101470.685557632,101470.709853057,101470.731330715,101470.750317405,101470.767102024,101470.781939965,101470.795057,101470.806652718,101470.816903561,101470.825965507,101470.833976443,101470.841058266,101470.847318733,101470.852853107,101470.857745599,101470.862070656,101470.865894088,101470.869274075,101470.872262048,101470.874903472,101470.877238541,101470.879302786,101470.881127618
4,Massachusetts,94202.7953873769,96948.4260782934,99545.2790129967,102298.657166797,104941.328540353,107902.43600289,110489.775503833,112745.837402516,115549.112308623,118369.156354868,121262.036746645,123823.632866929,126529.057213791,129762.161373893,133284.19443306,136374.828887861,139205.823946963,141895.495649744,144431.972524997,146701.206356312,148703.216703809,150582.525272184,152434.923074347,154108.248396885,155590.17292684,156912.640350687,158167.861046659,159336.524212687,160356.946493284,161216.537872438,161965.078881902,162620.601489395,163185.822646573,163666.146356414,164085.228331399,164459.432172195,164790.930422879,165074.869124819,165319.127355397,165533.034244467,165722.146073332,165885.342345643,166023.25826993,166140.120969565,166240.624956877,166326.742824773,166400.122817981,166462.964733494,166517.658392538,166565.338058286,166606.44190908,166641.55934976,166671.795316083,166697.988821649,166720.575822077,166739.819474491,166756.173717501,166770.153715503,166782.150001622,166792.413741415,166801.203467837,166808.776644482,166815.332836625,166820.986324317,166825.833856616,166829.988002637,166833.562084662,166836.636271519,166839.268678455,166841.515282129,166843.436416093,166845.083915398,166846.497196686,166847.708814289,166848.749874819,166849.646832288,166850.419475984,166851.082935373,166851.651668708,166852.139633459,166852.558703536,166852.918088896,166853.225729701,166853.489097449,166853.714939798,166853.908763771,166854.0750912,166854.217883117,166854.340634858,166854.446203669,166854.536888233,166854.614672505,166854.6813801,166854.73861715,166854.787722107,166854.82981608,166854.865891789,166854.896830459,166854.923383252,166854.94617488
5,Wisconsin,15790.1535129225,17457.7411990099,19357.0095175481,21587.3811444842,24354.1621583101,27646.6926614012,32272.9247128936,37918.2917723342,44372.1902321486,51489.7735815496,59363.8571186369,67643.5428197386,76324.1170204187,85191.7142465434,93706.873900236,101354.308539493,108046.350575445,113741.618721319,118513.708201978,122505.769225718,125771.678735873,128366.40566392,130425.00664674,132079.493452233,133418.567358666,134518.755207571,135428.490512412,136170.306563907,136764.643066221,137237.159939745,137611.042473079,137906.857004491,138142.190021051,138327.860854594,138472.656234168,138585.228318395,138673.506046864,138743.313229749,138799.282787451,138844.364150893,138880.510154144,138909.2768454,138932.088974588,138950.099146513,138964.345197826,138975.648086961,138984.570818629,138991.57180721,138997.052579737,139001.349252229,139004.734798878,139007.429418285,139009.580776922,139011.295146872,139012.658363998,139013.740792035,139014.597015416,139015.274970197,139015.812624749,139016.237478975,139016.57217337,139016.835683939,139017.042908037,139017.206086663,139017.335408077,139017.438122734,139017.519666016,139017.584429211,139017.635873385,139017.676621332,139017.708901764,139017.734484325,139017.754708501,139017.770674353,139017.783286765,139017.793236313,139017.801079746,139017.807281345,139017.812191164,139017.81607956,139017.819164093,139017.821613514,139017.823555028,139017.82509335,139017.826311697,139017.827274929,139017.828036175,139017.828638559,139017.829114828,139017.829490899,139017.829788034,139017.830022851,139017.830208536,139017.830355683,139017.83047246,139017.830565044,139017.830638403,139017.830696475,139017.830742385,139017.830778685
6,Texas,58411.369236289,64398.5505480474,71086.4441938462,77692.2560055022,84109.6601357341,93060.4879572303,104057.093673863,119040.452943545,136068.464293358,153130.288344802,170596.788986381,190235.862701384,215260.790297259,243693.007939915,272543.85709381,297484.878013462,318158.863361901,336041.571325205,351690.262275528,364863.961165835,374409.297836493,380829.403192196,384980.307368207,387799.090546728,389794.289246276,391169.698724211,392056.897426547,392586.512464656,392900.04027687,393090.245718337,393212.906034081,393294.718444381,393349.196480011,393384.634596746,393406.979653328,393421.235334055,393430.598698888,393436.971788203,393441.328716155,393444.24366111,393446.151531374,393447.400779762,393448.247855803,393448.846756768,393449.285127774,393449.61143054,393449.856506671,393450.04238961,393450.185418488,393450.29746218,393450.3864586,393450.457774566,393450.515196832,393450.561628568,393450.599371473,393450.63022989,393450.655587236,393450.676494568,393450.693767896,393450.708056279,393450.719886809,393450.729690761,393450.737821494,393450.744568579,393450.75016966,393450.754820582,393450.758683287,393450.76189195,393450.764557782,393450.766772941,393450.76861381,393450.770143735,393450.771415294,393450.772472151,393450.773350581,393450.774080723,393450.774687621,393450.775192084,393450.775611404,393450.775959954,393450.77624968,393450.776490511,393450.776690699,393450.776857103,393450.776995426,393450.777110406,393450.777205982,393450.77728543,393450.77735147,393450.777406366,393450.777451999,393450.77748993,393450.777521461,393450.77754767,393450.777569457,393450.777587567,393450.777602621,393450.777615135,393450.777625537,393450.777634184
7,Nebraska,12702.1618427626,13502.415428399,14313.2891738636,15277.8891172788,16228.2022834141,17279.7843380808,18319.7624266054,19335.3111611207,20470.6976049401,21526.7238539223,22706.3038636369,24110.2443239973,25361.4064714857,26869.8680058139,28529.0311691446,29994.0196134092,31463.9339825047,32807.2366473987,34056.8067943484,35245.1733747161,36269.0512556028,37244.4590177698,38140.6388132763,38922.1825959285,39678.5190728043,40348.4290447167,40932.1480084501,41468.2813166598,41928.8160922895,42326.7181282539,42673.7769863062,42972.4247541144,43235.9664916218,43465.3097006813,43665.2714335554,43842.7538900307,43997.5591984555,44133.5685226931,44253.726732929,44358.3121372326,44449.8571313703,44529.9649061094,44599.6627135279,44660.5259884591,44713.6228779187,44760.0242600496,44800.6630514336,44836.176508335,44867.2839523767,44894.5392329117,44918.3758727752,44939.25471468,44957.5277443339,44973.5030125083,44987.4802669219,44999.7033709304,45010.3930424901,45019.7455234376,45027.9280539175,45035.0908366054,45041.3610519305,45046.8494590463,45051.6551288597,45055.8622118459,45059.5449994064,45062.7692420479,45065.5915581786,45068.0620698957,45070.2247920311,45072.1180545814,45073.7755900709,45075.2268168106,45076.4974791478,45077.6101222212,45078.5843796424,45079.437478734,45080.1845026498,45080.8386216771,45081.4113963127,45081.9129461671,45082.3521253384,45082.736697785,45083.0734581693,45083.3683554619,45083.6265987083,45083.8527456471,45084.0507877696,45084.2242187293,45084.3760966761,45084.5091006702,45084.6255762599,45084.7275773915,45084.8169032372,45084.8951291481,45084.9636347225,45085.0236281428,45085.0761672996,45085.1221785871,45085.1624731813,45085.1977614
8,Utah,9101.59648064865,9897.16990406341,10827.6029092814,12244.4879573667,14274.4112355486,16421.4318582056,18929.8331855643,22723.2473992259,26676.2939084927,31663.9811838437,37690.5923287054,44060.2414406172,50493.4717006942,57329.2708896758,63525.8410255865,68363.5135748285,72300.486213784,75186.4410286243,77014.5162111165,78176.6640198903,78928.5196795094,79360.2868940978,79622.5224317933,79788.3771236736,79886.0040815052,79944.6864289586,79983.7646002843,80008.4498357814,80023.263898538,80033.0340002072,80039.2674323914,80042.9172550152,80045.1377269973,80046.5277080848,80047.3258359245,80047.8101448967,80048.1176819243,80048.3013476949,80048.4124702994,80048.485539188,80048.5313464034,80048.5587108891,80048.5763536123,80048.5874602485,80048.5939763988,80048.597955179,80048.6004444797,80048.6018966434,80048.6027838791,80048.6033495323,80048.6036909257,80048.603898133,80048.6040327657,80048.6041166477,80048.6041666974,80048.6041985072,80048.604218378,80048.604230094,80048.6042372774,80048.6042417749,80048.6042444323,80048.6042460625,80048.6042471016,80048.6042477323,80048.6042481154,80048.6042483617,80048.6042485143,80048.6042486055,80048.604248663,80048.6042486987,80048.6042487199,80048.6042487329,80048.6042487411,80048.6042487459,80048.6042487489,80048.6042487509,80048.604248752,80048.6042487527,80048.6042487532,80048.6042487534,80048.6042487536,80048.6042487537,80048.6042487538,80048.6042487538,80048.6042487538,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539,80048.6042487539
9,Oregon,4015.45546977326,4144.45092361577,4266.76707931221,4398.41386018136,4552.146675536,4724.722765332,5010.14464039003,5262.66295375756,5518.13594312447,5934.44806961628,6415.77634388738,6923.60630734677,7657.79437329296,8469.14388373827,9349.89499469094,10528.8609547304,11849.7045562039,13264.8225765144,15103.4885033442,17141.7899424067,19274.8290665024,21850.0326144066,24638.5041035607,27461.1163707178,30606.7724080406,33773.9303508165,36751.7341933229,39761.7676345759,42536.7568302001,44900.5278806167,47024.8539791703,48787.4884304724,50145.1874686134,51242.3090059897,52078.4177792564,52679.4100634891,53135.1561931059,53469.4231101731,53704.2598779499,53878.5308266558,54006.1440458711,54096.1064172894,54162.2810776128,54210.7079650868,54244.8435512178,54269.6255744083,54287.6171932079,54300.242809476,54309.3143710237,54315.8828795359,54320.5114149957,54323.8370706677,54326.2568439221,54327.977493336,54329.215022921,54330.1152806145,54330.7566112396,54331.2156737394,54331.5477912592,54331.7839979261,54331.9524206278,54332.0740169209,54332.1607822675,54332.2227782622,54332.2676305839,54332.2997976936,54332.3228280655,54332.3394740142,54332.3514149248,54332.3599476645,54332.3660924245,54332.3704947576,54332.3736371802,54332.3758977255,54332.3775204116,54332.3786815736,54332.3795181063,54332.3801201996,54332.3805519089,54332.3808628482,54332.3810866248,54332.3812470194,54332.3813623737,54332.3814453612,54332.3815048829,54332.3815477173,54332.3815785947,54332.3816008086,54332.3816168346,54332.3816284188,54332.3816367776,54332.3816428199,54332.3816471957,54332.3816503606,54332.3816526536,54332.3816543191,54332.3816555288,54332.3816564094,54332.3816570526,54332.3816575229
